[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 谈了Physical Intelligence派的研究科学家科里一鸣
[00:00:34] 这是一家在硅谷做机器人大脑的备受瞩目的实验室
[00:06:03] 就是因为diffusion毕竟它可以不断的
[00:06:06] 就是它可以迭代好多次
[00:06:07] 然后生成一张图
[00:06:08] 然后我们就觉得
[00:06:09] 那对于生成特别复杂的内容
[00:06:11] 尤其是你想要做这种视频的生成的时候
[00:06:14] 因为它就是里面的内容实在是太多了
[00:06:16] 然后可能gan确实不一定是一个最好的选择了
[00:06:21] 然后所以可能
[00:06:22] 我们会把我们在gan上积累的一些技术
[00:06:26] 我感觉沉淀了
[00:06:27] 我感觉沉淀了
[00:06:27] 接下来然后release给公众之后
[00:06:29] 可能就也算是画上了一个句号吧
[00:06:34] 对不敢说圆满
[00:06:35] 但是应该也算是画上了一个句号
[00:06:36] 然后可能接下来也不太会在gan的scrap上
[00:06:41] 再做过多的尝试了
[00:06:42] 但是往回说一点
[00:06:45] 就是说我觉得gan本身是
[00:06:47] 就对抗上的网络
[00:06:49] 它其实里面核心的一个技术
[00:06:50] 还是在对抗上
[00:06:51] 就是在如果你同时想要去两个模型
[00:06:53] 然后让他们两个都在互相迭代
[00:06:55] 然后彼此博弈的这个过程中
[00:06:57] 其实在这个过程中
[00:06:57] 其实在这方面
[00:06:58] 我们还是积累了一定的东西
[00:06:59] 然后这个技术本身
[00:07:01] 我觉得在抛开gan本身不讲的话
[00:07:03] 之后应该还是会有用处的
[00:07:06] 只是可能不是在现在这些场景上
[00:07:08] 对
[00:07:08] 可能不一定是用在
[00:07:11] 这个图像生成这个领域了
[00:07:13] 你当时从博士毕业的时候
[00:07:15] 就是在那个节点
[00:07:16] 当时商汤处于什么状态
[00:07:18] 多摩泰处于什么状态
[00:07:20] 对于商汤当时发展到什么样
[00:07:21] 我印象不是很深了
[00:07:22] 然后可能像这种生成式的
[00:07:24] 就是生成内容的这个东西
[00:07:26] 当时
[00:07:27] 还没有出现在商汤
[00:07:29] 这个整个业务的大的范围里面
[00:07:31] 其实我毕业的时候加入的是
[00:07:33] 我先去了字节跳动
[00:07:34] 当时字节跳动
[00:07:36] 倒是跟我做的东西很匹配
[00:07:37] 因为他是做抖音的
[00:07:39] 抖音本来就做内容
[00:07:40] 然后他当时需要做很多特效
[00:07:42] 我记得当时
[00:07:44] 就是用我读书期间做的一些工作
[00:07:46] 当时还带火了一些
[00:07:47] 比较有趣的应用
[00:07:49] 因为我是做图像编辑的
[00:07:50] 然后就是看能不能通过
[00:07:53] 一些AI的技术
[00:07:54] 比如说让你男生变成女生
[00:07:57] 然后变老变年轻
[00:07:58] 就看看有一些
[00:08:00] 就是当时应该会有一些玩法说
[00:08:02] 比如说看看你
[00:08:03] 20年后应该长什么样子
[00:08:05] 你70岁了应该长什么样子
[00:08:06] 就类似的这种东西
[00:08:08] 对
[00:08:08] 然后包括怎么能够把一个人
[00:08:11] 跟另一个人中间做一个完美的
[00:08:13] 就是比较连贯的那种转换
[00:08:15] 对
[00:08:15] 当时就是有一些这样的玩法
[00:08:17] 是用起来了
[00:08:19] 在字节可能待了
[00:08:20] 当时大概一年多吧
[00:08:22] 然后那个时候给我的感觉就是
[00:08:24] 大家每天都在想各种各样的创意
[00:08:26] 就是说
[00:08:27] 比如说今天又有一个什么好玩的特效
[00:08:29] 我们希望它变成一个爆款
[00:08:30] 当时我就会感觉
[00:08:32] 确实还有很多自己想做
[00:08:34] 但是没做的东西嘛
[00:08:35] 那个时候刚好是
[00:08:36] 2022年的时候
[00:08:39] 然后应该是
[00:08:41] 蚂蚁的技术研究院在招人
[00:08:43] 这一波还没有爆发
[00:08:44] 对
[00:08:45] 应该是在我来了蚂蚁之后的年底
[00:08:49] 才那个时候也是震撼了一波
[00:08:51] 那个时候应该处于像你们这种
[00:08:52] 人工智能学生的一个迷茫期嘛
[00:08:54] 因为你加入大公司
[00:08:55] 它其实主业不是干这个的
[00:08:57] 是在既有的产品上
[00:08:58] 去用人工智能技术赋能一下
[00:09:00] 对
[00:09:01] 总结的还是比较到位啊
[00:09:03] 相当于是做这个
[00:09:04] 计算机视觉这个领域嘛
[00:09:05] 坦白讲
[00:09:06] 计算机视觉
[00:09:07] 过去十几年吧
[00:09:09] 我感觉第一波可能是人脸识别
[00:09:11] 这个确实是一个比较
[00:09:13] 比较大的一个应用了
[00:09:14] 然后第二波可能是
[00:09:16] 特斯拉带火的这个
[00:09:17] 自动驾驶
[00:09:19] 对吧
[00:09:20] 然后就是它推出了一个
[00:09:22] 纯视觉方案嘛
[00:09:23] 除此之外
[00:09:24] 好像还没有看到哪一个
[00:09:26] 就是说视觉应用的
[00:09:27] 然后被大规模的用起来
[00:09:29] 然后有一个
[00:09:30] 比较强的产业价值
[00:09:31] 好像还没有碰到
[00:09:33] 这么一个具体的场景
[00:09:35] 对
[00:09:35] 然后这也是为什么说
[00:09:37] 我本来从视觉
[00:09:38] 现在想转到
[00:09:39] 就是当时24年
[00:09:41] 24年的时候
[00:09:42] 我就开始想去做这个
[00:09:44] 就是机器人这个事情
[00:09:46] 对
[00:09:46] 因为感觉
[00:09:47] 视觉可能是在数字世界
[00:09:50] 可能就是怎么说呢
[00:09:53] 它不是一个主要的
[00:09:54] 发挥作用的一个地方
[00:09:56] 用武之地不够
[00:09:57] 对
[00:09:57] 我是这么感觉的
[00:09:58] 对
[00:09:58] 但是在物理世界
[00:10:00] 离开视觉
[00:10:01] 机器人肯定是没办法工作的
[00:10:03] 我觉得这是一个
[00:10:04] 对视觉的强依赖
[00:10:05] 然后所以说
[00:10:06] 当时就开始想
[00:10:07] 24年的时候
[00:10:09] 在蚂蚁
[00:10:10] 当时就在蚂蚁技术研究院
[00:10:11] 然后本来是想在研究院说
[00:10:12] 要不要做一个
[00:10:14] 就是往巨声方向
[00:10:17] 开始做一些探索
[00:10:18] 当时是有这么一个想法
[00:10:19] 对
[00:10:20] 然后刚好
[00:10:22] 因为就是整个蚂蚁的大的
[00:10:24] 就是有一个比较大的规划
[00:10:27] 就是其实是
[00:10:27] 其实蚂蚁本身是
[00:10:29] 做这个生活服务的
[00:10:31] 就是它做了很多
[00:10:33] 这个数字世界的服务
[00:10:34] 就是大家比较
[00:10:35] 比较就是听的比较多的
[00:10:37] 可能是金融相关
[00:10:38] 但其实蚂蚁做了很多
[00:10:40] 像这种医疗
[00:10:41] 对吧
[00:10:42] 然后说这个出行等等
[00:10:44] 这方面的服务
[00:10:45] 就是蚂蚁做了非常多
[00:10:47] 数字世界的
[00:10:48] 这个生活服务相关的事情
[00:10:49] 然后呢
[00:10:50] 从整个集团的层面来讲
[00:10:52] 说那数字世界的服务
[00:10:54] 如果想再往进步延伸
[00:10:56] 肯定是要往物理世界迁移
[00:10:57] 对
[00:10:58] 然后刚好就是
[00:10:59] 那个24年底的时候
[00:11:01] 就是蚂蚁是正式宣布
[00:11:03] 说要成立了一家子公司
[00:11:05] 就是蚂蚁林博科技
[00:11:06] 然后那个时候
[00:11:07] 我在研究院也刚好跟
[00:11:09] 就是当时的院长propose说
[00:11:11] 我也想要去做
[00:11:12] 巨神智能相关的事情
[00:11:13] 然后就是不谋而合
[00:11:15] 然后就是当时也就是被
[00:11:18] 怎么说呢
[00:11:19] 就是相当于调动到这个
[00:11:21] 林博来
[00:11:23] 然后说一起去
[00:11:24] 我们既然要做
[00:11:25] 就不要说再当一个
[00:11:27] 研究型的机构来做了
[00:11:28] 而是说我们可能是
[00:11:29] 更加的直面这个行业
[00:11:31] 跟着行业一起成长
[00:11:32] 对
[00:11:33] 所以说可能就是这么一个契机吧
[00:11:35] 然后就是来了林博这里
[00:11:38] 蚂蚁研究院
[00:11:39] 当时是个多大的规模的组织
[00:11:41] 有不同一方向的
[00:11:43] 研究院的探索是吧
[00:11:45] 对对对
[00:11:45] 就是人工智能是它的一方面嘛
[00:11:47] 然后像它的这个隐私计算
[00:11:49] 因为就是安全是一个很重要的点嘛
[00:11:52] 我更多的理解是
[00:11:53] 这个东西像是一个
[00:11:54] 一些探索性的东西
[00:11:56] 其实都会放在研究院来做的
[00:11:57] 当时对
[00:11:58] 为什么决定成立一个子公司
[00:12:01] 专门做巨神智能
[00:12:03] 我其实觉得这是一个
[00:12:04] 集团应该是做的一个
[00:12:06] 比较大的一个决心
[00:12:07] 我觉得如果是
[00:12:09] 还是把它当做研究机构形式
[00:12:11] 去做的话
[00:12:11] 很有可能做一做
[00:12:12] 就脱离了这个行业
[00:12:14] 或者换句话说
[00:12:15] 就是研究员认为的
[00:12:16] 先进的技术
[00:12:17] 跟行业需要的先进技术
[00:12:19] 是会有gap的
[00:12:20] 对
[00:12:21] 所以我觉得这其实是一个
[00:12:22] 比较明智的一个选择
[00:12:24] 就是说既然要干
[00:12:26] 那我们就
[00:12:27] 变成一个
[00:12:28] 真实的业务来干
[00:12:29] 而不是把它变成一个
[00:12:31] 研究性质的
[00:12:32] 就是试验试错的一个团队去做
[00:12:34] 对
[00:12:34] 所以说就成立了这么一个公司
[00:12:37] 你看你经历了三个组织
[00:12:39] 分别是字节
[00:12:40] 蚂蚁的研究部门
[00:12:42] 然后和现在的蚂蚁零波
[00:12:45] 这三个部门分别是
[00:12:46] 第一个是以前的一个产品公司
[00:12:48] 然后你要用AI技术去赋能它
[00:12:50] 第二个是一个研究驱动
[00:12:51] 第三个是跟产业结合的一个
[00:12:54] 类似于创业公司
[00:12:56] 是算创业公司
[00:12:57] 对
[00:12:57] 算是创业公司
[00:12:59] 你的感受是什么样的
[00:13:01] 在这三个组织中
[00:13:02] 然后你觉得现在的AI
[00:13:03] 不管是产品也好
[00:13:05] 模型也好
[00:13:05] 它应该是用一个
[00:13:06] 什么样的组织方式去驱动它
[00:13:08] 从最开始
[00:13:09] 就是在字节那边
[00:13:10] 其实也是做业务
[00:13:12] 然后来了蚂蚁技术研究院之后
[00:13:15] 又刚好赶上
[00:13:17] 从没见过大模型
[00:13:19] 然后到大模型爆发
[00:13:20] 然后也受了一波冲击
[00:13:22] 然后那个时候就有点
[00:13:23] 不知道
[00:13:24] 其实很迷茫
[00:13:25] 就是研究到底是
[00:13:26] 什么样的东西是好的研究
[00:13:28] 就是你发了一篇论文
[00:13:29] 或者说你能拿到比较多的引用量
[00:13:31] 是不是就代表你很成功
[00:13:33] 就是我们到底能给这个
[00:13:35] 往小了说就是学术圈
[00:13:38] 对吧
[00:13:38] 往大了说就是这个行业
[00:13:40] 到底是带来什么
[00:13:41] 就是这个研究是不是有价值
[00:13:42] 那个时候自己心里
[00:13:43] 是不是很清楚的
[00:13:44] 然后再到现在的蚂蚁零波这边
[00:13:47] 我这一次的感觉
[00:13:49] 其实是比较深的
[00:13:50] 我觉得它刚好是
[00:13:51] 两者的一个结合
[00:13:53] 就是说我们既想要去
[00:13:56] 一些不一样的事情
[00:13:58] 然后这个不一样的事情
[00:14:00] 又能够直面真实的需求
[00:14:03] 对
[00:14:04] 然后为什么说
[00:14:06] 现在可能这是一个比较好的机会
[00:14:08] 因为在这个
[00:14:10] 也是在做业务的过程中
[00:14:11] 但是现在机器人不是
[00:14:12] 因为技术还没有收敛
[00:14:13] 我觉得作为技术人
[00:14:15] 可能是在这个时候
[00:14:16] 能为这个行业去
[00:14:18] 或者说哪怕是探索一条
[00:14:21] 不正确的路
[00:14:22] 也是一种贡献
[00:14:24] 对吧
[00:14:24] 反正就是说在这里面
[00:14:25] 技术不收敛的时候
[00:14:26] 我觉得是一种贡献
[00:14:26] 我觉得是有比较多
[00:14:27] 可以做的事情
[00:14:28] 所以在我看来
[00:14:30] 如果现在既想要做一些
[00:14:32] 比较大的事情
[00:14:34] 然后又不想要说
[00:14:36] 在一条完全没有创新的
[00:14:39] 然后就是纯是那种
[00:14:41] 怎么说
[00:14:42] 一条确定的路上
[00:14:44] 只是说把桩子打得更深
[00:14:46] 我觉得从这个角度来讲
[00:14:48] 我觉得聚神反而是一个
[00:14:49] 比较好的机会
[00:14:50] 就是大家在这里面
[00:14:52] 既能有发挥的空间
[00:14:54] 然后又能做一些
[00:14:56] 对产业有益的事情
[00:14:56] 有价值的事情
[00:14:57] 你们刚创立的时候
[00:14:59] 刚过来是什么样的感受
[00:15:01] 两个点
[00:15:02] 第一个点是
[00:15:03] 感觉自己还是太天真了
[00:15:05] 天真的原因是
[00:15:06] 因为24年的时候
[00:15:07] 我不是当时在研究院就propose
[00:15:09] 说想要做机器人
[00:15:10] 然后后面就发现
[00:15:12] 想做跟真的开始做
[00:15:14] 完全不一样
[00:15:15] 就是这个机器人
[00:15:16] 机器人这个赛道
[00:15:17] 有太多
[00:15:18] 我不了解的东西了
[00:15:19] 就是可能当时
[00:15:20] 对视觉
[00:15:22] 对模型这面会懂一点
[00:15:23] 但是真的说
[00:15:24] 比如说把一个模型
[00:15:25] 用到机器人上
[00:15:26] 怎么去部署
[00:15:27] 怎么去调里面的通信什么
[00:15:29] 我感觉有太多太多的技术战
[00:15:31] 是超出了我本来的认知
[00:15:32] 这是第一个感受
[00:15:33] 第二个感受
[00:15:34] 就是也很
[00:15:36] 怎么说
[00:15:37] 就是在这个过程中
[00:15:38] 从最开始来了
[00:15:40] 林博刚成立的时候
[00:15:41] 然后整个团队可能不到十个人
[00:15:44] 然后一点点的看着这个团队
[00:15:48] 就是不断的壮大起来
[00:15:50] 然后这个过程中
[00:15:51] 可能感觉这个
[00:15:54] 一边在学习
[00:15:55] 然后一边又跟着
[00:15:56] 行业一起变化
[00:15:57] 感觉这种
[00:15:59] 这种感觉还比较奇妙
[00:16:01] 对可能这两点感悟
[00:16:03] 可能会多一点
[00:16:04] 创立之初
[00:16:05] 你们当时想明白
[00:16:06] 后面要怎么走了吗
[00:16:07] 有些东西是很难判断的
[00:16:09] 但是我们创立之初
[00:16:11] 其实就明确了一个事情
[00:16:12] 就是我们希望能够做一个
[00:16:17] 就是我们还是希望
[00:16:18] 做机器人的大脑这一层
[00:16:19] 这是我们当时
[00:16:20] 就已经明确下来的一个点
[00:16:23] 为什么不做本体
[00:16:24] 是这样
[00:16:24] 我们最后是希望
[00:16:26] 先是
[00:16:26] 我们的初衷
[00:16:27] 因为我们当时成立之初
[00:16:28] 是沿着整个马来集团的
[00:16:32] 就是普惠的想法
[00:16:34] 然后再加上
[00:16:35] 它生活服务的推广
[00:16:37] 对我们最后还是希望说
[00:16:39] 未来某一天
[00:16:40] 每家都会有一个机器人
[00:16:43] 对然后
[00:16:43] 但是这个机器人是什么样子
[00:16:45] 其实谁也不知道
[00:16:47] 甚至于它是不是
[00:16:48] 一定是同一个品牌
[00:16:50] 也不一定
[00:16:50] 对吧
[00:16:50] 就像大家现在的手机
[00:16:52] 也是无法把门的
[00:16:53] 对
[00:16:53] 但是我们最后就是希望
[00:16:54] 每家最后都能有一个机器人
[00:16:56] 然后我们希望在这个机器人里面
[00:17:00] 跑到最后都是零波的模型
[00:17:04] 或者说用的是零波的大脑
[00:17:05] 这是我们当时做的一个比较大的决定
[00:17:09] 我们也会做一些像这种末端执行器什么这些
[00:17:13] 因为现在整个的模型
[00:17:15] 还没有完全的收敛掉
[00:17:18] 未来本体的贵发展人什么样
[00:17:20] 可能我们也不清楚
[00:17:21] 就像大家现在用手机
[00:17:23] 手机也不是一个固定的品牌
[00:17:26] 就是说大家
[00:17:26] 比如说都用苹果
[00:17:27] 或者说都用华为
[00:17:29] 也没有这样的一个说法
[00:17:30] 所以说
[00:17:31] 在这个
[00:17:33] 还没有
[00:17:35] 这个地方还没有明确答案的时候
[00:17:37] 我们明确的想法
[00:17:40] 就像刚刚说的是
[00:17:42] 我们要希望这个本体都跑了一个零波的大脑
[00:17:44] 这个事情
[00:17:45] 所以就是坚定的沿着这条路
[00:17:47] 先把它
[00:17:48] 就是
[00:17:48] 趟出来
[00:17:49] 先把它做的比较扎实
[00:17:51] 对
[00:17:52] 这是我们整体的想法
[00:17:53] 你们团队现在是一个什么样的构成
[00:17:55] 是一个更偏research
[00:17:56] 就是一个更偏research
[00:17:56] 驱动的一个团队吗
[00:17:57] 你看美国就有physical intelligence
[00:17:59] 这样的组织
[00:18:00] 其实它的好处
[00:18:03] 就像我刚刚说
[00:18:04] 因为行业技术还不收敛
[00:18:05] 所以说它有一些
[00:18:06] 一定是要有research的成分的
[00:18:09] 就换句话说
[00:18:09] 我们要不断的去探索
[00:18:11] 说智能的上限在哪里
[00:18:13] 但这个探索的本身
[00:18:15] 其实就是一种research
[00:18:16] 但同时
[00:18:17] 我们既然说成立之初
[00:18:20] 我们就以一个公司的形式
[00:18:21] 去运作这个组织
[00:18:22] 就是不想让这个research
[00:18:24] 太天马行空
[00:18:25] 就是我们还是要做一个组织
[00:18:26] 就是希望这个东西
[00:18:27] 能够跟产业有非常强的结合
[00:18:30] 所以相当于我们现在是
[00:18:31] 基本上是两手抓
[00:18:32] 一手是想要去看
[00:18:34] 智能的上限在哪里
[00:18:35] 另一手就是抓落地
[00:18:36] 就是说这个东西
[00:18:38] 一定要把它放到
[00:18:40] 真实的场景应用里面去试
[00:18:43] 然后会发现
[00:18:44] 就是比如说哪里不行
[00:18:46] 反过来用这个不行的点
[00:18:47] 去重新反向去驱动
[00:18:50] 说我们下一步的模型迭代
[00:18:52] 应该往哪些方向走
[00:18:53] 因为模型还很早期
[00:18:55] 它可能有十个八个
[00:18:56] 这种需要迭代的方向
[00:18:58] 甚至可能更多
[00:18:59] 但是精力是有限的
[00:19:01] 你不可能说我全面开花
[00:19:02] 所以说有哪一个
[00:19:05] 或者说哪一个特点
[00:19:07] 会先去开发这个事情
[00:19:09] 可能是反而是由行业
[00:19:11] 或者说由落地来决定的
[00:19:13] 你们从24年底成立
[00:19:15] 然后每一年都分别做那些事情
[00:19:17] 对
[00:19:18] 就是说24年底成立的时候
[00:19:20] 其实那个时候第一步做的
[00:19:21] 就是先把我们到底要做什么
[00:19:23] 我们是谁
[00:19:24] 然后要做什么这个事情
[00:19:25] 先想清楚了
[00:19:26] 这是一个很关键的点
[00:19:27] 然后其实25年
[00:19:29] 整个一年
[00:19:31] 我会觉得我们做了一个
[00:19:34] 比较大胆的一个决定
[00:19:37] 当时是从25年3月份的时候
[00:19:40] 就开始会意识到说
[00:19:44] 机器人可能不单纯是一个
[00:19:47] 就是怎么说
[00:19:49] 多么太理解的一个东西了
[00:19:50] 因为它毕竟要动
[00:19:52] 对吧
[00:19:52] 它跟环境有交互
[00:19:54] 那个时候其实就开始意识到
[00:19:56] 就是动态建模
[00:19:58] 或者说对
[00:19:59] 对这个时序上的这种建模
[00:20:01] 可能是对于机器人
[00:20:03] 往后发展是一个至关重要的一个事情
[00:20:05] 对
[00:20:06] 那个时候其实还没有所谓的
[00:20:08] 叫WAM这个技术路线
[00:20:10] 就是这个世界动作模型
[00:20:11] 那个时候还没有这个概念出来
[00:20:13] 但那个时候我们就比较坚定的觉得说
[00:20:16] 机器人的往前走
[00:20:18] 一定要从视频里学习
[00:20:21] 就是而且
[00:20:22] 就是从视频里学习
[00:20:24] 不是说把视频抽真
[00:20:25] 然后还是
[00:20:25] 当成图像来看
[00:20:26] 就是真的要让他学会
[00:20:29] 失去的东西
[00:20:30] 那个时候是25年初就做了这么一个
[00:20:33] 比较大胆的决定
[00:20:34] 所以说经历了基本上9个月的时间
[00:20:38] 然后在今年26年初的时候
[00:20:41] 其实我们也是当时比较早的
[00:20:44] 应该是行业
[00:20:45] 可能是基本上
[00:20:48] 我感觉应该是最早发布了
[00:20:50] 就是开完了一个
[00:20:51] 现在大家叫世界动作模型
[00:20:54] 我们叫视觉动作模型
[00:20:55] 对就是VA
[00:20:57] 对当时是
[00:20:58] 我觉得这一波应该是25年做的一个
[00:21:02] 比较大的一个决定
[00:21:05] 然后26年
[00:21:07] 今年又过了半年
[00:21:08] 然后今年我觉得做的一个比较大的决定
[00:21:11] 就是在25年整个探索的过程中
[00:21:13] 我们发现了另外一个事情
[00:21:15] 就是很多时候我们
[00:21:18] 因为最开始机器人
[00:21:19] 我们也没有特别多的数据
[00:21:21] 然后所以很多的时候训练
[00:21:23] 是依赖着数字世界的模型去做的
[00:21:25] 然后就有点像把数字世界的模型
[00:21:28] 在物理世界加接成了一个agent
[00:21:29] 大概当时是这么做的
[00:21:31] 加了一个动作
[00:21:32] 对对对
[00:21:32] 但是那个时候就意识到了一个比较重要的问题
[00:21:36] 就是很多时候
[00:21:37] 数字世界的模型的开发的初衷
[00:21:40] 跟物理世界的需求
[00:21:42] 是不是很匹配的
[00:21:43] 但你这个时候
[00:21:44] 你又没办法push他们去改
[00:21:45] 因为数字世界有自己的一套逻辑
[00:21:48] 他们也有自己的应用场景
[00:21:50] 对比如说可能从
[00:21:52] 就是士兵生成这个角度来说
[00:21:55] 好
[00:21:55] 就是他就会希望这个生成的画质特别高
[00:21:59] 对吧
[00:21:59] 这是数字世界的需求
[00:22:01] 但是其实物理世界你落实到机器人动作来看
[00:22:04] 其实这个东西没有那么重要
[00:22:06] 对但是你不能反向去push他改模型
[00:22:08] 因为他们是有自己的迭代节奏的
[00:22:10] 所以26年这一年
[00:22:13] 就是或者说这半年吧
[00:22:14] 我们做了一个
[00:22:16] 我觉得是一个比较大的决定
[00:22:17] 就是那既然不能push他们去改
[00:22:20] 我们就全部基于物理世界的需求重做一遍
[00:22:25] 对
[00:22:25] 重做一遍
[00:22:26] 对就是
[00:22:27] 就是从头来训
[00:22:28] 对从头来训
[00:22:29] 一点都没有用大语言模型
[00:22:30] 不语言模型是用的
[00:22:32] 我说跟视觉相关的所有的东西
[00:22:34] 我们就从头来了一遍
[00:22:36] 但是语言模型还要用是吧
[00:22:37] 对LLM是用的
[00:22:39] 对对对
[00:22:39] 因为那个的训练成本太高
[00:22:42] 而且那个我觉得数字世界跟物理世界好像也没有什么
[00:22:44] 就语言层面上其实区别不大
[00:22:46] 只是说物理世界可能更多的是靠语音交流
