[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解封后的人间烟火气息
[00:02:51] 对我这个我再跟你说
[00:02:54] 我觉得我来美国现在多少年了
[00:02:57] 一三年过来
[00:02:58] 然后13年左右了
[00:02:59] 我这个后训练现在有点崩
[00:03:01] 所以中英夹杂的问题
[00:03:03] 对观众朋友们不好意思
[00:03:05] 我尽量尽量解释
[00:03:07] 多多见谅
[00:03:08] 多多见谅多多见谅
[00:03:11] 我好像没有在任何地方找到你的一个播客或者一个访谈
[00:03:15] 所以这是你第一次做一个播客或者访谈吗
[00:03:19] 第一次做播客第一次做访谈
[00:03:22] 对你可能能找到很多我出去在各种conference
[00:03:26] 会议上面的演讲做演讲的会议上面的演讲
[00:03:27] 的演讲做演讲这些这些很多
[00:03:29] 为什么你之前这么多年都没有上过一个播客或者做一个访谈
[00:03:34] 我觉得
[00:03:39] 我不知道我觉得我更适合做一个听众
[00:03:41] 我很喜欢podcast
[00:03:43] 对我经常听很多podcast我的这个spotify youtube
[00:03:47] 每天上班下班
[00:03:48] 然后睡觉前平时没事都会听一些podcast
[00:03:52] 对然后我觉得我也挺有表达的欲望的
[00:03:56] 或者说我私下里跟朋友也会聊很多东西
[00:03:59] 我跟学生我觉得嗯平时抓大家一起聊天
[00:04:02] 我觉得也很开心
[00:04:03] 嗯但是podcast这件事情对我也不知道啊
[00:04:07] 可能是因为没有人邀请我吧
[00:04:09] 应该不会啊
[00:04:11] 其实对有一些吧
[00:04:12] 但是我觉得还是可能也是因为比较爱人吧
[00:04:15] 我觉得很多时候对觉得嗯不知道哪些话应该说哪些话啊
[00:04:21] 应该说哪些话啊
[00:04:21] 哪些话值得说哪些话大家愿意听啊
[00:04:24] 但我现在我觉得慢慢对年龄大了之后也也还好
[00:04:28] 拥拥有了这个不被人喜欢的勇气
[00:04:32] 我其实在网上看了你的很多很多的信息
[00:04:36] 但是我发现所有人对你的描写都是从上海交大的AGM班开始的
[00:04:41] 那我也很好奇在那之前的谢赛宁是什么样的呀
[00:04:44] 嗯你能不能从以你对这个世界拥有最早的记忆片段为开端来给我们讲一讲
[00:04:51] 你的童年和成长
[00:04:54] 哦哦OK你看这就是为什么不想做podcast
[00:05:00] 因为确实没准备过或者说你得让我回忆回忆
[00:05:03] 从最早的记忆片段的当然就是我觉得从小时候开始吧
[00:05:08] 可能四五岁的时候嗯我妈妈带着我去四处旅游
[00:05:14] 这可能就是一开始的记忆哦在哪里旅游啊各种地方对
[00:05:19] 因为他也做一些生意
[00:05:20] 然后四处跑
[00:05:21] 全国会各处跑对吧
[00:05:22] 我记得印象很深对吧
[00:05:24] 这种在上海的这种初印象
[00:05:26] 然后去啊四川啊
[00:05:28] 然后这些就是能想象的各种旅游景点吧啊
[00:05:33] 但是对我如果非要对生爸这个家庭情况的就是就是我爸是一个纯粹的死宅
[00:05:40] 嗯啊从来不出门
[00:05:43] 但是他最爱看的事情就是看书
[00:05:45] 所以我家里呃反正有一个书房吧
[00:05:48] 然后几面墙都是都是书
[00:05:50] 所以所以我小时候基本上就处在这种状态之中
[00:05:54] 要么就在外面跑
[00:05:55] 被我妈带着到外面旅游啊
[00:05:57] 要么就在家里面翻一些有的没的啊
[00:06:00] 能看的不能看的书都看一看的
[00:06:03] 然后我觉得这是这是一开始的童年
[00:06:05] 然后到了后面后来确实我觉得我们这一代人的成长经历还蛮不一样的
[00:06:11] 因为我觉得当然不知道我觉得现在孩子可能在这种AI的时代也会有同样的感受吧
[00:06:17] 但我那时候我大概九岁的时候有自己的第一台电脑吧
[00:06:18] 但我那时候我大概九岁的时候有自己的第一台电脑吧
[00:06:19] 但我那时候我大概九岁的时候有自己的第一台电脑吧
[00:06:20] 然后那时候开始啊不用来干正事的吧
[00:06:25] 也是一盒一盒的买游戏
[00:06:27] 然后打游戏
[00:06:28] 然后后来有了互联网啊
[00:06:30] 然后第一次感觉到这种信息爆炸
[00:06:33] 所以那时候第一次知道什么叫做内容啊
[00:06:36] 然后那时候就会觉得自己突然有了更多的表达
[00:06:39] 因为你看书还是单向的这种学习的过程啊
[00:06:43] 虽然也是很开阔的
[00:06:45] 但到网上当初有这些BBS
[00:06:48] 然后你可以上网去发表意见
[00:06:50] 我还记得我还记得我还记得
[00:06:50] 我还记得对吧有这种新浪博客
[00:06:53] 现在可能都没有了
[00:06:55] 但我写了很多很多的博客
[00:06:56] 哦是吗
[00:06:58] 关于各种各样的乱七八糟的topic
[00:07:01] 现在对现在肯定回头看过去都会都会很好笑
[00:07:05] 但是
[00:07:06] 最popular的一篇文章是什么呀
[00:07:09] 很多吧我觉得我记得
[00:07:12] 有点有点
[00:07:15] 未复新词强说愁的感觉吧
[00:07:18] 可能那时候包括QA空间啊
[00:07:20] 对吧就是大家总会有一个想要有一个平台去去表达自己
[00:07:25] 然后到后面其实还有更多的这种新鲜的媒介出现
[00:07:28] 包括有博客然后有有微博对吧
[00:07:32] 但那时候其实不是微博是泛否
[00:07:34] 我不知道听没听说过是王兴对吧
[00:07:37] 然后那时候我也是泛否的众多用户啊
[00:07:40] 啊上面呃泛否现在还能登录
[00:07:43] 但是实在是不忍直视啊
[00:07:45] 有时候看了看我想哎呀要不要赶紧删掉啊
[00:07:48] 最后想一想还是留在这里吧
[00:07:49] 啊让他变成这个互联网基地的一部分
[00:07:53] 嗯但是我觉得那时候呃
[00:07:58] 我觉得我觉得这种互联网的爆炸式的增长
[00:08:02] 让我变成了一个对很多事情都很感兴趣的人
[00:08:05] 嗯嗯我觉得是这样
[00:08:08] 所以你爸爸妈妈你妈妈是做生意的
[00:08:11] 你们是一个商人家庭吗
[00:08:13] 也不是也不是呃对啊反正我爸爸基本上也是他他是
[00:08:19] 本科是学心理学的啊
[00:08:21] 他也之前也从事一些教育工作啊
[00:08:24] 后来也在一些呃这种电视台上的传媒工作
[00:08:28] 哦可能跟你是同行哦对
[00:08:31] 所以他小时候我的记忆对他的记忆是他扛着摄像机到处跑
[00:08:35] 哦那这个有趣
[00:08:37] 对对对但我家里确实没有
[00:08:39] 没有人是学纯理工的啊
[00:08:42] 哦这也让你的性格我觉得还有一有一部分是蛮文艺的
[00:08:46] 可能吧但是但我觉得我
[00:08:48] 我觉得我我我一想说的还是
[00:08:51] 嗯在这种非常轻松的家庭环境成长起来
[00:08:55] 啊确实让我的自己的这个世界模型
[00:08:58] 我觉得啊我自己对他我还是觉得蛮蛮proud
[00:09:03] 对蛮蛮骄傲的
[00:09:05] 因为我觉得我会或者说你刚刚问为什么会来纽约
[00:09:08] 我这我觉得这也是其中一部分
[00:09:10] 嗯啊我觉得我可能会希望自己
[00:09:14] 或者希望身边的人都更加open-minded的去看待这个世界吧
[00:09:18] 你是学习成绩一直很好吗
[00:09:20] 因为你是保送到较大ACM班的
[00:09:22] 呃完全不是的
[00:09:24] 我是从高中对我觉得这件事情是这样
[00:09:27] 就是说你可以看我现在有身边有很多很多的朋友
[00:09:30] 大家其实都是
[00:09:32] 呃A class一路走上来的
[00:09:34] 对啊最好的高中对吧
[00:09:36] 然后最好的本科
[00:09:38] 呃参加竞赛最好的本科
[00:09:40] 然后最好的PhD
[00:09:42] 然后结束了之后去比如斯大教书
[00:09:44] 就有一个非常清晰的主线对吧
[00:09:46] 然后我也很想知道呢
[00:09:47] 然后我也很崇敬他们
[00:09:49] 我完全不是这样啊
[00:09:50] 我是一个
[00:09:52] 呃最多是一个B class的这样的一个trajectory
[00:09:55] 哦
[00:09:56] 你像你像而且很多我的这些决策其实还是蛮玄学的
[00:09:59] 因为我觉得我并没有
[00:10:01] 刻意的
[00:10:02] 在某种
[00:10:03] 这种UG主义的这种这种这种这种setting下框架下面
[00:10:08] 去努力追求一些事情
[00:10:10] 很多时候其实还是挺随机的
[00:10:12] 啊
[00:10:13] 然后可能也是这个没办法啊
[00:10:15] 这个智商的这个
[00:10:17] 智商不够
[00:10:18] 但是确实比如说像保送的时候对吧
[00:10:21] 这个也是很偶然
[00:10:22] 然后反正有有两个呃这种心理学跟数学的竞赛的讲
[00:10:27] 然后这时候恰好交大有这么一个
[00:10:30] 呃计划
[00:10:31] 就是说可以提前进校啊
[00:10:33] 就是想收割一些同学
[00:10:35] 然后让大家不要去高考
[00:10:36] 对其实我当初还是蛮顺着高考的这个框架去培养
[00:10:41] 其实我呃本身应该是应该是要去参加高考的啊
[00:10:46] 所以当当初还纠结了很很长一段时间
[00:10:49] 学校老师都会说啊
[00:10:51] 这个不行啊
[00:10:52] 你怎么能这个临阵脱逃呢
[00:10:54] 你已经你看你的成绩也很好
[00:10:56] 对吧啊
[00:10:57] 你当然应该冲一冲清华北大啊
[00:10:59] 然后我的内心想法是
[00:11:02] 哎呀交大挺好的
[00:11:03] 我觉得我去我去上海也待过
[00:11:06] 我觉得我跟这个城市跟这个学校都气质相投
[00:11:10] 并且我就是想学计算机
[00:11:12] 然后我觉得交大那个时候计算机也很不错啊
[00:11:15] 我也听说过有ACM这样的一个计划
[00:11:17] 虽然那时候这个选拔的过程其实是要到啊
[00:11:20] 你你提前进校进去之后有一个下列下令营之类的这样一个一个program对吧
[00:11:26] 然后你进行一些测试啊
[00:11:28] 然后然后才能进入到这个班级里面
[00:11:31] 对但这里面有很多很有趣的事情发生啊
[00:11:34] 当然首先话又说回来
[00:11:36] 我觉得我还是蛮啊怎么说呢
[00:11:39] 就让我再选一次的话
[00:11:40] 我完全不会后悔
[00:11:41] 对我觉得提前进校的那个选择
[00:11:45] 那个暑假是我这人生中的高光时刻
[00:11:48] 为什么
[00:11:49] 因为那两个月啥也没干
[00:11:51] 就在寝室里面打游戏
[00:11:53] 这为什么是高光时刻
[00:11:55] 因为这辈子在之后再也没有出现过这样的时刻了
[00:11:58] 当时打什么游戏啊
[00:11:59] 呃很多啊打dota啊什么的就是宿舍里面
[00:12:02] 就是就是那种我在高中时候
[00:12:05] 从互联网上看到的那种大学生活你知道吗
[00:12:09] 啊就是就是有好好学习的一部分
[00:12:13] 但也有一些这些啊
[00:12:14] 啊找寻自己
[00:12:16] 然后在啊这种啊漫无天日的虚度时光的这样的一个一个经历
[00:12:22] 对啊所以现在您的人生高光时刻是在虚度时光是吗
[00:12:26] 在寝室里
[00:12:28] 可以这么认为的
[00:12:30] 哎你很有意思啊
[00:12:31] 你一直在说你不是成绩最好的那些人
[00:12:34] 但是你你也很顺呀
[00:12:36] 你也你似乎也是成绩最好的那一批
[00:12:38] 为什么你对你自己心里的认知是
[00:12:40] 我的成绩其实是一半呢
[00:12:42] 我其实就是说我看跟谁比对吧
[00:12:44] 跟那些最顶尖的竞赛选手
[00:12:46] 像我刚描述的这课
[00:12:48] 非常顺利的这个对吧
[00:12:50] 摇班大神
[00:12:51] 然后四大phd四大教授来比
[00:12:53] 那我真的是啊远远远远不如
[00:12:56] 但另一方面我觉得
[00:12:58] 我还蛮感恩我所有这一段经历的
[00:13:01] 因为我会觉得
[00:13:03] 啊就接下往后讲的话
[00:13:05] 其实我觉得还蛮还蛮有意思的
[00:13:07] 啊比如说
[00:13:09] 在我去交大的时候
[00:13:11] 其实交大也不一定是一个
[00:13:13] 在计算机方面人工智能方面
[00:13:15] 一个特别特别顶线的这样一个学校
[00:13:18] 吧
[00:13:19] 然后到现在比如像一线班已经变成了一个
[00:13:23] 啊当然跟我没什么关系
[00:13:25] 但我的学弟学妹们
[00:13:26] 包括我的学长们对吧
[00:13:28] 不管是做创业还是在做学术
[00:13:31] 然后在各个地方发光发热
[00:13:33] 然后并且我们有一个很强的
[00:13:35] 这样一个校友的网络啊
[00:13:37] 大家联系在一起
[00:13:38] 然后做事情
[00:13:39] 我觉得啊
[00:13:41] 我觉得我觉得还是
[00:13:43] 啊是一个向上的这样一个trajectory吧
[00:13:46] 向上的一个轨迹
[00:13:47] 嗯
[00:13:48] 再到后来
[00:13:49] 哎这里面还有一个很有很有意思的事情
[00:13:51] 我想提一下
[00:13:52] 就是我们A3班会面试
[00:13:53] 然后面试的过程
[00:13:55] 会有这种老教授的
[00:13:57] 当初是这个沈恩少教授
[00:13:59] 面试我们
[00:14:00] 啊这个面试
[00:14:02] 其实不是不是问你一些technical的问题
[00:14:04] 他会问你你喜欢读什么书
[00:14:06] 嗯
[00:14:07] 啊
[00:14:08] 然后
[00:14:09] 我觉得这件事情是明明注定有一些缘分
[00:14:11] 因为啊
[00:14:12] 我当初非常着急
[00:14:14] 差点答不上来啊
[00:14:15] 然后我跟他说
[00:14:16] 我其实啊很喜欢看那本书
[00:14:19] 也是我最近刚看完那本书
[00:14:21] 是这个这本书叫what is mathematics
[00:14:24] 就是什么是数学
[00:14:25] 然后沈恩少老师就接着就问说
[00:14:28] 哎那你这本书的作者是谁
[00:14:30] 要考考我啊
[00:14:32] 然后我有点懵
[00:14:34] 对然后你这个对吧
[00:14:35] 一个高中生
[00:14:36] 人家这个对外国人名我也记不住
[00:14:39] 想了想了最终还是打出来了
[00:14:41] 是这个richard crown
[00:14:43] 就是理查德科朗
[00:14:44] 然后沈老师就是说
[00:14:46] 啊对你一定要记住这个名字
[00:14:48] 因为这是相当于二十世纪最伟大的一名数学家啊
[00:14:52] 为什么这件事情让我觉得
[00:14:54] 冥冥之中自有天意
[00:14:55] 或者有一些巧合在这里面呢
[00:14:56] 是因为现在在nyu
[00:14:58] 我在的这个这个系
[00:15:00] 这个院就是科朗数学科学研究所啊
[00:15:03] 就是richard crown
[00:15:05] 啊拿铲子挖的第一勺土
[00:15:07] 对他建起来的这个系
[00:15:09] 嗯
[00:15:10] 所以啊我觉得还蛮有意思的
[00:15:13] 对吧
[00:15:14] 然后到后面申请其实也是一样
[00:15:16] 我觉得
[00:15:17] 嗯
[00:15:18] 或者从另外一个角度来来说这件事吧
[00:15:20] 我觉得
[00:15:21] 我觉得好像
[00:15:22] 这个世界总是不想让我去做我想做的事情
[00:15:26] 但是但是我偏偏要做我想做的事情啊
[00:15:30] 啊
[00:15:31] 比如说本科的时候
[00:15:32] 我一开始就对计算机视觉对吧
[00:15:36] 或者说对人工智能产生了一些兴趣
[00:15:40] 啊那时候也是
[00:15:41] 刚开始就是在A3班大家会在大二开始进行这种这种科研实习
[00:15:46] 然后会到这个学校里面的不同实验室里面去
[00:15:49] 然后我去的这个实验室就是一个做
[00:15:52] 啊
[00:15:53] 神经科学加AI的这样一个实验室啊
[00:15:56] 叫BCMI
[00:15:57] 然后书架上放着很多很多关于意识关于大脑关于图像啊
[00:16:04] 然后关于我们怎么样对真实世界产生认知这样的书啊
[00:16:09] 我看到之后觉得哇太有意思了
[00:16:12] 然后啊
[00:16:14] 后来在我在这个过程中我还认识了我的一个学长啊
[00:16:19] 这个学长是这个侯小迪啊
[00:16:22] 然后他他对他也是丁颖大名
[00:16:25] 他之前也创业
[00:16:26] 然后现在也在创业啊
[00:16:27] 然后我每每跟他聊起来
[00:16:29] 他总会说这个世界变了
[00:16:32] 但我们都没变啊
[00:16:33] 我们特指我跟他
[00:16:35] 因为因为我觉得我们每次聊的东西
[00:16:38] 就像我们十几年前聊的东西一模一样
[00:16:40] 对那时候他是这个学校的一个传奇
[00:16:44] 对
[00:16:45] 然后他干了两件传奇的事啊
[00:16:48] 第一件传奇的事是他作为一个本科生啊
[00:16:52] 发表了一篇CVPR的论文
[00:16:54] 对
[00:16:55] 然后这个论文里面啊
[00:16:57] 呃
[00:16:58] 是一个非常精巧的算法啊
[00:17:00] 一共只有7行代码
[00:17:01] 解决了一个很重要的问题
[00:17:03] 然后发表了一篇论文
[00:17:04] 嗯
[00:17:05] 现在CVPR已经每年接收
[00:17:07] 可能几千几千几千篇论文对吧
[00:17:09] 好几万篇投稿
[00:17:10] 所以现在
[00:17:11] 你像我们要招本科生
[00:17:13] 然后大家人手都三篇四篇五篇CVPR
[00:17:17] 已经不算什么了
[00:17:18] 啊
[00:17:19] 但在那个时候
[00:17:20] 在大陆的学校啊
[00:17:22] 能发表这样一个鼎会的工作
[00:17:25] 其实是非常非常困难的
[00:17:26] 非常罕见
[00:17:27] 非常罕见
[00:17:28] 然后
[00:17:29] 如果是一个本科生发表这样的工作
[00:17:32] 我闻所未闻啊
[00:17:33] 所以所以真的是每一个人都非常非常佩服他
[00:17:36] 嗯
[00:17:37] 但是呢
[00:17:38] 他又做了第二件非常厉害的事情
[00:17:40] 是他带领一个team
[00:17:43] 撰写了一个东西叫做交大生存手册
[00:17:46] 交大学生生存手册
[00:17:47] 哦这还是一个team写的
[00:17:49] 应该是他主笔
[00:17:50] 我不知道
[00:17:51] 后面应该有一个团队跟他一起
[00:17:53] 然后这个东西现在网上还有存档
[00:17:56] 我觉得欢迎大家
[00:17:58] 呃
[00:17:59] 线下可以去看一下
[00:18:01] 对
[00:18:02] 这个手册里面讲了什么东西
[00:18:03] 然后有些有些话
[00:18:05] 对我前两天又回头
[00:18:06] 又重温了一下
[00:18:07] 啊
[00:18:08] 我觉得非常非常有意思
[00:18:09] 对呃
[00:18:10] 他讲的事情是什么
[00:18:11] 就是讲说
[00:18:12] 人为什么要学习
[00:18:14] 中国的教育体制大学的模式到底哪里错了
[00:18:18] 你应该把时间花在什么样的地方上
[00:18:21] 去打到你想要的人生
[00:18:24] 嗯啊
[00:18:25] 或者说他也指导大家说怎么样做研究
[00:18:27] 做研究的目的是什么
[00:18:29] 做研究的目的不是要灌水发论文
[00:18:32] 而是真的对这种无限的未知的探索啊
[00:18:35] 类似于这样的事情
[00:18:37] 啊
[00:18:38] 当然里面也会教大家什么怎么样逃课啊
[00:18:41] 怎么样
[00:18:42] 啊
[00:18:43] 呃
[00:18:44] 完成作业比较比较快速的方式完成一些作业
[00:18:46] 对是一个这种小册子
[00:18:48] 呃
[00:18:49] 我也去读了一下
[00:18:50] 他说如果一个人把政策评分作为自己的至高追求
[00:18:53] 那么他就是这个政策的牺牲品
[00:18:55] 嗯
[00:18:56] 我完全同意
[00:18:57] 对
[00:18:58] 我觉得这些事情
[00:18:59] 现在回想起来
[00:19:00] 可能前一幕话真的影响了我
[00:19:02] 对很多事情的认知
[00:19:03] 他在发表这个的时候
[00:19:04] 你大几啊
[00:19:05] 呃
[00:19:06] 大大一大二吧
[00:19:07] 大一大二
[00:19:08] 对
[00:19:09] 大一大二你就认识他了什么
[00:19:10] 呃
[00:19:11] 那时候他已经申请成功
[00:19:12] 然后去了呃
[00:19:13] 加州理工读phd
[00:19:14] 哦
[00:19:15] 所以我跟他是在
[00:19:16] 因为他也是这个这个实验室毕业的
[00:19:19] 所以我跟他相当于在网上沟通
[00:19:21] 呃
[00:19:22] 何小迪当初是在这个加州理工
[00:19:24] 然后就已经读phd了
[00:19:25] 对他也申请到了很好的学校
[00:19:27] 然后我们都非常非常羡慕啊
[00:19:29] 在那个时候
[00:19:30] 然后我跟他还是会在这个当初是在google chat上
[00:19:33] 然后跟他聊天
[00:19:34] 跟他聊很多很多的话
[00:19:36] 然后他真的是也是啊
[00:19:38] 给了我很多很多的建议吧
[00:19:40] 对
[00:19:41] 现在还记得有什么建议啊
[00:19:43] 呃
[00:19:44] 没有更多的时候
[00:19:45] 在网上跟他聊的时候
[00:19:46] 更多是聊research
[00:19:47] 对
[00:19:48] 到底应该做什么事情
[00:19:49] 嗯
[00:19:50] 跟他讲一下我自己的迷茫啊
[00:19:52] 然后呃
[00:19:53] 然后怎么样
[00:19:54] 怎么样能够发出来一篇论文吧
[00:19:56] 大概向他取取经
[00:19:59] 对
[00:20:00] 然后那时候
[00:20:01] 但那个时候我觉得通过小迪
[00:20:03] 然后通过我看的这些书
[00:20:04] 已经基本上确定了
[00:20:05] 我觉得我这辈子就想做这个事啊
[00:20:07] 我觉得这件事情可太有意思了
[00:20:09] 计算机视觉
[00:20:10] 呃
[00:20:11] 那时候其实并没有这样一个名字在那
[00:20:14] 或者说慢慢开始有计算机视觉
[00:20:16] 这样一个一个terminology
[00:20:18] 但其实之前对吧
[00:20:20] 然后大家去处理图像或者view的信息已经很长时间了
[00:20:24] 比如大家会做所谓image processing
[00:20:26] 就是图像处理啊
[00:20:27] 呃
[00:20:28] 更多的是从这种we的major开始的
[00:20:30] 对
[00:20:31] 然后计算机视觉可能是
[00:20:33] 呃
[00:20:34] you know
[00:20:35] 呃
[00:20:36] 慢慢变得更加更加popular
[00:20:37] 嗯
[00:20:38] 对
[00:20:39] 然后也也就是我开始学习这些之后的
[00:20:41] 呃
[00:20:42] 这些知识的时候吧
[00:20:43] 它开始变得越来越popular
[00:20:45] 对
[00:20:46] 然后
[00:20:47] 呃
[00:20:48] 我总说这个世界总不想让我做这件事情
[00:20:50] 是因为在呃
[00:20:51] 交大一三班的时候
[00:20:53] 其实还有另外一个特点
[00:20:55] 是这个班里的每个学学生
[00:20:57] 在大三的时候都要出去实习一次
[00:21:00] 嗯
[00:21:01] 现在其实也蛮常规的
[00:21:02] 但
[00:21:03] 在当时还是就是这个班的主要的这个这个发起人
[00:21:08] 叫渔泳老师啊
[00:21:09] 他的一个创举
[00:21:10] 所以那时候大部分人就是A三班会跟这个microsoft
[00:21:15] 呃
[00:21:16] 就是亚园亚园院有这么一个合作的一个项目
[00:21:19] 所以会把我们的很多学生送过去
[00:21:22] 然后做一个大概呃
[00:21:23] 六个月的这样一个实习
[00:21:25] 对
[00:21:26] 所以呃
[00:21:28] 我的当初的就是如果我什么都不做的话
[00:21:32] 就去亚亚园院实习
[00:21:33] 对虽然也很好
[00:21:34] 但那时候呃
[00:21:35] 其实没有一个做视觉的组
[00:21:38] 愿意接受A三班的本科生去实习
[00:21:41] 啊为什么呀
[00:21:42] 呃我不知道
[00:21:43] 可能是因为当初你像
[00:21:45] 马毅老师啊孙建老师都在那边啊
[00:21:47] 啊凯明那时候应该也在那边了
[00:21:49] 然后我觉得他们可能不喜欢有太多的这些
[00:21:52] 啥也不懂的本科生
[00:21:54] 哦
[00:21:55] 过来参与这些事情对吧
[00:21:56] 他那个他们那个时候非常的人才积极
[00:21:58] 是的是的是的
[00:21:59] 没错
[00:22:00] 但但我们真的是什么也不懂
[00:22:01] 对吧
[00:22:02] 我觉得我我现在也慢慢能理解
[00:22:03] 啊
[00:22:04] 呃
[00:22:05] 但那时候呃
[00:22:06] 有一个选择就是还是去MSRA
[00:22:09] 但是就不要做什么跟视觉相关的这些
[00:22:12] research了
[00:22:13] 啊
[00:22:14] 然后于老师也跟我说说
[00:22:15] 哎呀
[00:22:16] 其实你们本科生啊
[00:22:17] 现在最重要的还是
[00:22:18] 有一段研究的经历
[00:22:20] 学会怎么样做研究
[00:22:21] 嗯
[00:22:22] 啊
[00:22:23] 具体做什么样的这个这个方向
[00:22:24] 方向不重要
[00:22:25] 不是很重要
[00:22:26] 嗯
[00:22:27] 对
[00:22:28] 呃
[00:22:29] 但我觉得不行啊
[00:22:30] 我觉得我没办法接受
[00:22:31] 这个完全不一样的一个一个方向
[00:22:33] 我希望对这个领域了解的更多
[00:22:35] 我希望能够踏踏实实的啊
[00:22:38] 做一些事情
[00:22:39] 然后希望有朝一日能像小迪师兄一样啊
[00:22:43] 能够发一篇CVPR的论文
[00:22:45] 对
[00:22:46] 这是我当初的
[00:22:47] 小迪那时候就已经是你的偶像了
[00:22:48] 是吗
[00:22:49] 有点有点
[00:22:50] 他他是很多人的偶像
[00:22:51] 对
[00:22:52] 在教大的时候
[00:22:53] 哦
[00:22:54] 呃
[00:22:55] 然后
[00:22:56] 所以我就开始琢磨这个事情怎么办
[00:22:57] 啊
[00:22:58] 然后就开始发邮件
[00:22:59] 所以联系了这个新加坡的
[00:23:00] 呃
[00:23:01] 新加坡国立大学的呃
[00:23:04] 盐水城老师的这个实验室
[00:23:05] 嗯
[00:23:06] 对啊
[00:23:07] 这件事情是完全我自己联系的
[00:23:09] 也没有也没有告诉于老师啊
[00:23:11] 然后等到敲定说哎
[00:23:13] 我可以有这么一个实习的机会
[00:23:15] 啊
[00:23:16] 然后他那边已经有一些呃补贴
[00:23:19] 然后说什么时间什么样的这些这些这些架构已经都啊比较完善了
[00:23:24] 然后我就去找于老师
[00:23:26] 我说于老师我实在是不想去亚演员啊
[00:23:30] 我想去这个新加坡的这个学校的这个组去做我想做的研究
[00:23:34] 嗯
[00:23:35] 啊
[00:23:36] 于老师沉默了几秒钟
[00:23:37] 对
[00:23:38] 呃
[00:23:39] 可能我猜啊我不知道我我我还没有问问过他这个问题
[00:23:42] 但我猜他心里想法是啊
[00:23:44] 这个学生怎么这么刺头
[00:23:46] 嗯
[00:23:47] 因为在老师心中亚演员是一个更好的选择
[00:23:49] 是的是的啊
[00:23:50] 一是一个更好的选择
[00:23:51] 二是我觉得也是能够让大家都听过对吧
[00:23:56] 能把大家聚聚合在一起啊
[00:23:58] 我觉得
[00:23:59] 我觉得一是当然也方便管理了
[00:24:01] 第二也会有一些更多的这种synology了吧
[00:24:04] 大家还是可以互相交流啊
[00:24:06] 啊
[00:24:07] 然后那那你去一个新的地方
[00:24:08] 这件事情到底意味着什么
[00:24:10] 嗯
[00:24:11] 这个地方到底靠不靠谱
[00:24:12] 你要做的事情靠不靠谱
[00:24:13] 啊
[00:24:14] 这件事情可能是不可控的
[00:24:15] 你纠结过吗
[00:24:16] 我我没有纠结
[00:24:17] 但但于老师我觉得我也非常appreciate他
[00:24:19] 就是他反而反而沉默了几秒
[00:24:21] 最后说
[00:24:22] 好啊
[00:24:23] 你去吧
[00:24:24] 对
[00:24:25] 呃
[00:24:26] 然后我就去了
[00:24:27] 呃
[00:24:28] 但是这件事情呃发生了之后
[00:24:30] 像水城这个组
[00:24:32] AOS的这个实验室
[00:24:33] 变成了我学弟学妹之后的一个可选择的一个一个一个一个position
[00:24:39] 嗯
[00:24:40] 哦
[00:24:41] 所以我觉得
[00:24:42] 哦
