[00:00:00] 我觉得可能是有史以来最激烈的一次科技竞争
[00:07:04] 那我觉得也很高兴能够正式加入到街越这里面
[00:07:07] 来推动它下一步的发展
[00:07:10] 然后街越本身这个名字的由来
[00:07:13] 其实它的英文叫step function
[00:07:16] 就是其实是一个街越函数
[00:07:18] 街越函数其实是代表着从量变到质变
[00:07:23] 同时其实街越也就是一个
[00:07:24] 也代表着非线性了
[00:07:25] 其实在深度学习的这一张网络里面
[00:07:28] 其实它一个很重要的技术特性就是非线性
[00:07:30] 就是很多非线性的叠加
[00:07:32] 所以是某种程度上非线性的叠加
[00:07:34] 也是一种智能的本质
[00:07:36] 所以我觉得街越这个词非常好
[00:07:38] 那星辰可能也代表
[00:07:39] 其实做AI的人其实都得
[00:07:42] 还是有点星辰大海的追求的
[00:07:44] 所以街越星辰我觉得我们也是很喜欢这个名字
[00:07:48] 从Day1做街越的时候
[00:07:49] 你们对于这家公司的预期是什么样的
[00:07:51] 我觉得可能两个预期吧
[00:07:53] 到今天
[00:07:54] 我觉得也比较的一致
[00:07:55] 第一个我觉得还是要成为中国的
[00:07:57] 基础模型领域的最优秀的公司之一吧
[00:08:01] 就是Foundation Model做基模这件事情
[00:08:04] 是街越从第一天Day1的使命
[00:08:06] 这个也一直没有变
[00:08:08] 所以为了这个使命
[00:08:09] 其实它也需要从人才
[00:08:12] 从它的商业模型
[00:08:13] 包括从它的资本角度都要能去匹配
[00:08:16] 所以基模我觉得探索整个智能的上限
[00:08:19] 是它的最重要的使命
[00:08:21] 其次我觉得也是希望
[00:08:22] 它是一个商业上闭环的公司
[00:08:24] 所以从街越最早期看的话
[00:08:26] 它所选择的商业化的商业模式
[00:08:28] 其实可能也都比较清晰
[00:08:30] 一直是AI或者大模型跟终端的一个结合吧
[00:08:34] 所以不管是2B还是2C
[00:08:35] 都是在围绕着这种终端这样一个大的应用场景来看
[00:08:40] 你现在给人感觉身份比较多啊
[00:08:42] 就是除了是街越的董事长
[00:08:44] 你在去年10月25日也出任了千里科技的董事长
[00:08:47] 能不能梳理一下你这些多重的身份
[00:08:49] 以及这些身份之间的关联
[00:08:51] 对因为早期大家可能比较熟知的是
[00:08:54] 矿石的创始人 联合创始人
[00:08:56] 那现在我其实已经不在矿石任职了
[00:08:59] 所以现在的核心两个身份
[00:09:01] 就是千里的董事长和街越的董事长
[00:09:04] 所以这两个我觉得
[00:09:05] 也是一个相辅相成的一个角色吧
[00:09:07] 因为千里本质上是关注AI跟车的结合
[00:09:12] 而所有车其实是AI里面最大的一个终端和一个赛道
[00:09:16] 而在千里的相关的不管是制驾制舱
[00:09:19] 以及为了robotaxi的这些领域里面
[00:09:21] 其实都需要有一个很强大的大脑和模型
[00:09:23] 来支撑
[00:09:24] 而这样一个大脑其实就是街越
[00:09:26] 所以我想可能千里可能所构建的
[00:09:29] 是一个更加核心的赛道
[00:09:31] 这个以车为核心这样一个AI智能化的
[00:09:34] 这样的一个应用场景和一个赛道
[00:09:36] 而街越可能更像是它后面所支撑它的
[00:09:39] 基础模型大脑和AI的低层能力
[00:09:42] 大概是这么一个关系
[00:09:43] 会觉得身份复杂吗
[00:09:45] 你的时间是怎么分配的呢
[00:09:47] 对 我觉得身份是有点复杂
[00:09:49] 这个也是不得已
[00:09:50] 因为我自己之前其实也分享过
[00:09:51] 其实
[00:09:52] 可能从高中
[00:09:53] 到本科之后
[00:09:54] 其实我觉得基本上还是
[00:09:56] 认为AI是我希望一直追求的一个大的事业
[00:09:59] 那在这个过程中
[00:10:01] 我想可能不同的所谓的复杂是
[00:10:04] 是从公司从治理结构
[00:10:06] 从资本平台的角度可能有一些复杂度
[00:10:10] 但我觉得两家公司也还好
[00:10:12] 就是街越和千里
[00:10:14] 基本上是后面的这个主线的这样的一个
[00:10:17] 是我经历分配的核心的两家公司
[00:10:21] 各占百分之多少
[00:10:22] 我自己其实我觉得
[00:10:23] 其实从公司的去分割
[00:10:25] 可能未必是一个最科学的一个分法
[00:10:27] 我觉得可能我自己核心还是会关注技术和产品
[00:10:31] 所以这边可能会占到我可能百分之八十以上的时间
[00:10:34] 这两家公司的技术产品其实非常非常的连贯
[00:10:38] 就是相当于它是从一个基础的模型的研发
[00:10:41] 到它的跟软硬结合的这部分产品化
[00:10:45] 再到它的真正推向市场
[00:10:47] 所以我总体感觉还是比较一致的
[00:10:50] 并没有觉得很割裂
[00:10:52] 嗯 他其实一边是
[00:10:53] 大脑一边是终端
[00:10:55] 一边可能跟身体更多一些
[00:10:57] 你觉得这两个你的哪个占比会更大
[00:10:59] 我觉得还是脑为主吧
[00:11:01] 但是其实脑需要跟终端深度结合
[00:11:04] 就是不能灵魂和躯干是分割的
[00:11:07] 所以我总体感觉最终我还是个AI native的一个创业者
[00:11:11] 所以我觉得最终我的实践性还是会花在AI相关的事情上
[00:11:15] 为什么你出任的是董事长不是CEO啊
[00:11:17] 你觉得董事长和CEO的区别是什么
[00:11:20] 我觉得董事长只是一个title吧
[00:11:22] 我自己感觉
[00:11:23] 可能还是刚刚讲到的
[00:11:25] 第一呢我觉得是希望能真正做一个核心的一个创始人角色
[00:11:29] 能够推动这两家公司的发展
[00:11:31] 第二个我觉得
[00:11:32] 我自己其实还是想更专注在偏技术和产品领域里
[00:11:35] 矿石的联合创始人唐文斌胎做了一家机器人公司
[00:11:38] 你们这几家公司之间是什么关系
[00:11:40] 会有一些合作吗
[00:11:41] 我觉得现在其实原来矿石可能像是一个AI10时代的一个好的平台
[00:11:48] 这里面其实我觉得其实培养了很多人
[00:11:51] 然后也孵化了蛮多的几个产业人员
[00:11:53] 我们自己的战略方向我觉得一直还是AI和广义上的robotics的这样一个方向
[00:12:00] 就是软硬结合这个方向
[00:12:02] 所以我们现在其实接约未来承接的是大脑这样一个角色
[00:12:06] 千里承接的是未来跟车为核心这样一个大的体系和方向
[00:12:11] 智能驾驶
[00:12:12] 智能驾驶 智能座舱
[00:12:15] robotaxi这些
[00:12:16] 然后我觉得巨声肯定是下一个大的赛道
[00:12:19] 总体我会觉得巨声的时间周期还会长一点
[00:12:23] 我觉得是一个五年左右的赛道
[00:12:24] 所以巨声这边我们也会有所布局吧
[00:12:27] 你个人的技术vision是什么
[00:12:29] 我个人的技术vision
[00:12:33] 我觉得总体我会认为
[00:12:34] 就是第一我是很相信AGI的
[00:12:36] 那AGI一定是要跟物理世界产生交互之后所产生的智能
[00:12:41] 因为从整个AI的演进角度
[00:12:44] 我觉得最终不可能是一个完全的数字世界
[00:12:48] 或者是只以语言为核心的这样的一套智能的架构
[00:12:52] 我自己很喜欢一本书
[00:12:53] 叫Unintelligence
[00:12:54] 就是Jeff Hawkins一本书
[00:12:57] 坦诚讲我的技术的大部分的底层的belief是来源这本书
[00:13:02] 这本书其实本质上是以脑科学和魔力上的进化科学为核心基础的
[00:13:08] 所以我总体觉得在AI这个领域里面
[00:13:11] 我认为还是人类要比较谦卑
[00:13:13] 所以本质上我觉得对大脑的更多的结构
[00:13:16] 可能是最重要的那个牵引
[00:13:19] 所以为什么其实你看大脑的皮层的眼睛
[00:13:22] 这里面一定会要从早期大脑的发育到新大脑皮层
[00:13:27] 从真正叫物理空间的生存再到可能高阶的语言和推理
[00:13:34] 所以这部分我觉得都不能跳过的
[00:13:36] 所以这是为什么我们也一直认为AI跟物理空间的结合
[00:13:41] 是走向最终AI AGI的一个必经之路
[00:13:44] 那你想做的具象化的是一个什么样的东西呢
[00:13:46] 是一个机器人
[00:13:47] 最终肯定是个机器人
[00:13:49] 但这机器人其实太复杂了
[00:13:51] 机器人其实就像
[00:13:52] 重构一个新的物种一样
[00:13:55] 所以它这里面所需要的
[00:13:57] 不管是大脑的神经方面的脑的结构
[00:14:00] 到未来的各种跟硬件的结合等等
[00:14:04] 我觉得包括这些传感器硬件设备
[00:14:06] 其实是需要非常非常多的核心技术的
[00:14:09] 所以这样一个过程
[00:14:10] 我觉得需要把它拆解成不同的步骤
[00:14:12] 所以这是为什么第一
[00:14:13] 我们认为机器也需要完成大脑的构建
[00:14:16] 同时大脑构建里面可能需要从像车
[00:14:18] 甚至未来像手机这样的终端开始做起
[00:14:21] 最终一步一步它就构建到
[00:14:22] 下一个更全新的一个计算平台
[00:14:24] 我们姑且叫它巨生吧
[00:14:26] 但是我觉得需要一步一步来
[00:14:28] 对 我看到你们好像还在孵化一个终端公司
[00:14:31] 对这件事情是怎么规划的
[00:14:32] 终端公司的话
[00:14:33] 就像我们刚讲的
[00:14:35] 我们的大战略其实也很显性
[00:14:36] 就是AI跟终端的结合
[00:14:38] 终端这里面我认为其实
[00:14:39] 大家之前讲的叫人车家
[00:14:41] 就是人还是以手机和穿戴式为核心的
[00:14:46] 然后车就是以车为重心
[00:14:48] 家可能原来是家用IoT
[00:14:50] 未来这个家可能会是一个
[00:14:52] 认为未来巨生的核心场景
[00:14:53] 是在家这个场景下
[00:14:55] 所以如果看人车家的话
[00:14:57] 我们总体是认为车是我们第一个的切口
[00:15:00] 同时我们会希望跟一些更多的
[00:15:02] 手持和穿戴式的一些消费电子产品
[00:15:05] 作为我们第二个希望能跟大模型结合的点
[00:15:08] 所以这个也是我们在千里和在街越
[00:15:10] 希望去做商业化的两个大的方向吧
[00:15:13] 上面说的是你的身份问题
[00:15:15] 那接下来我们聊聊你接下来要做的事情
[00:15:17] 你觉得在你看来
[00:15:18] 你觉得接下来要做的事情
[00:15:19] 心得真诚最困难的是什么
[00:15:22] 对最困难的是
[00:15:23] 我觉得这其实是一个链条很长的一次创业和创新
[00:15:28] 就是它确实竞争是
[00:15:31] 我觉得是可能是有史以来
[00:15:32] 最激烈的一次竞争的科技竞争
[00:15:35] 有史以来最激烈
[00:15:37] 对这里面其实从不同的维度
[00:15:39] 比如第一从它的人才的人才密度
[00:15:41] 基本上全球最聪明的
[00:15:43] 都在这样一个科技的这样的一个比拼当中
[00:15:46] 第二它所需要的资源
[00:15:47] 这个资源其实包含资金
[00:15:49] 它其实是在整个R&D里面
[00:15:52] 这个资金的规模强度
[00:15:54] 可能都是历史上最高的
[00:15:56] 以及包含它的商业化的
[00:15:58] 可能你可以说在AI的这样一个商业化的路径中
[00:16:02] 每个行业每个场景都会被变革
[00:16:04] 但是哪些会先哪些会后
[00:16:06] 这个节奏其实也是有高度不确定性的
[00:16:09] 所以它其实是一个高度竞争
[00:16:11] 极大的资源
[00:16:13] 同时在商业化上极度不确定的这样一个竞争
[00:16:16] 所以我觉得不管是对我们
[00:16:18] 还是对所有的公司
[00:16:20] 不管是多大的科技巨头
[00:16:22] 我觉得这场战斗都是非常挑战的
[00:16:24] 链条有多长
[00:16:25] 对链条我觉得首先它
[00:16:27] 其实涉及到首先是一个所谓的原节点的技术创新
[00:16:31] 所以它技术本身在快速演进
[00:16:33] 就像它的建一个房子
[00:16:35] 像它底层其实一直在变革
[00:16:38] 所以其实你在上面去搭它的产品
[00:16:41] 甚至说商业化
[00:16:42] 但发现技术往往一变化
[00:16:44] 可能上面很多都要被推到重来
[00:16:45] 所以首先它的链条长是源于它的原始技术
[00:16:49] 带到技术的产品化
[00:16:51] 带到商业化
[00:16:52] 带到整个的商业模式闭环
[00:16:54] 以及它还在快速的变化当中
[00:16:57] 所以这是一个
[00:16:58] 第一个就是链条长
[00:17:00] 第二个我觉得就是速度非常非常快
[00:17:02] 在链条这么长的一个竞争中
[00:17:03] 你觉得如果要抓原点的话
[00:17:05] 抓最重要的那个事情你应该抓什么
[00:17:07] 我觉得得抓两个点
[00:17:09] 就第一个点就是
[00:17:10] 在一个很长链条以及很快变化里面
[00:17:13] 第一个点我觉得还是要抓本质的技术竞争力
[00:17:16] 因为这个技术是这波变革的唯一的变量
[00:17:20] 所以在这个变量里
[00:17:22] 如果你不能
[00:17:22] 找到自己的核心领先的升位
[00:17:24] 当这个领先升位既可以是说
[00:17:26] 是一个全面的领先
[00:17:28] 也可以是一个局部领先
[00:17:29] 但在技术上如果没有这个
[00:17:32] 用英文叫edge
[00:17:33] 就是没有这个真正的你的长板
[00:17:37] 没有你的差异化
[00:17:38] 那我觉得后面的所有的去构建的东西
[00:17:40] 都是没有基础的
[00:17:42] 第二个我觉得要抓的是商业模式
[00:17:44] 这个商业模式其实我自己感觉
[00:17:46] 其实不用特别复杂化
[00:17:47] 就是其实本账是做排除法
[00:17:49] 就是你的商业模式不应该去做那些
[00:17:51] 可能
[00:17:52] 投入产出肯定不成立的
[00:17:54] 什么呢
[00:17:55] 肯定不成立
[00:17:56] 比如说如果做基模公司
[00:17:58] 然后同时做2B
[00:17:59] 我觉得就肯定不成立
[00:18:00] 为什么
[00:18:01] 因为基模的投入非常大
[00:18:03] 而2B的整个商业化变现的周期
[00:18:06] 和它真正能够达到的
[00:18:10] 作为一家创新公司
[00:18:11] 一家新公司能够去达到的这个
[00:18:14] 这个收入和利润的上限都比较有限
[00:18:16] 算不过账来
[00:18:17] 对是投入产出会比较难
[00:18:19] 嗯
[00:18:20] 这是一个不能选的商业吗
[00:18:22] 这个商业模式还有别的吗
[00:18:23] 还有一个模式就是如果做基模
[00:18:27] 我前提刚才都是说做基模
[00:18:29] 就基模代表着你一年
[00:18:31] 至少我觉得可能
[00:18:32] 30亿人民币以上的投入
[00:18:35] 这已经是一个非常高效的一个点
[00:18:37] 而且这个投入至少会未来维持三到五年时间
[00:18:41] 所以基本上至少是一个基础研发投入
[00:18:43] 在100亿人民币
[00:18:44] 这已经是一个非常高效的一个投入
[00:18:46] 看各大大厂其实的投入是远高于这个
[00:18:50] 对
[00:18:50] 但这已经是个天文数字了
[00:18:52] 对
[00:18:53] 以这个为投入的情况下
[00:18:54] 我认为同时做C端的纯软件的应用也是不成立的
[00:19:00] 因为这里确实是已有的互联网
[00:19:02] 这些大厂的非常擅长的领域
[00:19:04] 他们有用户有数据
[00:19:06] 同时这个本身已经构建出这样一个好的
[00:19:09] 我们叫数据飞轮
[00:19:10] 就是因为有场景的话
[00:19:11] 其实最终很多模型的性能的最终的决胜因素还是数据
[00:19:16] 数据是用用户场景来决定
[00:19:18] 所以这样的一些飞轮
[00:19:20] 创业公司不是完全没有机会
[00:19:21] 但也非常非常难
[00:19:22] 而且今天基础模型做的应用似乎都找不到数据飞轮
[00:19:26] 也找不到网络效应
[00:19:28] 所以你排除了一家基础模型公司去做2C的软件产品
[00:19:32] 和它做2B的两种创业模式
[00:19:35] 那它可以有的是什么呢
[00:19:36] 我刚才讲的其实有几个大的前提
[00:19:39] 第一个是一家创新公司
[00:19:40] 就已有的这些已经有自己非常扎实的应用场景领域的这些大厂
[00:19:45] 就是它可能会在自己上面去做非常好的AI升级
[00:19:49] 那新公司的话刚才讲到如果做基模
[00:19:52] 我认为做2B是不成立的
[00:19:53] 或者是单纯做2B是不成立的
[00:19:56] 然后如果做基模
[00:19:57] 单纯做C端的软件型应用也是不成立的
[00:19:59] 所以我自己认为就是可能也是我们接约选择的一个路径吧
[00:20:03] 我觉得是还是围绕着偏软硬结合的场景
[00:20:07] C端来去做我们的商业化
[00:20:10] 但在这过程中可能中间也会做比较好的2B的一些服务
[00:20:14] 但最终的场景应该都是AI加终端这个场景
[00:20:17] 就是一定要软硬一体
[00:20:19] 对
[00:20:19] 为什么软硬一体是更好的商业模式啊
[00:20:22] 软硬一体可能本账算是个交叉学科吧
[00:20:25] 就第一我自己认为在大模型时代
[00:20:27] 硬件的角色会变得越来越重要
[00:20:29] 大家一直在讲agent
[00:20:30] 其实我觉得未来很多很多agent
[00:20:32] 它都会有一些硬件的本账具象化的载体
[00:20:36] 所以未来的硬件更像是一个agent的一个实体化的一个存在
[00:20:42] 且它未来会其实是一个AI服务的壁画
[00:20:45] 所以就硬件模型软件本身就是一个三维一体的东西
[00:20:49] 第二个硬件我觉得它还是很难
[00:20:52] 赢者通吃的
[00:20:53] 不管我们是看手机领域还是汽车领域
[00:20:56] 它还是会有多佳的
[00:20:57] 如果有多佳的话
[00:20:58] 对于创新公司就有机会上牌桌
[00:21:00] 就有机会我觉得可能能成为一个相对具备一定规模化效应的一个商业化的一个结果
[00:21:07] 硬件我能理解一个是车
[00:21:09] 千里子的事情
[00:21:10] 然后一个是机器人
[00:21:12] 那你觉得可以规划的硬件还有哪些
[00:21:15] 其实我自己感觉硬件外的一些创新品类会挺多的啊
[00:21:21] 就是啊
[00:21:22] 听行业内的一位前辈讲
[00:21:24] 我觉得我也比较认可
[00:21:25] 就是未来可能比如在千万级这个量级上的创新硬件可能会挺多的啊
[00:21:31] 原来我们可能会比方说手机啊
[00:21:33] 或者像PC这些可能是一年十亿这个级别
[00:21:36] 甚至过亿级别的这样的一些新的硬件
[00:21:38] 其他一些硬件可能更多就是在百万级
[00:21:41] 但未来AI企业这件事是因为AI本质上重新定义了交互
[00:21:45] 所以原来如果比如说你真的需要有块屏
[00:21:48] 那你大概逃不过小一点的这张手机
[00:21:50] 中等的就要派的
[00:21:52] 大一点的PC对吧
[00:21:53] 就这可能大概就是以屏的尺寸来去定义你的整个的硬件的体系
[00:21:57] 而未来如果AI的这样更自然的交互方式
[00:22:00] 通过语音通过多模态交互能够把屏这件事可能相对释放掉之后
[00:22:06] 那很多创新的硬件都可能会有机会
[00:22:09] 所以我觉得还是会有很多AI硬件
[00:22:11] 大家现在可能还没有想到啊
[00:22:12] 这里我觉得会有很多新的机会吧
[00:22:16] 会是一个AI手机吗
[00:22:18] 嗯
[00:22:19] 我觉得上来可能不完全会是个AI手机
[00:22:21] 我觉得还是得新的
[00:22:22] 你怎么看兜包的AI手机啊
[00:22:25] 我觉得肯定是个很好的尝试
[00:22:26] 然后我想这可能也是字节在硬件上的第一步吧
[00:22:30] 可能后面它也是一个组合群
[00:22:32] 你觉得在AI时代做硬件和之前做硬件会有什么本质的不同吗
[00:22:36] 比如说其实就是AI来了以后
[00:22:38] 有几家硬件公司大家关注比较多
[00:22:40] 比如说Ploud
[00:22:41] 你觉得它跟之前的上一代硬件公司会有什么不一样吗
[00:22:45] 对
[00:22:45] 我觉得其实最早雷军雷总其实讲过
[00:22:48] 就是当年他在做小米手机的时候
[00:22:50] 讲到一个铁人三项的概念
[00:22:52] 对吧
[00:22:52] 就是当时讲到硬件软件和互联网服务
[00:22:56] 但后来这个铁人三项也做了一些新的革新
[00:22:58] 我觉得这一步做AI
[00:23:00] 其实有点像这个概念
[00:23:01] 就是硬件软件和模型
[00:23:03] 这三件事情其实会形成一个完整的服务
[00:23:07] 比方像Ploud这些
[00:23:08] 我觉得是一个非常好的例子
[00:23:10] Ploud其实就是从解决这样一个偏录音和办公效率
[00:23:14] 这样一个具象化场景为切口
[00:23:17] 所以最终会发现它的软件和硬件
[00:23:19] 是为了把这项AI服务的用户体验
[00:23:21] 做得更好
[00:23:22] 所以我觉得未来可能很多AI硬件都会是这样
[00:23:25] 它会切一个很核心的领域
[00:23:27] 然后这个领域里面模型要很好
[00:23:29] 最终模型的占比会非常高
[00:23:31] 就最后因为用户用的
[00:23:33] 我们叫模型及产品
[00:23:34] 就是这个模型首先效果得好
[00:23:36] 同时它有它配套的软件
[00:23:37] 如果需要它会配套一个专属的硬件来给它用
[00:23:41] 就这样的一个定义的理念
[00:23:43] 可能比较AI native一点
[00:23:45] 就是真正从AI的视角来定义的
[00:23:47] 这样的硬件
[00:23:48] 我觉得会越来越多
[00:23:49] 那你觉得接越在蓄模型的时候
[00:23:51] 是以什么为目的呢
[00:23:52] 它是会以你们要定义的产品为目标
[00:23:54] 还是以做更大的模型为目标
[00:23:56] 就是什么是牵引
[00:23:58] 我们之前在讲大模型这件事
[00:24:00] 其实之前Sam Altman
[00:24:02] 其实也访谈过
[00:24:04] 什么叫基础模型
[00:24:05] 比如说3.5比3好在哪
[00:24:08] 或者4比3.5好在哪
[00:24:09] 其实你会发现基础模型是发现会在
[00:24:12] 可能100个领域每个领域都会好10%
[00:24:15] 这是积模的这样的推进
[00:24:16] 所以我觉得在模型测
[00:24:18] 我觉得是有两股力量
[00:24:19] 一个叫推一个叫拉
[00:24:20] 就推的角度是
[00:24:21] 是从技术的insight的角度
[00:24:24] 就是每一代技术
[00:24:25] 从模仿学习到强化学习
[00:24:27] 会有技术的变革
[00:24:28] 这些我觉得可能在未来三年
[00:24:30] 还是主因
[00:24:31] 就是还是因为技术还在快速的变化
[00:24:33] 底层还有很多很多创新
[00:24:34] 但是我觉得可能另外一个因素
[00:24:36] 就是我们所谓的拉这个力量
