[00:00:00] 大家好,我是小骏
[00:02:43] 帮大家更好的理解
[00:02:45] 也提前应对好AI海啸的冲击
[00:02:48] 今天主要聊几个方向
[00:02:50] 一个是给大家传递一些
[00:02:52] 在硅谷的一些体感和观察
[00:02:55] 第二部分是分享一些
[00:02:58] 对Coding的一些体感和观察
[00:02:58] Coding这个变化最新的一些理解和认识
[00:03:02] 为什么Coding是今天的主线人物
[00:03:04] 第三也讲一讲硅谷叫核心域三家模型的一些观察
[00:03:11] 尤其是战略组织和文化
[00:03:13] 然后也可以讨论讨论未来模型的终极形态会是什么
[00:03:18] 为什么是操作系统
[00:03:20] 后面也可以聊一下对社会的潜在影响
[00:03:24] 失业通缩和投资这几个方向
[00:03:27] 去年我们在硅谷的一个公司
[00:03:28] 其实还有点担心大模型的技术进步曲线
[00:03:31] 会就此放缓了
[00:03:33] 会不会2026年有点无聊
[00:03:34] 但是刚刚过去的第一季度的感受是完全相反的
[00:03:38] 很多人都会反馈
[00:03:40] 感觉有点跟不上了
[00:03:41] 那你觉得过去一季度
[00:03:43] 哪些事情是最值得给听众朋友们画重点的
[00:03:47] 我觉得就一件事吧
[00:03:49] 过去一个季度最本质
[00:03:51] 最关键的一个转折点就是
[00:03:54] Anthropic的OPUS 4.5到4.6
[00:03:57] 这个模型的快捷度
[00:03:58] 我觉得算是一个从GPT-3到GPT-4水平的
[00:04:03] 叫跨时代的提升
[00:04:04] 就是让我们从chat问问题
[00:04:08] 变成了真正的agent模式
[00:04:12] 可以做高价值任务了
[00:04:13] 因为你做的任务的价值量提升了
[00:04:16] 所以它的价值就提升
[00:04:18] usage也在提升
[00:04:19] 我的体感是过去一个季度
[00:04:23] 模型水平进步的幅度
[00:04:25] 可能超过了2025年全年的进步幅度
[00:04:28] 你包括Anthropic和OpenAI这两家
[00:04:31] 都会有新的模型
[00:04:34] Misos跟Spud
[00:04:37] 马上要发布对吧
[00:04:39] 我觉得这两个是真正的GPT-5的时刻吧
[00:04:42] 之前还不算是吧
[00:04:45] 对之前我感觉OpenAI的GPT-5一直跳票
[00:04:48] 就是OPUS 4.5 4.6有这个意思了
[00:04:52] 我感觉像半代
[00:04:53] 可能接下来的真的算是
[00:04:55] 真正意义上夸上了GPT-5吧
[00:04:58] 过去就是一个model
[00:05:01] 你可以跟他chat
[00:05:02] 可以对话问问题
[00:05:03] 可以联网搜索对吧
[00:05:05] 那今天是agentic能力上来了
[00:05:08] 可以帮我们做复杂任务了
[00:05:10] 复杂任务的高价值量就上来了吧
[00:05:14] 而且我感觉加速度特别快
[00:05:17] 有可能今年夏天六七月份之前
[00:05:20] 可能还有一个GPT-3到GPT-4的跨越
[00:05:25] 就即便说Anthropic OpenAI新的Misos
[00:05:28] Spar很强也好
[00:05:31] 但可能他们的下一代更强
[00:05:33] 因为下一代也已经开始在训练过程当中了吧
[00:05:38] 对所以过去一个季度的推背感非常强
[00:05:42] 我是感觉AI的基点时刻应该已经到了过去一个季度
[00:05:47] 是的以前我们还觉得AGI挺遥远的
[00:05:50] 但是现在身边有些朋友也觉得两年内肯定AGI就实现了
[00:05:55] 那你对硅谷一线的生态都很熟悉
[00:05:58] 有哪些真实的case能够给大家分享一下
[00:06:01] 让大家能够感受到这种真实的代际的跨越
[00:06:05] 可以描述的更有体感一点
[00:06:07] 对我觉得硅谷这边一线的体感可以说一些case
[00:06:12] 让大家更好的体会到
[00:06:14] 就是你在这边的朋友
[00:06:16] 就是前沿实验室的这些AI的researcher们
[00:06:19] 包括很强的程序员
[00:06:21] 他们基本上不写代码了
[00:06:23] 去年可能一个系统当中可能还有七八成的代码是人写的
[00:06:28] 今年可能是小于1%的
[00:06:30] 大家日常的工作可能就像leader或者教授带着学生和team member去工作一样
[00:06:37] AI来写人来审
[00:06:40] 可能人来审的能力都不够了
[00:06:44] 今天Cloud Code和Codex在很多任务上其实已经到了很多公司的CTO或者首席架构师这个水平了
[00:06:51] 就对标一个Meta的R8或R9
[00:06:54] 其实你看它开发一个feature
[00:06:58] 两三次的迭代就跑通了
[00:07:00] 对吧
[00:07:01] 我们认识的身边的人基本上每天都消耗几百美金的token
[00:07:06] 一周几千美金
[00:07:08] 这个量还是挺夸张的
[00:07:10] 所以这个就带来一个效果
[00:07:12] 就是你过去做研发和做研究
[00:07:16] 以前一个想法到跑通代码
[00:07:20] 可能两三个星期
[00:07:21] 现在可能又一两天两三天
[00:07:22] 所以这是一个大幅的加速
[00:07:25] 就是coding和agentic变成了一个
[00:07:28] AGA加速最关键的一个要素之一了
[00:07:32] 可能仅次于GPU本身了
[00:07:34] 然后我觉得还有特别有意思的
[00:07:37] 也有朋友跟我说
[00:07:39] 最近很多AI research上的突破不是人类工程师带来的
[00:07:44] 而是Codex Cloud Code带来的
[00:07:46] 我觉得这是一个更质变的信号
[00:07:49] 就是说AI今天可以显著的加速AI
[00:07:53] 而且带来一些突破了
[00:07:54] 你以前解一个很难的
[00:07:58] 数学AMO的题可能解个半天
[00:08:01] 今天Codex把你解可能很快
[00:08:03] 对吧
[00:08:04] 也不是很多人都很擅长解题或者debug
[00:08:09] 对吧
[00:08:09] 你包括它对整个其他领域的研究加速也很大
[00:08:14] 你比如说做多摩泰的朋友说
[00:08:17] 他们以前做一个多摩泰的模型
[00:08:19] 整个数据迭代可能就一两个月吧
[00:08:22] 现在基本上几天或者一个星期
[00:08:24] 就是coding加速后
[00:08:26] 你发现对多摩泰的研究
[00:08:28] 加速也很大
[00:08:29] 这个让整个数据处理的pipeline其实提效挺快的
[00:08:35] 主要的变化就是模型处理数据的效率是比人要高的
[00:08:41] 然后你包括还有一线的体感
[00:08:45] 就是这个是公开的
[00:08:46] 就是Anthropic他们过去50多个工作日
[00:08:50] 发了70多款产品和features对吧
[00:08:54] 这个在互联网时代好像是根本做不到的
[00:08:57] 我估计大家可能在网上
[00:08:58] 都看到过那张图
[00:08:59] 所以coding我觉得是过去一个季度最关键的关键词吧
[00:09:04] 它会让最顶尖的1%甚至千分之一的人
[00:09:08] 他的生产力放大了几十倍
[00:09:12] 我觉得这个是一个很大的变化
[00:09:15] 那你觉得coding和Agentic带来的变化这么大
[00:09:18] 有给这几家公司在营收上带来显著的变化吗
[00:09:22] 我觉得这个是一个更有意思的
[00:09:24] 就是说你看Anthropic他们已经官宣说
[00:09:28] AR超过了OpenAI对吧
[00:09:30] 但更重要的是
[00:09:32] 他可能头上的一两百万用户
[00:09:35] 贡献的收入超过了OpenAI
[00:09:37] 可能五六千万订阅的这些用户
[00:09:41] 所以之前你觉得ChatGP在C端已经赢了
[00:09:45] 但发现C端好像没有coding
[00:09:48] 或者Agent这个更大
[00:09:49] 所以今天我感觉更有意思的是
[00:09:52] 不再是只追求DAU或者广告这个规模
[00:09:56] 而是追求
[00:09:58] Token usage这个指标
[00:10:00] 尤其是超级开发者或者Target的用户
[00:10:04] 这个感觉更重要
[00:10:06] 所以你看coding的爆发性
[00:10:08] 我感觉比ChatGP当年还要陡峭
[00:10:11] 就是如果这个势头下去
[00:10:14] 年底OpenAI和Anthropic他们的AR
[00:10:17] 有可能就到800亿美金或者1000亿美金
[00:10:20] 那明年可能就奔着2000多亿美金去了
[00:10:23] 其实他两个已经成为了新时代的Mega7
[00:10:28] 这种公司了
[00:10:29] 所以你看他明年如果盖的一个2000多亿美金的AR
[00:10:33] 那其实给个十几倍的PS
[00:10:36] 好像也非常make sense对吧
[00:10:38] 所以你看历史上几乎没有出现过
[00:10:41] 两家公司齐头并进
[00:10:44] 这么短的时间内做到千亿美金营收
[00:10:46] 对吧
[00:10:47] coding的run rate
[00:10:48] 从过去两三年就超过了Google Cloud
[00:10:52] 做了可能十七八年的一个规模
[00:10:54] 但那个Google Gemini其实规模也很大
[00:10:57] 所以你看模型的revenue增长是非常陡峭的
[00:11:01] 听起来coding是智能的一支非常重要的推手
[00:11:05] 突然让很多不可能的任务都变成了可能
[00:11:08] 也让产品形态从chatbot走向了agent
[00:11:13] 我们去年Q1的播客就在聊AGI的主线任务
[00:11:16] 你当时就一直在说coding coding coding
[00:11:19] 包括你去年也跟很多人去说了coding coding coding
[00:11:23] 你觉得当时你对于coding的理解已经足够深刻了吗
[00:11:26] 那今天你对于coding的理解有什么新的变化
[00:11:29] 我觉得新的变化可能更多是几个强观点或者视角吧
[00:11:35] 我觉得第一个观点就是说
[00:11:37] 你相不相信code可以表达数字世界的绝大多数任务
[00:11:42] 因为自然语言是对世界的描述
[00:11:44] code是对solution的描述
[00:11:47] 就是语言即世界
[00:11:49] 代码即方案
[00:11:50] 对吧
[00:11:51] 因为语言和代码是高度的浓缩抽象
[00:11:54] 而且覆盖范围非常大
[00:11:56] 如果这个假设成立
[00:11:59] coding agent做好了
[00:12:00] 是不是就可以把白领知识工作者的大部分任务都可以自动化了
[00:12:07] 就是今天我们在办公室电脑上操作的大部分工作任务
[00:12:12] 基本上都可以被自动化了
[00:12:14] 我觉得这是第一个观点吧
[00:12:16] 我觉得第二个观点是
[00:12:18] 如果领先的模型公司不重视coding
[00:12:21] 他大概会掉出第一梯队的
[00:12:24] 而且也不存在
[00:12:25] 只给自己用的coding model
[00:12:27] 因为你自家的任务数据分布是不够全的
[00:12:30] 肯定是落后的
[00:12:31] 而且如果你作为一个领先的模型公司
[00:12:33] 你过度依赖anthropic
[00:12:35] 一旦你做到第一梯队对他有威胁了
[00:12:37] anthropic大概率是给你断供的
[00:12:40] openapp被断供了
[00:12:41] exit被断供了
[00:12:43] 可能google大部分被断供了
[00:12:45] 可能sum好哪一天meta也要被断供了
[00:12:49] 有可能coding这个跟gpu是一样的
[00:12:51] 所以你看coding它不只是一个行业
[00:12:53] 也不只是一个应用行业
[00:12:54] 也不只是一个应用场景
[00:12:56] 也不是一个产品
[00:12:57] 不只是一个产品
[00:12:58] 其实它反而变成了ai整个路线途中一个重要的加速器
[00:13:03] 所以我觉得它应该是一个当下最主线的任务
[00:13:08] 你没有最领先的coding model
[00:13:10] 就像是没有最领先的gpu
[00:13:12] 你用a100跟别人用gb
[00:13:14] 这个差别是很大的
[00:13:15] 对吧
[00:13:16] 还是要追求先进生产力
[00:13:18] 不然你研发上就是很落后的
[00:13:21] 我觉得第三个观点就是
[00:13:24] coding就很像亚马逊当年卖书一样
[00:13:27] 你借助卖书把所有的仓储物流用户供应链都拉通了
[00:13:34] 然后你再横向scale其他的sql
[00:13:37] 这样就很容易
[00:13:38] 所以那你又从长期来看
[00:13:41] coding又只是整个AGA实现后可能很小的一部分
[00:13:45] 因为AGA自动化了全球大部分的GDP
[00:13:49] coding其实更多还是在整个AGA实现中起到一个加速
[00:13:54] 和打样的一个意义吧
[00:13:56] 我觉得之所以coding最先跑出来
[00:13:58] 还是因为反馈闭环最短
[00:14:00] 就是整个所谓的feedback loop最清晰
[00:14:04] 其实你看过去几年AI跑得最快的地方
[00:14:07] 都是feedback loop最清晰的
[00:14:10] 我觉得第四个还有一个比较有意思的观点
[00:14:13] 就是coding在整个AGA的历史进程中到底处在什么位置
[00:14:19] 因为第一幕我们看到是chatbot对吧
[00:14:22] chatgpt
[00:14:23] 模型可以对话了
[00:14:24] 也可以联网搜索了
[00:14:25] 但其实整个商业价值还是有限的
[00:14:28] 第二幕今天走到了coding agent对吧
[00:14:31] agent帮我们直接完成任务
[00:14:34] 本质是能帮我们干活了
[00:14:36] 进而还可以加速整个AGA
[00:14:38] 或者说coding agent实现了
[00:14:41] 有可能AGA的90%已经实现了
[00:14:45] 我觉得好像也不用什么范式创新
[00:14:47] 就可以把大多数的知识工作者的任务自动化了
[00:14:52] 第三幕可能就是自动化的AI研究员了
[00:14:55] 这也是openAI可能最想做的
[00:14:57] 每个人可能都有一个强大的研究助理
[00:15:01] 你让研究助理去解决各种各样的问题
[00:15:04] 那时候可能会去解决基础科学的问题
[00:15:07] 比如说脑科学神经科学材料学对吧
[00:15:10] 所以我们画一个AGA的路线图
[00:15:13] 就像爬一座科学的高山
[00:15:16] 但每个AI lab可能有自己的路线图
[00:15:19] 那今天我们处在什么样的位置
[00:15:21] coding也处在什么样的位置
[00:15:23] 有可能今天还只是整个科学的高山攀登的开始吧
[00:15:28] 对你说到这个我也觉得很感慨
[00:15:30] 因为去年其实你说codingcodingcoding的时候
[00:15:33] 很多人可能会觉得coding还只是一个垂直场景的事情
[00:15:36] 他没有意识到coding能带来这么强的泛化性
[00:15:40] 我觉得就一个精辟的总结
[00:15:42] 叫语言及世界代码及方案
[00:15:46] 因为只有这两个它的泛化性是充分被证明了的
[00:15:51] 其他领域的泛化性还没有被充分证明
[00:15:54] 你比如说我想通过数学来提升智能能力
[00:15:59] 可能可以
[00:16:00] 但是数学能表达的东西太有限了
[00:16:03] 很明显我们今天是从第一幕走到了第二幕
[00:16:07] 那从chatbot进入了coding agent的时代
[00:16:10] 那据你观察
[00:16:11] 现在所有人已经充分地意识到coding非常重要了吗
[00:16:14] 那既然重要
[00:16:15] 为什么有些人没有all in资源去做呢
[00:16:18] 我知道的好几个AI lab好像是
[00:16:21] 好像都把coding放到了最高最高优先级
[00:16:26] 但基本上也是过去一到三个月的事情
[00:16:31] 你发现实际做好好像也没有那么容易
[00:16:34] 所以我觉得大家心里可以打个分
[00:16:37] 就是做好coding的难度系数
[00:16:39] 一到十分你到底打几分
[00:16:41] 如果第一四分呢
[00:16:43] 那大家每家都能做好
[00:16:45] 非常居然对吧
[00:16:46] 如果高于八分九分呢
[00:16:49] 那有可能领先的
[00:16:50] Anthropic可能会一家独大
[00:16:52] 大概也会继续领先
[00:16:53] 其实你也没有其他什么理由能继续超过它
[00:16:58] 我觉得取决于难度系数和竞争吧
[00:17:02] 那你觉得做好coding的难点到底在哪里啊
[00:17:05] 就是大家既然都知道coding很重要了
[00:17:07] 能不能给大家讲讲
[00:17:08] 就是如果要做好coding
[00:17:10] 应该最重视的最头目的三件事情是什么
[00:17:13] 我觉得最重要的可能就两件事
[00:17:15] 一个是组织和文化
[00:17:18] 第二个是数据
[00:17:19] 就是
[00:17:20] 其实我觉得coding不只是一个技术know-how的问题了
[00:17:23] 更多还是一个战略和组织的问题
[00:17:26] 我认识的研究院朋友都跟我说
[00:17:29] coding最重要的是数据这个壁垒
[00:17:32] 但问题是你觉得哪一个AI lab
[00:17:35] 能组织好最聪明的
[00:17:37] 非常有想法的几百个人
[00:17:39] 就all in搞coding一个事
[00:17:40] 因为这里面有很多脏活
[00:17:41] 很多苦活
[00:17:42] 就是搞数据的活
[00:17:44] 因为每个lab里头最聪明的人
[00:17:46] 都想做自己的一些bat
[00:17:47] 搞自己的实验对吧
[00:17:49] 搞一些新的突破0到1
[00:17:51] 都想成为一例
[00:17:52] 我觉得这个可能是一个问题的根本
[00:17:56] 那anthropic可能不一样的点就是说
[00:17:59] 他们这几个founder可能
[00:18:01] 一开始就意识到数据可能是
[00:18:04] 所有问题的根本
[00:18:05] 叫模型基因应用
[00:18:07] 数据基因模型
[00:18:08] 对吧
[00:18:09] 所以我感觉他们重视数据可能是刻在骨子里的
[00:18:12] 有个rumor就说
[00:18:14] 他们的首席科学家Jarrett Kaplan
[00:18:17] 就亲自在日谈的过数据
[00:18:18] 这个好像是比较少见的
[00:18:20] 我觉得更重要的还是说
[00:18:22] 不做什么对吧
[00:18:24] 你看anthropic就完全放弃了多摩泰
[00:18:27] 对吧
[00:18:28] 可能多摩泰不在科技书的主线上
[00:18:30] 也没有跟风做resilient model
[00:18:34] 2c也放弃了对吧
[00:18:36] 然后就是在coding比较专注
[00:18:39] 这是第一个
[00:18:42] 我感觉组织上和不做什么
[00:18:45] 第二个可能是数据吧
[00:18:46] 第二个就是说
[00:18:47] 数据这个点可能更难一些
[00:18:49] 以前chatbot就是chat那些文本类的数据
[00:18:52] 但今天可能更复杂了
[00:18:54] 就coding和agentic它是一套的
[00:18:57] 它既有任务又有环境又有整个的评估
[00:19:00] 所以这个数据比以前的数据难了很多
[00:19:03] 而且你要造出来很多数据
[00:19:05] 所以coding做好可能没有想象的那么简单
[00:19:08] 我觉得更重要的还是说
[00:19:10] 每个公司在战略组织文化上
[00:19:13] 其实并没有真的重视起来
[00:19:15] 其实你看过去
[00:19:17] 半年Google和OpenAI是过去在争2c的
[00:19:21] 其实对coding也有很大的战略误判的
[00:19:23] 其实是严重低估了coding的重要性和优先级的
[00:19:28] 除了anthropic
[00:19:29] 当然现在一到三个月内
[00:19:31] 很多人都已经开始把它当作最重要的优先级了
[00:19:34] 那在之前呢
[00:19:35] 其他团队为什么没有专注的去做coding
[00:19:37] 他们没有意识到coding这么重要吗
[00:19:39] 我觉得每家都有自己的战略优先级的选择
[00:19:42] 包括过去的一些思维上的包袱
[00:19:45] 因为你看现在有两条
[00:19:47] AGI的路线
[00:19:48] 第一条是追求c端的流量
[00:19:50] ChatGPT
[00:19:51] Gemini
[00:19:52] 豆包
[00:19:53] 第二条是追求高价值的任务
[00:19:55] anthropic这比较领先
[00:19:57] 那就看你想要哪个
[00:19:59] anthropic也许是被迫只能选coding了
[00:20:02] 因为c端窗口它错过了
[00:20:05] 其实你说c端重要吗
[00:20:07] 有可能也重要
[00:20:08] 就是有可能c端未来也是会覆盖掉高价值任务的
[00:20:13] 其实你看25年其实是c端窗口很关键的一年
[00:20:17] 其实很多模型公司都已经错过了c端的窗口了
[00:20:20] ChatGPT和Google忙着抢c端的窗口才错过了coding这个窗口
[00:20:27] 我觉得可能战略你选择什么可能更重要
[00:20:31] 这个可能是每个模型公司管理层最高思考的问题
[00:20:36] 你今天资源很有限
[00:20:38] 你到底是搞c端还是搞coding
[00:20:42] 因为资源精力是有限的
[00:20:44] 然后可能是要放弃一些东西的
[00:20:46] 我觉得更多是战略选择
[00:20:47] 你到底优化一个什么样的目标
[00:20:49] 到底要什么
[00:20:50] 这个可能是更关键的
[00:20:52] 那你觉得这第一条路和第二条路
[00:20:54] 一个是c端窗口一个是高价值任务
[00:20:56] 它们未来会merge吗
[00:20:57] 它们会融合吗
[00:20:58] 它们会成为统一的一件事情吗
[00:21:01] 现在看还是两条路径
[00:21:03] 我觉得融合的概率是非常大的
[00:21:06] 包括ChatGPT后面把chat跟agent code这些东西都融合起来
[00:21:11] all in one一个平台
[00:21:13] 本身是对的
[00:21:14] 但是有可能存在另外一个用途
[00:21:16] 就是说有的人只做塔尖的用户
[00:21:20] 塔尖的用户就像量化一样
[00:21:22] 只有极少数的人
[00:21:24] 可能一两百万人贡献了很大的usage
[00:21:27] 这是有可能的
[00:21:28] 我也不知道未来c端的DAU还有没有意义
[00:21:33] 有可能有意义
[00:21:34] 但有可能塔尖用户的token usage可能更有意义
[00:21:40] 因为它也是数据的一种
[00:21:42] 它其实补充了预训练的数据
[00:21:44] 数据的费能
[00:21:45] 数据的费能我觉得还不知道
[00:21:47] 因为我也不知道大多数人在未来这个时代中的重要性
[00:21:51] 还有没有以前那么强
[00:21:53] 有可能塔尖的人会贡献整个世界的生产力更加集中
[00:21:59] 我感觉强者恒强是很残酷的
[00:22:03] 但这又是一个趋势
[00:22:05] 这是会带来整个社会的整个分工的变化
[00:22:08] 这个我们后面也会聊到
[00:22:10] 那接下来能不能分别展开聊一聊
[00:22:12] 就是据你观察
[00:22:13] 我觉得每一家的模型公司
[00:22:15] 它的战略组织和文化特点
[00:22:17] 能不能分别跟我们讲一讲
[00:22:19] 第一个应该是anthropic吧
[00:22:21] 因为你对anthropic相对是熟悉的
[00:22:24] 你觉得他们是最早看到了什么迹象
[00:22:27] 就battle coding这个事情呢
[00:22:29] 是怎么做的这个关键的技术决策
[00:22:32] 关键的推动者是谁呀
[00:22:34] all in coding其实也不是他们day one就能想清楚的
[00:22:40] 我觉得一方面是C端没有机会了
[00:22:42] 第二是24年夏天
[00:22:44] 我记得发了soundex3.5
[00:22:46] 其实那个给了coding正反馈
[00:22:49] 其实也是在摸索的过程中
[00:22:51] 把coding这条路线给摸清楚了
[00:22:54] 但这个公司更值得关注的是它的几个特点
[00:22:58] 就是在那之后
[00:23:00] 24年夏天在那之后
[00:23:02] 只all in了一件事
[00:23:03] 就是coding今天做成了
[00:23:05] 而且巨大对吧
[00:23:06] 而且他们放弃了C端
[00:23:08] 放弃了多么泰
[00:23:09] 战略上是非常top down的
[00:23:12] opi是特别bottom up的
[00:23:14] 所以anthropic有一个非常恶滥一致的目标
[00:23:17] 就是搞好这个东西
[00:23:18] 有一个自己的一个路线图对吧
[00:23:21] 而且创始人特别酣脏
[00:23:23] 懂技术
[00:23:24] 带着大家搞数据搞工程对吧
[00:23:26] 重视数据可能是写在基因里刻在骨子里的
[00:23:30] 而且anthropic这个团队好像也一直比较稳定
[00:23:33] 不像opi团队没那么稳定
[00:23:36] 人才流失之类的
[00:23:38] 以及你跟anthropic的人交流
[00:23:40] 我感觉他们每个人都很像
[00:23:42] 相信AGI
[00:23:43] 就特别AGI原生的那种
[00:23:45] 这个状态吧
[00:23:46] 可能这个创始人也特别有洗脑能力吧
[00:23:48] 经常会传递一些
[00:23:50] 比较像宗教一样的
[00:23:52] 这个发言
[00:23:54] 其实你看anthropic过去说的
[00:23:56] 包括融资奖呢
[00:23:57] 好像全都实现了
[00:23:59] 我觉得这可能是一个
[00:24:01] 优秀公司应该有的样子吧
[00:24:03] 就是
[00:24:04] 弄清楚战略之后就
[00:24:06] 坚定的执行
[00:24:08] 组织和文化也都跟进
[00:24:09] 对吧
[00:24:10] 就是我觉得坚定最重要
[00:24:12] 就不要摇摆
[00:24:13] 那个
[00:24:14] 其实你看他们很早就不做多摩泰了
[00:24:17] 或者投入非常小
[00:24:18] 可能这就不是他们
[00:24:20] 所认为的科技书的主线
[00:24:22] 很多人
[00:24:23] 去年说预训练撞墙了
[00:24:25] 他们好像也没觉得撞墙
[00:24:26] 依然坚持做
[00:24:27] 也是他们擅长的
[00:24:28] 很多人觉得RO这个事
[00:24:30] 封神的时候
[00:24:31] 他们也没有把RO这个封神
[00:24:33] 也没有去做所谓的
[00:24:35] Resident Model
[00:24:36] 好像他们没有刻意神化一个人
[00:24:39] 或者某一块
[00:24:40] 最终目的好像就是
[00:24:42] 做好一个模型
[00:24:43] 也没有觉得
[00:24:44] 非得就一个环节重要
[00:24:45] 更像是一个集体
[00:24:47] 一个球队
[00:24:48] 一个工业化的体系
[00:24:49] 每个环节都做好
[00:24:50] 就是相比之下
[00:24:51] 欧派可能有些做的不好的地方
[00:24:53] 其实可能
[00:24:54] 比较像VC对吧
[00:24:56] 喜欢造新的概念
[00:24:57] 把某些概念可能推的很高
[00:24:59] 或者
[00:25:00] 容易神化某一个环节
[00:25:02] 就是以前神化Portrait
[00:25:04] 后面Post-Train
[00:25:05] 对吧
[00:25:06] 后面这个O1
[00:25:07] O3对吧
[00:25:08] 但好像
[00:25:10] 就不太会
[00:25:11] 所以就动荡摇摆很大
[00:25:15] 我觉得这可能是
[00:25:18] 文化特点可能比较重要的
[00:25:21] 其实你看组织上的Anthropic
[00:25:23] 可能是一帮人就做一件事
[00:25:25] 欧派你跟他小伙伴交流一下
[00:25:27] 经常是一个人做一个新的事
[00:25:31] 所以专注度聚焦
[00:25:33] 我觉得可能是一个比较关键的
[00:25:35] 而且Anthropic好像一直是
[00:25:38] 不怎么招那些Big Name
[00:25:40] 都是招Underdog
[00:25:42] 而且对文化面世也比较严
[00:25:44] 经常会问你很多文化问题
[00:25:46] 比如说AGI实现了之后
[00:25:48] 种种种种各种选择
[00:25:49] 你会怎么做
[00:25:50] 我的感觉好像
[00:25:52] Anthropic早期的人都还是比较
[00:25:55] AGI mission驱动的
[00:25:57] 就是你看Alpha当时比OpenFD风险也大
[00:26:00] 很多人还是进来了
[00:26:01] 可能也是一个筛选吧
[00:26:03] 然后这些人都还是比较AGI原生的
[00:26:06] 所以他们的文化也一直比较稳定
[00:26:08] 人才流失也比较少
[00:26:10] 你说到Anthropic
[00:26:11] 我想到我觉得他们除了模型
[00:26:13] 他们在产品上做的也挺有sense的
[00:26:15] 他们产品有什么方法论吗
[00:26:17] 就是感觉他的产品非常的AI native
[00:26:19] 非常懂产品
[00:26:20] 对
[00:26:21] 我是感觉他们的产品文化
[00:26:23] 和产品sense都是蛮好的
[00:26:25] 其实随着模型能力的提升
[00:26:27] 他们好像是把模型能力
[00:26:29] 转化到产品
[00:26:30] 转化到用户体验
[00:26:31] 这个效率是更高的
[00:26:33] 因为他们做产品的很多人
[00:26:34] 还是工程师或者研究员
[00:26:36] 很懂模型能力
[00:26:37] 你比如说Cloud Code的创始人Boris
[00:26:40] 其实是很强的Coder
[00:26:42] 他其实是想deliver一个最强的
[00:26:45] Coding的工作方式
[00:26:47] 在引领整个开发范式
[00:26:49] 其实你看Cursor火了以后
[00:26:51] 很多人在讨论说
[00:26:53] 模型公司要不要再做一个IDE
[00:26:55] 好像Anthropic没有做IDE
[00:26:57] 而是他做了一个终端的形式
[00:26:59] 就是今天的Cloud Code
[00:27:01] 因为这个可能是更能承接住
[00:27:03] 模型的红利的
[00:27:05] 因为模型是指数级增长的
[00:27:08] 但你产品也得有红利的
[00:27:10] 在指数级接触这个东西
[00:27:13] 我是感觉他们的产品Sense
[00:27:14] 还是挺在线的
[00:27:15] 就是产品比较面向AGI
[00:27:19] 面向模型指数增长的红利上
[00:27:23] 我觉得他们用户体验也确实不错
[00:27:25] 然后产品的Harness这些东西
[00:27:27] 做的也比较好
[00:27:29] 你刚才也提到了
[00:27:30] Anthropic的组织和文化
[00:27:31] 它的Founding Team是什么样的
[00:27:33] 能不能评价一下他们的核心团队
[00:27:36] 以及这些做产品也都是
[00:27:38] 来自模型Team对吧
[00:27:40] 对
