[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 一位00后的华人女孩 名字叫洪乐彤
[00:00:33] 她的探索方向是AF4Net
[00:05:11] 最少的理所当然
[00:05:13] 或者说不一定是最少
[00:05:14] 看你从哪一个角度去看
[00:05:16] 有一些人他会去从
[00:05:17] compression压缩这里去看
[00:05:19] 他希望是最少的公理
[00:05:21] 有一些人是去
[00:05:22] 希望能找最有意思的
[00:05:24] 或者说就是搭配最合理的一套公理系统
[00:05:28] 然后往上再搭建
[00:05:29] 然后往上搭建的这个过程中
[00:05:31] 其实我觉得这个过程是
[00:05:32] 很多人觉得数学是解题
[00:05:34] 就是我有一道题
[00:05:35] 然后我把它做出来
[00:05:36] 但就是往上搭理论的这个过程
[00:05:39] 其实很有意思
[00:05:40] 一般是先从一些数学的一些例子出发
[00:05:43] 一些它就是
[00:05:44] 比如说是一个序列
[00:05:46] 或者说是一个集合
[00:05:48] 然后你去发现一些规律
[00:05:50] 然后这个时候你觉得
[00:05:52] 很自然而然的
[00:05:53] 下面的一个题应该是怎么样的
[00:05:55] 然后再去证明它
[00:05:56] 所以这个过程
[00:05:57] 其实有一点点像艺术
[00:05:58] 我觉得
[00:05:59] 是一个介于艺术与科学之间的一个存在
[00:06:01] 所以数学到底是一个被发现的过程
[00:06:04] 还是一个被创造的过程
[00:06:05] 这是一个这个千古千古千古的难题的辩论辩论点
[00:06:09] 你是哪一派
[00:06:11] 我觉得就是
[00:06:12] 如果就是一些数学家
[00:06:15] 他们有一套比较相似的训练背景
[00:06:18] 或者说他们在同一个领域里面
[00:06:20] 他们阅读了同样的一批代表作
[00:06:24] 他们会有一个某种程度上
[00:06:26] 比较大的一个默契
[00:06:28] 去说
[00:06:29] 我们认为这个很自然而然的
[00:06:31] 它应该是是什么样的
[00:06:33] 然后如果说出现了一个
[00:06:35] 比如说最有意思的
[00:06:36] 就是当拉玛努金
[00:06:38] 他从印度来到了英国
[00:06:40] 他遇到了这个哈代和Littlewood
[00:06:42] 他们就是Hardy Littlewood
[00:06:44] 他们两个人就是一直
[00:06:46] 就他们两个写paper
[00:06:47] 他们写了很多很多的文章
[00:06:48] 然后拉玛努金来到这里
[00:06:50] 就是像一个外星人一样
[00:06:52] 他说
[00:06:52] 嘿这是我的这个草稿本
[00:06:54] 上面这些东西全都是对的
[00:06:55] 我从来没有接受过数学的这个训练
[00:06:58] 我不知道怎么去证明的
[00:06:59] 然后哈代和Littlewood
[00:07:00] 我就会觉得
[00:07:01] 这些东西看起来很有意思
[00:07:04] 他们很新
[00:07:05] 然后他们和我们之前做的东西
[00:07:07] 又感觉是
[00:07:08] 又感觉这个东西是对的
[00:07:09] 但是所以他们就开始用证明
[00:07:11] 所以某种程度上证明是一个
[00:07:13] 与原来的这一群数学家
[00:07:16] 所不太一样的一个一些人
[00:07:20] 他们可以用证明来说服他们
[00:07:23] 证明其实某种程度上
[00:07:24] 它是影响力
[00:07:25] 就是我只要能够去把这个东西
[00:07:27] 严丝合缝的逻辑证明
[00:07:29] 我这个数学的发现
[00:07:30] 就是可以被接受的
[00:07:31] 然后在它被接受的这个情况下
[00:07:33] 当然了
[00:07:34] 又会说你这个证明是美还是不美
[00:07:37] 是自然还是不自然
[00:07:38] 这个我们之前看到很多国际的数论学家
[00:07:41] 去看张一堂先生的这个的数论证明
[00:07:45] 他们就觉得这个证明是
[00:07:46] 和他们熟悉的一些学派
[00:07:50] 非常不一样的一种证明方式
[00:07:52] 但是在就是非常著名的那一个
[00:07:56] 那一个结果
[00:07:57] 就是数数的这个固定性
[00:07:59] 的这个差
[00:08:00] 这个他们觉得是正确的
[00:08:02] 所以他们又接受了这件事情
[00:08:03] 于是就是又开始去互相的去
[00:08:06] 去学习和整理他们的证明方式
[00:08:08] 比如说James Maynard
[00:08:10] 2022年的菲尔兹奖
[00:08:11] 他有另外的他的一套的证明的这个技巧
[00:08:14] 然后他的学生们去继承他的证明的技巧
[00:08:17] 然后他和这个张一堂先生的这些
[00:08:20] 就可以进行
[00:08:21] 大家可以进行比较
[00:08:22] 也可以进行简化
[00:08:23] 这个过程其实是非常
[00:08:25] 非常有意思的一个治理过程
[00:08:27] 你是哪一派呀
[00:08:29] 是那种直觉派天才派还是证明派
[00:08:32] 我一直就是非常希望能当直觉派天才派
[00:08:36] 然后这其实是我很小
[00:08:38] 就是痛苦的一个根源
[00:08:39] 就是我一直发现我自己没有什么
[00:08:41] 特别大的数学天赋
[00:08:42] 就我是一个蛮力型选手
[00:08:45] 对我是蛮力型选手
[00:08:46] 就是你给我
[00:08:47] 我小时候在打数学奥赛的时候
[00:08:49] 我记得他们说
[00:08:50] 就是每个卷子的第一道题几何题
[00:08:53] 欧式几何题
[00:08:54] 欧式几何题是必拿的分
[00:08:56] 你如果不拿欧式几何题
[00:08:58] 你连这个
[00:08:59] 你都拿不到
[00:09:00] 然后我就一直做不出来欧式几何题
[00:09:03] 我倒是可能能做代数不等式
[00:09:05] 我的大脑可能更偏
[00:09:06] 代数的符号的表达
[00:09:09] 然后几何和拓扑实在是差
[00:09:10] 所以我一般就是去把
[00:09:13] 每一个点然后每一条线
[00:09:14] 就用这个复数法就是大力出奇迹
[00:09:17] 我最后我不需要去理解
[00:09:19] 这个几何题它背后的几何意义
[00:09:21] 我就把它完全是
[00:09:22] 就是照本宣科的去拿一个套
[00:09:25] 非常复杂的复数法
[00:09:26] 就把它就是解决出来
[00:09:28] 我可能会需要
[00:09:29] 比别人多两到三倍的时间
[00:09:30] 导致我可能其他题目的时间分配不均
[00:09:33] 但是这是我做这个几何题的唯一方式
[00:09:35] 其实最有意思的是
[00:09:36] 2021年开始
[00:09:38] 就是Google DeepMind
[00:09:39] 他们从他们很秘密的开始一个
[00:09:42] 这个Alpha Geometry的这个项目
[00:09:44] 就是说如果我们这个拿AI去证明
[00:09:47] 欧式几何题非常困难
[00:09:49] 感到困难
[00:09:50] 能否把它变成符号表达
[00:09:51] 它这个不是复数法
[00:09:53] 跟我说的这个人类
[00:09:54] 我这个人类做的方式是不一样
[00:09:56] 但它这个背后的哲学是一样的
[00:09:59] 我们的图形变成这个符号表达式
[00:10:01] 于是这就是他们就能够通过这个东西去解决
[00:10:05] 好像81%的就是AI
[00:10:07] 就是AI能够解决81%历史上IMO的几何题
[00:10:11] 就这是一个很有意思
[00:10:12] 这是一个我不是天赋型选手的这个解释
[00:10:15] 解释一我有一个解释二
[00:10:17] 就是我在MIT的时候
[00:10:18] 我身边所有人他们都是天赋型选手
[00:10:21] 所以你只要就是看看左边
[00:10:22] 看看右边就知道自己不是天赋型选手
[00:10:25] 但是呢我不放弃
[00:10:26] 我是打不死的小强
[00:10:27] 就是你给我一道题
[00:10:29] 我做不出来我继续想
[00:10:30] 我记得当时Henry Kong教授
[00:10:32] 他给了我一道sphere packing
[00:10:34] 让我去想一些关于28位的这个sphere packing的一些小的问题
[00:10:38] 这个东西当然不可能就是期待一个本科生完全解决
[00:10:41] 然后我六个月我什么都没有想出来
[00:10:43] 但是我每一周我就去说
[00:10:45] 我这是我试过的
[00:10:46] 我没有成功
[00:10:47] 然后我又试了一周
[00:10:48] 我又没有成功
[00:10:49] 所以但这个这种蛮力行
[00:10:51] 其实某种程度上会和一些天赋型选手存在一个互补
[00:10:55] 就是说他们可能有一些脏活累活不愿意干的
[00:10:57] 我可以把它去干完
[00:10:59] 所以你的这个过程有点类似于AI的过程
[00:11:03] AI是这种蛮力行选手
[00:11:04] AI是直觉派吗
[00:11:06] 现在AI里面它也分了这个比较天赋型聪明型的AI
[00:11:11] 和这个和这个比较蛮力行的AI
[00:11:13] 比如说我们现在这个我们公司的这个AI系统
[00:11:17] 它里面就是它是一个系统
[00:11:19] 所以它中间有很多的模型
[00:11:20] 它有一些模型就是能够很很快的去认定这个题目
[00:11:26] 应该是被12345675这么
[00:11:29] 大概证明出来
[00:11:30] 然后就是偏形式化
[00:11:33] 见到了很多Lin这种形式化语言的AI
[00:11:36] 它就会说
[00:11:37] 哎反正我就是一个tactic一个tactic的
[00:11:40] tactic是Lin里面的一个步骤或者说是策略
[00:11:44] 它能够让你就是从把你的一个很复杂的问题
[00:11:48] 一步一步的去把它解决
[00:11:49] 它更是这种严丝合缝
[00:11:52] 就是小步小步走
[00:11:53] 然后不是之前刚才讲的那一个能够列提纲的AI
[00:11:57] 所以其实AI这系统里面
[00:11:59] 两种就是类型的AI数学家
[00:12:01] 它也能相辅相成
[00:12:02] 某种情况下
[00:12:04] 其实最有意思的是
[00:12:05] 当看到一道题
[00:12:07] 就是我们发现在
[00:12:08] 我们最近我们公司在这个普特南大学生数学竞赛中
[00:12:13] 就是这个Action Prover AI拿了满分
[00:12:16] 然后是人类历史上有五个满分
[00:12:20] 过去的98年
[00:12:21] 1927年开始第一次普特南数学竞赛
[00:12:26] 然后这是第六个满分
[00:12:27] 是一个AI拿到的
[00:12:29] 然后我们就有看这个AI的解法
[00:12:31] 有一道题我印象特别深刻
[00:12:33] 我们队伍中有这么一个同学
[00:12:35] 他叫做Evan Chen
[00:12:36] 他是美国IMO数学竞赛队的教练
[00:12:41] 所以他是非常天赋型的一个选手
[00:12:43] 他看到这道题
[00:12:44] 他画了一个图
[00:12:45] 然后我们所有人当时在那个会议室
[00:12:47] 一看到这个图
[00:12:48] 我们就说那你是把它做出来了
[00:12:49] 就一个图的一个解法
[00:12:51] 这个AI果然就没有找到一个图的解法
[00:12:54] 我们看到了就是几千行的这个Lin代码
[00:12:57] 它是就是硬生生的
[00:12:59] 把这个图的解法
[00:12:59] 把它某种类似枚举
[00:13:01] 类似分类讨论
[00:13:02] 然后就是一步一步一步核实
[00:13:06] 去把它就是干出来的
[00:13:08] 所以就是这是一个大力出奇迹的AI
[00:13:11] 他可以看到这个机器
[00:13:13] 他会去就算是一道很明显
[00:13:15] 可以去做创造力解法的一道题目
[00:13:18] 他可以去通过他自己擅长的东西
[00:13:20] 去给出一个完全不一样的解法
[00:13:23] 其实我觉得去比较人类与AI
[00:13:25] 就是得到的这个证明解法
[00:13:27] 背后的数学是一个
[00:13:29] 非常有意思的过程
[00:13:30] 所以数学不是人类的特权对吧
[00:13:34] 现在感觉上这个自动定理证明
[00:13:37] 这个领域发展的很好
[00:13:40] 其实这个领域
[00:13:42] 它不能够叫是AI的胜利
[00:13:45] 它在没有AI
[00:13:47] 没有这个深度神经网络的时候
[00:13:49] 就有一群电脑计算机科学家
[00:13:52] 他们就是去希望能够使得
[00:13:56] 基于规则的电脑系统
[00:13:58] 能够去做一些的设计
[00:13:59] 去帮助人类去解决
[00:14:01] 能够解决的数学问题
[00:14:03] 然后这就叫做自动定理证明ATP
[00:14:07] 然后ITP就是交互性定理证明
[00:14:09] 互动性定理证明
[00:14:10] 就是毕竟有一些ATP无法解决的
[00:14:13] 就是过去会有一些人类
[00:14:15] 他们是数学家
[00:14:16] 他们也会去写这种LIN
[00:14:19] 这种特定的这种程序
[00:14:21] 编程语言
[00:14:22] 他们就会去与这个电脑系统
[00:14:24] 一起去合作证明这件事情
[00:14:26] 现在其实我们只是把这个ITP
[00:14:29] 中的这个人类换成了一个AI而已
[00:14:32] 它这个古老的这个学科
[00:14:35] 其实某种程度上是ATP与AI的
[00:14:37] 这样的一个交集
[00:14:39] 我相信很多人都还是会对你很好奇
[00:14:42] 你虽然一直在说
[00:14:44] 你不是天赋型选手
[00:14:45] 你是一个蛮力型选手
[00:14:46] 但是你的过往的背景非常的强
[00:14:48] 所以还是想聊聊你自己
[00:14:51] 你在广州长大
[00:14:53] 广州是一座非常有烟火气的城市
[00:14:55] 所以你的小说的成长环境是什么样的
[00:14:57] 对
[00:14:57] 广州是一个
[00:14:59] 非常非常有烟火气的城市
[00:15:01] 其中我最深刻的一个童年记忆
[00:15:04] 就是确实有很多好吃的
[00:15:05] 就是感觉到了后面长大
[00:15:08] 就是留学
[00:15:09] 感觉就是食物上比较比较匮乏
[00:15:11] 尤其是和家乡的家乡的美食比起来
[00:15:14] 我爸爸妈妈
[00:15:15] 我们是在广州
[00:15:17] 我在广州出生长大
[00:15:19] 然后我们住在就是离学校很近
[00:15:21] 所以就是每天可以走路去上学
[00:15:23] 然后有些时候上学的时候
[00:15:25] 就也会想想数学题
[00:15:26] 然后也走到不知道哪里去
[00:15:28] 就是
[00:15:29] 这种说是就是想数学的同学们
[00:15:32] 经常犯的这样的这个习惯
[00:15:34] 我也有
[00:15:35] 走路到需要多远
[00:15:37] 就十分钟
[00:15:38] 然后就是有时候会会开始游荡
[00:15:40] 因为就是就是有时候脑子会想想别的事情
[00:15:43] 其实我觉得这是一个非常快乐的一个状态
[00:15:46] 后面就是我最近创业
[00:15:49] 我有一个这个导师
[00:15:52] 他讲到一个概念就叫做
[00:15:55] Bonded Attention和Free Attention
[00:15:57] Bonded Attention的意思是
[00:15:59] 是说被框架住的注意力
[00:16:02] 然后Free Attention是说自有注意力
[00:16:04] 比如说我们每一天早上起来
[00:16:07] 我们看到很多邮件
[00:16:08] 然后我们会有很多我必须要执行的事情
[00:16:10] 因为我不执行这些事情
[00:16:12] 可能说有一个期限性
[00:16:13] 你必须要把它执行掉
[00:16:15] 这个时候你的大脑是在一个被框架住的注意力的这样的一个情况下
[00:16:20] 对
[00:16:20] 然后很多很成功的企业家
[00:16:24] 他们是非常有纪律性的执行家
[00:16:27] 他们就是每一天
[00:16:29] 日复一日的去肯胖复利他的这个执行
[00:16:32] 这个很好
[00:16:34] 然后所以我一开始就是创业的时候非常希望
[00:16:36] 我每一天能做多少事情做多少事情
[00:16:38] 但是就是后面这一个自由注意力
[00:16:42] 其实是能够区分一个平均的一个创业者
[00:16:46] 和一个很好的一个很有策略性和决策性的一个创业者的一个区别
[00:16:52] 其实是在自由注意力这里
[00:16:54] 或者说一个数学家
[00:16:55] 自由注意力这里是可以把人与人之间的这个差距拉开的
[00:16:59] 所以当你所有的时间自愿的去
[00:17:01] 由于说我要做一个像就是像军训一样
[00:17:05] 我每一天就是要干掉多少活
[00:17:07] 你可能会使得你这个自由注意力这一块反而是欠缺了
[00:17:12] 你丧失了很多的机会成本
[00:17:13] 所以我就是特别有时候怀念小时候
[00:17:15] 就是走路上学的时候
[00:17:17] 就是有很多这种自由注意力
[00:17:19] 某种程度上
[00:17:20] 就是就是人家说爱因斯坦的洗澡事件
[00:17:23] 这个这个过程中
[00:17:25] 其实能够有很多很有意思的一些
[00:17:28] 就是大脑能到达到的一些
[00:17:29] 很有意思的地方去
[00:17:30] 这可能是灵感和直觉来到你的大脑里的时候
[00:17:33] 对但是这个事情是它不是一个线性的
[00:17:37] 不是说你投入多少自由注意力的时间
[00:17:40] 你其实也有可能自由注意力时间
[00:17:43] 你什么都没有想到
[00:17:44] 然后在后面的你可能在被逼迫做一些任务的时候
[00:17:49] 在中间你会就是有一个callback
[00:17:51] 就是回到了你其实自由注意力给你大脑里面打下的
[00:17:55] 这样的一个一个一个基础
[00:17:57] 你反而会在那一刻
[00:17:59] 可能可能你大脑也不想做那些无聊的事情
[00:18:01] 他就说我想到了这样的一个
[00:18:03] 比较有创造性的一个一个想法
[00:18:06] 所以自由注意力和邦利的层次
[00:18:07] 和限制性的注意力
[00:18:08] 它应该是结合的
[00:18:10] 它有配比吗
[00:18:10] 不知道
[00:18:11] 我觉得大家的配比不一样
[00:18:13] 人家说有三种创业者
[00:18:14] 第一种叫visionary
[00:18:16] 就是有前瞻性的野心家
[00:18:17] 第二种叫做execution
[00:18:20] executor就是执行
[00:18:22] 它就是能够
[00:18:23] 其实扎克伯格
[00:18:24] 我们在这个Facebook小屋
[00:18:26] 今天特别特别有意思的一个场地
[00:18:28] 扎克伯格是一个人
[00:18:29] 扎克伯格他就是一个执行狂
[00:18:30] 就是他是一个执行执行执行执行执行的一个人
[00:18:34] 然后你可以看到他
[00:18:35] 每隔一段时间会有一些行动
[00:18:41] 去弥补可能前瞻性的决策落后
[00:18:44] 所以他是一个非常就是执行的执行派的一个企业家
[00:18:48] 然后第三种就是销售派
[00:18:49] 就是他是能够
[00:18:51] 销售派其实并不是一个负面的词
[00:18:54] 就是他有非常好的沟通能力
[00:18:56] 他有非常强的
[00:18:58] 与不同的
[00:18:59] 这个受众沟通的能力
[00:19:00] 然后他能够去影响别人
[00:19:02] 引领别人
[00:19:03] 然后把一个队伍就是这么建起来
[00:19:05] 我一直从来不觉得我是销售派
[00:19:08] 这个是肯定肯定不是的
[00:19:09] 然后我也不是一个多好的执行派
[00:19:12] 其实我也
[00:19:13] 我可能就是也不能叫做前瞻性
[00:19:16] 这个前瞻性是说是对的
[00:19:17] 我就是想做一些事情
[00:19:19] 然后我想做一些事情会极度乐观
[00:19:21] 然后我极度乐观的情况下
[00:19:23] 就算是往下就是跌一点
[00:19:25] 他好像也还行
[00:19:27] 也还达成了一个
[00:19:29] 一个KPI
[00:19:29] 所以你觉得你是第一种Victionary
[00:19:32] 我觉得我是Victionary
[00:19:33] 我反正肯定不是Salesman
[00:19:34] 或者是Executor
[00:19:36] 你刚才说扎克伯格是属于第二类
[00:19:38] 他是第二类
[00:19:40] 对
[00:19:40] 你觉得像其他的一些企业家呢
[00:19:42] 在美国这边一些知名的企业家
[00:19:44] 知名的企业家
[00:19:46] 马斯克是Victionary
[00:19:48] 这个是绝对的
[00:19:50] 然后Sam Ellman是Salesman
[00:19:51] 然后我觉得一定要互补
[00:19:55] 就是比如说扎克伯格
[00:19:58] 他身边全是梦想家
[00:19:59] 看Shrap这个CTO梦想家
[00:20:02] 他也有其他很好的执行的
[00:20:06] 其他执行的人
[00:20:07] 就是我觉得光互补也不行
[00:20:09] 你要有一些是你的同类
[00:20:10] 然后有一些是互补
[00:20:11] 桑德伯格做了很长时间的
[00:20:14] 很好的执行家
[00:20:15] 稳健的去把零到三千人的情况下
[00:20:20] 这个文化都把持的很好
[00:20:21] 其实我觉得Facebook非常强的一个点是
[00:20:24] 就是每一个Facebook的人
[00:20:26] 他们都bleed purple
[00:20:27] 就是他们的
[00:20:28] 他们的文化都把持的很好
[00:20:28] 血液里面就是紫色
[00:20:30] 就是Facebook的这个颜色
[00:20:32] 紫色代表什么
[00:20:34] 紫色就是Facebook的办公室
[00:20:36] 有很多很疯狂的颜色
[00:20:39] 其中有一个很明显的是紫色
[00:20:41] 其实这个是因为扎克伯格
[00:20:42] 他是colorblind
[00:20:45] 他是有一些颜色光谱无法区分
[00:20:48] 所以说他的那个就是办公室
[00:20:50] 有非常大胆的颜色
[00:20:51] 其实去看那个Facebook的这个园区
[00:20:55] 像是一个梦工厂
[00:20:56] 它有24小时的
[00:20:58] 这个文化的文化
[00:20:58] 有一个雪糕店
[00:20:59] 就是冰淇淋店
[00:21:00] 然后有地方让
[00:21:01] 就是大家去玩鼓
[00:21:03] 玩吉他
[00:21:03] 玩乐队
[00:21:04] 我们公司大部分的人
[00:21:06] 其实之前都是在Facebook的
[00:21:07] 所以你会了解他们
[00:21:08] 对
[00:21:08] 他们有一个非常强的一个叫做
[00:21:11] bottoms up的culture
[00:21:12] 就是由下往上
[00:21:13] 而不是上行下效
[00:21:15] 它是不是top down
[00:21:17] 就是top down非常Google
[00:21:18] 然后bottoms up非常的Facebook
[00:21:20] 所以我们公司其实某种程度上
[00:21:22] 并没有一个定义文化的机会
[00:21:25] 我们某种程度上
[00:21:26] 沿袭了我们大部分的文化
[00:21:28] 大部分的早期创始员工
[00:21:29] 他们本来的文化
[00:21:30] 好的
[00:21:31] 关于Facebook
[00:21:32] 我们后面还会聊到
[00:21:33] 我们先回来
[00:21:34] 你在广州那个城市是怎么长大的
[00:21:36] 对
[00:21:37] 就是打打数学竞赛
[00:21:39] 然后我看看百家讲坛
[00:21:42] 我是非常喜欢这个
[00:21:43] 百家讲坛
[00:21:44] 对
[00:21:44] 我非常喜欢就是所有的
[00:21:45] 就是中国的这个文学与历史
[00:21:48] 我喜欢就是看那些历史故事
[00:21:51] 我当时记得就是一中天讲三国
[00:21:53] 然后珠子百家
[00:21:55] 然后就是还是非常快乐的一段时间
[00:21:58] 我特别喜欢就是
[00:21:58] 我特别喜欢文学
[00:21:59] 就是黄永裕他有一本书叫
[00:22:01] 《大雅宝胡同》
[00:22:02] 讲二号
[00:22:03] 然后《比我老的老头》
[00:22:04] 就是那本书的书名
[00:22:06] 然后其中讲到了这个
[00:22:07] 中国的这个文艺界
[00:22:09] 就是画家
[00:22:10] 然后作家
[00:22:11] 然后他们各种各样的画家
[00:22:13] 版画家
[00:22:14] 雕塑家
[00:22:15] 然后他们都住在这样的一个
[00:22:17] 北京的一个胡同里面
[00:22:18] 我妈妈她是
[00:22:19] 她是北京的北京人
[00:22:21] 所以说我们家某种程度上
[00:22:22] 我们虽然住在广州
[00:22:23] 然后又有受很多这种
[00:22:25] 京城文化的这个影响
[00:22:27] 对
[00:22:27] 所以我们在广州
[00:22:28] 我发现你小时候自由注意力
[00:22:30] 是很旺盛的
[00:22:31] 很旺盛的自由注意力
[00:22:32] 因为你并没有把所有的时间
[00:22:34] 都集中在数学上
[00:22:36] 我
[00:22:36] 对
[00:22:38] 我也被数学教练小时候就批评说
[00:22:40] 不是最刻苦的那一个
[00:22:42] OK
[00:22:43] 但是我如果遇到一道题
[00:22:45] 这个题就是要跟这道题去死磕
[00:22:48] 就
[00:22:50] 就是某种程度上
[00:22:51] 你如果看我花了多少时间
[00:22:52] 在那道题上
[00:22:53] 你会说这个小孩很刻苦
[00:22:54] 但这个过程中像玩一样
[00:22:56] 它不
[00:22:57] 它不像work
[00:22:58] 就我觉得区分说是
[00:23:00] 这个框住了的这种限制性注意力
[00:23:04] 和自由注意力的
[00:23:05] 这个其实是一个主体感知
[00:23:06] 就是你到底觉得你是在玩
[00:23:08] 还是在工作
[00:23:09] 然后我觉得我小时候
[00:23:11] 大部分的事情都感觉是想玩
[00:23:13] 然后就是那些学校的作业
[00:23:15] 就是一般课间就是写完
[00:23:16] 然后我放学之后
[00:23:17] 就所有的时间
[00:23:18] 我就是可以做一些其他的
[00:23:21] 其他的事情
[00:23:21] 后来就是大概是初一的时候
[00:23:25] 发现就是可以去
[00:23:27] 可以发现了一些
[00:23:28] 一个事情
[00:23:29] 就是我可以去找一些
[00:23:30] 就是更高等的数学书看
[00:23:32] 就是小时候是意识到说
[00:23:35] 我一直要做数学竞赛
[00:23:36] 所以我要
[00:23:36] 比如说三年级
