[00:00:00] Hello大家好,我是小骏
[00:03:44] OK我们就接到了这个源源不断的这个inbound call
[00:03:47] 可以问说哎这个你对X
[00:03:49] 你们有SpaceX的股票啊
[00:03:51] 你们现在在投什么太空项目啊等等这些之类的
[00:03:54] 哦
[00:03:55] 所以我觉得从一个资本的角度来看呢
[00:03:56] 所以我觉得从一个资本的角度来看呢
[00:03:56] 没有错
[00:03:57] 今年的确是一个很大的一个转折点
[00:03:59] 可是你如果从这个整个太空的这个发展
[00:04:02] OK我不认为说今年是有一个特别大的一个inflection point
[00:04:05] 但是它只是一个持续
[00:04:07] OK的在这个领域的一个发展
[00:04:10] 我们从我说我从12年的时候加入SpaceX嘛
[00:04:14] 那那个时候13年的时候第一次跟Elon开会
[00:04:18] 那第一次开会的时候呢Elon呢基本上就说OK我们呢
[00:04:22] 目标OK是我们要去这个开拓这个宇宙
[00:04:25] 反正SpaceX mission它是每一年它都会再重复重复重复的
[00:04:29] 对那第一步我们要做起来的
[00:04:32] OK那就是我们要能够把这个回收火箭这件事情能够先完成
[00:04:36] 这是我们的第一步
[00:04:38] OK也就是我们要有一个非常稳定
[00:04:40] 并且非常能够量化
[00:04:42] 并经济的方式能够运送东西上下太空这样子
[00:04:46] 对那给我心想哇OK这可以OK这个
[00:04:50] 那我们可能maybe十年了可以做到这个事情
[00:04:53] OK可能我们那个时候可能就称霸整个市场了
[00:04:55] 对那13年我们开始在就是就做这个项目
[00:04:59] 15年的时候第一次的这个reusable rocket
[00:05:03] OK就真的就就就诞生了
[00:05:05] OK就第一次的这个12月21号2015
[00:05:09] 非常嫉妒这个日子122212015
[00:05:12] 对每一个SpaceX的人
[00:05:14] 非常重要的一个日子
[00:05:16] 我们第一次成功的把一只火箭成功的送进轨道
[00:05:20] 并且成功的把这只火箭回收
[00:05:22] 那至今呢这只火箭呢现在在LA
[00:05:25] 所以有的到LA的这个这个朋友们其实呢现在
[00:05:28] SpaceX可以到SpaceX的总部可以去看这一只
[00:05:31] 就是非常具有剧烈性的这个这个火箭
[00:05:34] 对那在那个时候呢其实我觉得说有一个
[00:05:37] 你说的这个就是转折点的话
[00:05:39] 其实那是一个很大很大的一个转折点
[00:05:42] 这个象征的是整个一个就是全新的一个就是
[00:05:45] 之前大家认为一个不太可能的一个太空时代
[00:05:48] OK现在真正的这样开始了
[00:05:50] 这个算是GPT-3 moment算吗
[00:05:53] 我觉得是其实在业界里面可以说是
[00:05:55] 算是甚至更大
[00:05:57] OK我不敢我不敢说这是一个AGI moment
[00:06:00] OK但是呢它的确呢对我们你想想看
[00:06:03] 就是说我们今天有任何的一个运输
[00:06:06] 你今天如果我从A到B点
[00:06:09] OK我就运输一次以后我就把这个东西
[00:06:11] 不管是火车还是这个飞机直接就丢了
[00:06:14] 那你想想看这个东西能够做起来吗
[00:06:16] 就是不可能量化或者不可能做任何事情的
[00:06:19] 可是当你OK能够把这个东西作为回收的时候
[00:06:23] OK那这东西才是这所有的起点
[00:06:25] 所以1221年2015OK我认为对SpaceX
[00:06:29] 或者对整个太空行业来讲
[00:06:31] OK是一个OK就是真正的一个转折点
[00:06:34] 那它在我觉得做从意义上面吧
[00:06:39] 就是接下来把这个整个reuse的这个row开始就启动
[00:06:44] 但是呢我觉得对整个行业而言OK是一个
[00:06:48] 就是以前大家都公认是一个不可能
[00:06:51] 而且是一个蛮荒谬的一个事情OK很多所谓的在太空的这些
[00:06:55] 这些你知道专家OK就是说SpaceX做这件事情
[00:06:59] 根本就是不合理的OK我们已经试想过这个事情
[00:07:02] 这个东西也不符合经济逻辑
[00:07:04] 更更不可能符合所有太空OK所需要的这些最尖端
[00:07:08] 最高级的这些这些符合的规则OK
[00:07:11] 那SpaceXOK一家初创公司在这个时候做到了
[00:07:15] 所以我觉得这个时候呢是一个转折点是这个
[00:07:19] 对那SpaceX还有另外一个特色也就是说呢
[00:07:21] 我12年的时候呢加入对13年的时候OK
[00:07:25] 反正一样说的这个东西跟它接下来这个row map
[00:07:28] 那你在SpaceX走你会发现除了这个以外
[00:07:33] 其实SpaceX在12年的时候13年的时候还在聊什么事情
[00:07:38] 就是当我们第一只火箭已经发才刚刚发射成功
[00:07:42] 一年勉强整个公司可以发射一次的时候
[00:07:47] 公司已经成立的火星小组公司已经在决定说OK
[00:07:54] 我们现在这只火箭是没有办法到火星的
[00:07:57] 是没有办法OK就是符合就是人类所需求的
[00:08:00] 就是真正在宇宙中的这种探索OK
[00:08:02] 所以我们需要一只更强大OK并且更符合OK这个mission的火箭
[00:08:09] 所以那个时候在12年这个时候
[00:08:12] 现在的所谓的星舰就在那个时候就已经诞生了
[00:08:16] 哦所以它在做这一代的东西
[00:08:19] 但是它已经开始想下一代的事情了
[00:08:21] 是的
[00:08:22] 接着呢
[00:08:23] 我觉得在SpaceX其实是非常非常普遍的事情
[00:08:27] 嗯
[00:08:28] 就是我觉得大家看现在SpaceX不管是星舰
[00:08:31] 不管是星链
[00:08:32] 不管是说现在是太空数据中心还是上月球什么等等的
[00:08:36] OK大家觉得说哇是不是马斯克哪一天晚上OK
[00:08:39] 可能无聊还是不知道在干嘛
[00:08:41] OK可能又在那边乱在X上面乱发表这些言论
[00:08:45] 但是这些东西其实呢我们老在十几年前
[00:08:48] 在SpaceX的时候都讲过的这些可能的Path
[00:08:52] 嗯
[00:08:53] 所以现在你说你回归到说今年对我而言OK它是不是一个转折点
[00:08:57] OK它的确是一个转折点
[00:08:59] 因为呢我觉得呢它在它有很类似ChatGPT moment
[00:09:03] 它把太空这个事情呢更带入所有的大众
[00:09:07] 更带入所有人的这个这个的对话当中
[00:09:11] 特别是资本OK
[00:09:13] 从这个SpaceX开始IPO大家开始对这个赛道等等就充满了无限的这个想象
[00:09:19] 嗯
[00:09:20] 对所以我觉得从这个角度它的确
[00:09:21] 但是从一个开发的角度这些的事情早就是在以前十几年前就已经开始规划好一直在执行
[00:09:28] 我很好奇啊在12年的SpaceX的内部的roadmap上26年写了什么
[00:09:35] 这是一个很好的问题
[00:09:37] 那秘密
[00:09:39] 哈哈哈
[00:09:40] 对但也没有它它我必须说它没有写这么具体
[00:09:43] 就是说2025年26应该发生什么事情OK它不是这个易经OK这个东西
[00:09:50] 但是呢
[00:09:51] 它是有清楚的outline就是SpaceX就是大家都知道特斯拉有一个master plan
[00:09:57] 嗯
[00:09:58] 对不对就是大计划OK我第一步要干嘛第二步要干嘛现在第三步现在已经大计划第三
[00:10:03] 甚至有一个第四又跑出来了
[00:10:05] 那SpaceX那个时候其实又有大计划OK那那那SpaceX一直呢把自己定位成一个太空公司
[00:10:12] OK所以呢那它的目标一直就很简单我们的公司的存在是为了要能够开拓宇宙给全人类的目标
[00:10:19] OK所以呢那它的目标一直就很简单我们的公司的存在是为了要能够开拓宇宙给全人类的目标
[00:10:21] 去探索
[00:10:22] 知公司就是中指
[00:10:24] 所以所有的事情OK都是按照这个目标下去定
[00:10:28] 它从来没有把自己定位成一个就火箭公司让很多人这样看
[00:10:32] 我相信在12年的时候一定没有料到大瑜模型的爆发
[00:10:36] 没有错
[00:10:37] 那你怎么看在今年初更早一些时候SpaceX收购了XAI
[00:10:43] 这会是人类文明扩张的前奏吗
[00:10:46] 这是一个很好的问题
[00:10:47] 我觉得最近呢
[00:10:48] 这是不管是
[00:10:50] SpaceX的人或者SpaceX外的人
[00:10:52] 都在讨论这些事情
[00:10:54] 那其实呢
[00:10:56] 你说这个东西是不是在
[00:10:58] SpaceX Master Plan里面
[00:11:00] 这个呢不在这个Master Plan里面
[00:11:02] 我觉得这个Master Plan不是疫情
[00:11:04] 它没有那么办法能够这么厉害
[00:11:06] 能预测到说会有一个AI的爆发等等的
[00:11:08] 但是它的确是说
[00:11:10] 我们需要在这个低轨这个地方
[00:11:12] 做成一个全新的一个通讯网络
[00:11:15] 那有这个通讯网络
[00:11:16] 那间接的
[00:11:18] 这是一个新的一个数据的
[00:11:20] 一个数据的高速公路
[00:11:23] OK那我给你
[00:11:24] 你听这个东西可能会觉得有点抽象
[00:11:27] 那我给你一个具体的一个举例
[00:11:28] 就是为什么那个时候SpaceX
[00:11:30] 要做星链
[00:11:31] SpaceX做星链有两个宗旨
[00:11:34] 第一
[00:11:36] SpaceX要去火星
[00:11:39] SpaceX的目标
[00:11:41] 需要就是
[00:11:42] 它永远没有把自己觉得说
[00:11:44] 要把这个人类
[00:11:46] 变成一个多星球物种
[00:11:48] 这是一个SpaceX跟伊朗常常在讲的一个
[00:11:51] 的一个vision嘛
[00:11:53] 对不对
[00:11:53] 那你跟任何投资人
[00:11:56] 跟政府说你要去火星
[00:11:58] 我觉得没有一个人会买单
[00:12:00] OK到今天为止
[00:12:01] OK甚至像
[00:12:02] maybe川普这么
[00:12:03] 你知道这么想要做
[00:12:05] 大家都不一定会买单
[00:12:06] 说你要去火星干什么
[00:12:07] 所以从SpaceX从一开始
[00:12:09] 就知道要去火星这条路
[00:12:12] 我们只有办法自己去走出来
[00:12:14] 那我们走出来
[00:12:15] 我们除了要能够解决
[00:12:16] 像这种
[00:12:17] 科技的这种困难
[00:12:19] 那当然我们还需要很大笔的一笔资金
[00:12:22] 那我们要一大笔的资金
[00:12:24] 在地球上跟在太空上
[00:12:26] 最近
[00:12:27] OK能够做这件事情的
[00:12:29] OK那就是通讯网络
[00:12:31] 那通讯网络
[00:12:32] SpaceX也不是为了做通讯网络这件事情而做通讯网络
[00:12:35] 这个东西从第一原理思维
[00:12:37] 所有SpaceX的事情都是从第一原理思维出发的
[00:12:41] 为什么要在太空做这件事情
[00:12:43] 即使你可以做了
[00:12:45] 即使你解决了这个太空这个身价
[00:12:47] 上下你把成本降低了
[00:12:49] 你现在可以发射更多的东西
[00:12:51] 更便宜
[00:12:52] 所以你可以做这件事情
[00:12:53] 但就算你可以做这件事情
[00:12:54] 为什么要做这件事情
[00:12:56] 那从一个物理学的角度来讲
[00:12:59] 在太空讯息的传输
[00:13:01] 在一个太空真空的环境里面
[00:13:04] 讯息的传输从A点到B点
[00:13:08] 比起在地球上任何最先进的光纤
[00:13:13] 你用什么5G 6G什么G
[00:13:17] OK它都还要再更快一倍
[00:13:19] 快一倍
[00:13:20] 这就是自然的一个空间的太空的空间的环境
[00:13:24] 所造成的一个天然的一个优势
[00:13:27] 所以在这个优势之上
[00:13:29] 从第一原理思维
[00:13:30] 如果我今天告诉你
[00:13:32] 你今天能够有一个网络的传输速度
[00:13:35] 是比在地球上增加一倍
[00:13:37] 在没有任何加持之下
[00:13:39] 那你会选择在地球上的网络
[00:13:42] 还是在天上的网络
[00:13:43] 我觉得这是一个很直接的一个问题
[00:13:46] 那SpaceX呢
[00:13:47] 直接已经在很久以前就看到这个东西
[00:13:49] 很久是多久
[00:13:51] 这个东西的计划
[00:13:52] 星链的计划是在2015年启动
[00:13:57] 也就是2015年开始
[00:14:00] OK当SpaceX
[00:14:02] OK你说真的回收火箭完成了
[00:14:05] 降落了
[00:14:06] OK那公司开始慢慢的
[00:14:09] 它都在跨这第一步的时候
[00:14:11] 它就已经立刻就想到
[00:14:13] 好那我有这个平台以后
[00:14:15] 我需要做我第二步的这个计划
[00:14:18] 那就是这个星际网络
[00:14:20] 所以FCA并进了SpaceX
[00:14:23] 它的目的是去增强星链
[00:14:26] 这个呢是两码事
[00:14:29] OK我希望
[00:14:30] 所谓的是说星链的这个
[00:14:32] 在天空的这个讯息的传输
[00:14:34] OK有这样天然的优势
[00:14:36] 那我们所谓的AI
[00:14:38] OKAI的建设需要什么
[00:14:40] 那特别我们也在想
[00:14:42] AI的建设在美国需要什么
[00:14:44] OK我觉得这是一个很specific的一个问题
[00:14:47] OK也就是XAI
[00:14:49] 跟所有的巨头
[00:14:50] 不管是OpenAI还是其他这些能比
[00:14:53] 需要算力啊
[00:14:55] 需要算力exactly
[00:14:56] 对那怎么样整理算力呢
[00:14:58] OK我们需要能够做更多的数据中心
[00:15:01] 好那需要做更多的数据中心
[00:15:04] 那就建呗
[00:15:06] 对不对
[00:15:07] 那这个东西我觉得讲的很简单
[00:15:09] 对那就建呗
[00:15:10] 就是钱的问题就砸吧
[00:15:12] 对不对就到处都盖
[00:15:13] OK我赶快英伟达的晶片
[00:15:15] 这边多拿一点
[00:15:16] OK那如果这个事业这么简单的话
[00:15:18] 我觉得这不是一个问题
[00:15:20] 但在美国的
[00:15:21] 我觉得在美国做所有硬件
[00:15:23] 做事情的人都知道
[00:15:25] 在美国你要做这种基建
[00:15:28] OK是一个巨难无比的事情
[00:15:31] OK两点事情
[00:15:33] 第一你光要拿到这个地方
[00:15:36] 你要能够审批
[00:15:37] 你要能够把这个电签过来
[00:15:39] 你要把这个permit
[00:15:40] OK你要跟所有这附近的人
[00:15:42] 都去确定说他们都OK
[00:15:44] OK我们这边这个的数据中心
[00:15:46] 不会对你造成任何危害等等
[00:15:48] 这件事情就是要花费非常多的时间
[00:15:50] OK非常多的精力
[00:15:52] OK第一就是你这个数据中心的这个地点
[00:15:56] 第一
[00:15:57] 第二我们现在来讲一个最明显的
[00:16:00] 就是在很多媒体上已经讲的
[00:16:02] 就是美国缺电
[00:16:03] 对
[00:16:04] 美国其实在AI之前
[00:16:05] OK其实在上一代
[00:16:07] 也就是我们在做电动化的时代的时候
[00:16:09] 其实就已经发现
[00:16:10] OK不管你有没有电动化的时候
[00:16:12] 有没有AI
[00:16:13] 美国你看整个美国的电网
[00:16:15] 美国的电网现在
[00:16:17] consist of差不多东岸跟西岸的电网
[00:16:20] OK美国这么大的国家
[00:16:22] 其实电网就只有两个
[00:16:23] 东岸跟西岸还有德州
[00:16:25] OK这三个三大电网
[00:16:27] 然后大部分的电网都是已经是一个
[00:16:30] 30年以上的一个设施
[00:16:32] 美国最新的两个核能发电厂
[00:16:35] OK是在1990年代的时候盖的
[00:16:38] OK所以从你在AI来之前
[00:16:42] OK美国根据就所有东西电动化的这个需求
[00:16:48] OK已经有一个明显在25%
[00:16:51] 差不多40%
[00:16:52] 就是电网这个缺口
[00:16:54] 那你现在再加上AI
[00:16:55] 那就是根本就是
[00:16:57] 你知道就是一个难上加难的一个问题
[00:17:00] 那并且美国又是一个民主的国家
[00:17:03] OK你做什么事情
[00:17:05] 你不可能OK
[00:17:07] 首先我去抢就是居民的电来做AI
[00:17:11] 对你一定要能够做data center
[00:17:14] 你一定要能够拿到一些额外的电
[00:17:16] 那刚刚已经就说了
[00:17:17] 已经有这个额外这个缺口
[00:17:19] 那再加上这个
[00:17:21] 你知道有没有办法这样快速的
[00:17:23] 这种available的电
[00:17:24] 所以电力的缺失
[00:17:26] 跟你说没有办法快速
[00:17:28] 就是这种permit的这个需求
[00:17:30] OK导致于在这个太空
[00:17:33] OK其实对美国来讲是有个先天的优势
[00:17:37] 当你在把这个卫星中心发上去
[00:17:40] 并且像Space想说的
[00:17:42] 分布式的把它分布在全球的这个地方
[00:17:45] OK其实呢
[00:17:47] OK在太空里面你的扩建
[00:17:50] 只有一个东西是在控制你的速度的
[00:17:56] 就是你自己能够发多少
[00:17:58] 在太空里面其实你不需要去拿permit
[00:18:01] OK你也不需要去拿什么
[00:18:03] 这边太多的什么许可
[00:18:04] 你只要谁先上
[00:18:06] OK谁先拿到这个位置
[00:18:08] 那这是第一个
[00:18:09] 那第二个大家已经从这个的这个第一原理
[00:18:14] 在太空里面的能源的转换
[00:18:16] 太空有无尽的这个太阳能
[00:18:20] 那在太空的太阳能转换
[00:18:22] 大家一定从实行证明
[00:18:24] 差不多比地球上的太阳能
[00:18:26] OK还有超多超过十几percent
[00:18:29] OK这样子的一个转换率
[00:18:31] 所以太空无尽的能源
[00:18:33] 无尽的地方
[00:18:34] OK并且OK没有限制你去开发
[00:18:37] 所以为什么这个XAI
[00:18:39] OK跟SpaceX结合希望在太空数据中心
[00:18:43] 其实是背后这样子一个一个底层逻辑
[00:18:46] 有没有可能是Tesla去收购XAI
[00:18:48] 而不是SpaceX去收购XAI
[00:18:51] 我觉得之前很多人在讲这个东西
[00:18:54] 对因为Tesla毕竟表马自己是一个AI公司
[00:18:59] 那就有这么多的autonomous drive
[00:19:01] physical AI等等
[00:19:03] 对对等等
[00:19:04] 看一下他们应该跟match
[00:19:06] 那你怎么知道这最终
[00:19:09] 这三个人会不会在一起呢
[00:19:12] 这个东西其实也有一个悬念
[00:19:17] OK感觉有什么事还会发生是吗
[00:19:20] 或许
[00:19:21] 但是我不知道
[00:19:22] 我这东西我不知道
[00:19:23] 我猜测
[00:19:24] 但是我给你一个点
[00:19:26] 这是一个故事
[00:19:28] 我们在2014年的时候
[00:19:31] 我有一天我们在跟同事在那边互相
[00:19:34] 在那边反正吃饭
[00:19:35] 和中国吃饭
[00:19:36] 然后在交流的时候
[00:19:37] 有一个同事在说
[00:19:38] 你知道吗
[00:19:40] 我今天听到了什么消息
[00:19:42] 我说老板今天买了X.com
[00:19:47] OK这个网域
[00:19:48] OK2014年的时候
[00:19:50] OK
[00:19:52] X.com
[00:19:54] X
[00:19:55] 对反正SpaceX
[00:19:57] XAI
[00:19:58] Tesla没有一个X
[00:20:00] 但是或许我在想
[00:20:02] maybe有一天所有马斯克的东西
[00:20:05] 会像Alphabet一样
[00:20:07] 有一个控股公司
[00:20:09] 然后所有可能都集成在一起
[00:20:12] 因为你去看马斯克
[00:20:13] 现在所做的每家公司
[00:20:15] 其实是没有什么特别大
[00:20:17] 就是没有什么
[00:20:19] 你知道吗
[00:20:20] 说他们没有关联
[00:20:22] 我觉得
[00:20:24] 真的没有关联吗
[00:20:25] OK你现在X跟SpaceX合在一起了
[00:20:28] fine
[00:20:29] 好那Tesla在做的事情
[00:20:30] 我觉得大家都很知道
[00:20:31] OK不管是机器人
[00:20:33] 不管自动驾驶
[00:20:34] 所有本身实体的AI
[00:20:35] 是Tesla在做的事情
[00:20:37] OK
[00:20:38] 那你说还有什么公司呢
[00:20:40] Neuralink
[00:20:42] Neuralink做脑机接口
[00:20:45] OK那大家常常说
[00:20:46] OK我们跟AI新的这个交付是什么
[00:20:48] 是新的一个iPhone吗
[00:20:50] OK是新的一个眼镜
[00:20:52] 是新的一个耳机
[00:20:54] OK但是
[00:20:55] 或许最直接的方式
[00:20:57] 或者是一个脑机接口
[00:20:58] 这样的一个直接的一个连接
[00:21:01] OK一个人
[00:21:03] 想想看
[00:21:04] 你今天你在跟我采访
[00:21:07] 你今天随时随地
[00:21:09] OK有一个电脑的这个附
[00:21:12] 这有点在后期
[00:21:14] 就是电脑的这个的附属
[00:21:16] 在跟你在提醒
[00:21:17] 现在我在讲的此刻
[00:21:19] 这些消息
[00:21:20] 你随时在download
[00:21:21] 在update
[00:21:22] 这个消息
[00:21:23] 我觉得这是一个人跟AI之间
[00:21:26] 可能在英朗的眼中
[00:21:27] 可能最终的一个这个交付
[00:21:29] 也是人需要
[00:21:30] 必须要在这个新的这个时代里面
[00:21:32] 跟AI这样一直共存的一个东西
[00:21:34] 那你说那挖洞公司Born Company
[00:21:36] 干嘛
[00:21:37] OK一个有一个挖洞公司
[00:21:39] 哇
[00:21:40] 在外太空的环境里面
[00:21:42] 在这么高辐射的地方
[00:21:44] OK你觉得人真的可以像这样
[00:21:47] 看完小说里面
[00:21:48] 哇住在这种的一个
[00:21:50] 这种所谓的这个
[00:21:52] 这个就是这个玻璃的这种的
[00:21:55] 这个这个圈里面吗
[00:21:57] 他们一定要能够住在
[00:21:58] maybe在山里面
[00:22:00] 或者在地下
[00:22:01] 嗯
[00:22:02] 才不会被辐射的问题
[00:22:05] 所以或许所有的英朗的公司
[00:22:08] 都有为了一个最大的大计划
[00:22:11] 不能进行
[00:22:13] 所以你觉得那个他
[00:22:14] 14年注册的X.com
[00:22:17] 这个X代表的是什么呀
[00:22:18] 他最后会变成一个
[00:22:20] 怎么样的一个巨型网络
[00:22:22] 他在构筑一个什么样的系统
[00:22:25] 我猜测了
[00:22:26] 就出完全纯的猜测
[00:22:27] 根据你跟他7年的工作经历
[00:22:29] 真的我觉得说
[00:22:30] 我觉得英朗呢做什么事情呢
[00:22:32] 其实
[00:22:33] 呃
[00:22:34] 有他的想法
[00:22:35] 你可能当下
[00:22:36] 你没有办法去理解英朗
[00:22:38] 我觉得这是很理解
[00:22:39] 很正常的事情
[00:22:40] 就算我们身边跟他很久的人
[00:22:42] 其实很多时候在当下
[00:22:44] 还是跟他有很多的这些
[00:22:46] 你知道分歧
[00:22:47] 还是有很多的这些
[00:22:48] 你知道麻烦就是在讨论
[00:22:50] 然后这些辩论
[00:22:51] OK
[00:22:52] 但是呢很多时候
[00:22:54] 在后面
[00:22:55] 我们证实OK
[00:22:56] 我知道英朗是对的
[00:22:57] OK
[00:22:58] 所以我们可以开玩笑说
[00:22:59] SpaceX应该有一件这个T-shirt
[00:23:02] 这叫做I told you so
[00:23:03] 就是我早就告诉你
[00:23:05] 你知道吗
[00:23:06] 然后写英朗
[00:23:07] OK
[00:23:08] OK这个的对
[00:23:09] 那所以呢
[00:23:10] 这个就是我们跟英朗
[00:23:11] 合作很久以后的
[00:23:12] 这个一个的一个观测
[00:23:14] 所以呢
[00:23:15] 那我现在属于猜测
[00:23:16] 我觉得那英朗呢
[00:23:17] 可能
[00:23:18] 大家都说吧
[00:23:19] 英朗应该有一个
[00:23:20] 最终的master master plan
[00:23:21] OK
[00:23:22] 就是他自己心里在想什么
[00:23:23] 但他从来没跟人家说
[00:23:24] 也没跟我们说
[00:23:25] 但他注册了一个X
[00:23:27] 然后他来做这些事情
[00:23:29] 我不认为自己家公司是偶然的
[00:23:32] 嗯
[00:23:33] 这是一些蛛丝马迹
[00:23:35] 这些是蛛丝马迹
[00:23:36] 然后最终呢
[00:23:37] 这些东西呢
[00:23:38] 或许会
[00:23:39] 哎
[00:23:40] 联合在一起
[00:23:41] 然后成为一个X
[00:23:42] 你说到蛛丝马迹啊
[00:23:43] 我发现FCI从Day 1开始成立
[00:23:45] 他的愿景是理解宇宙
[00:23:47] Our mission is to understand the nature of the universe
[00:23:51] 所以他有没有可能一开始就觉得
[00:23:53] 跟SpaceX有某种关联
[00:23:55] 而且他的logo是一个黑洞的寓意
[00:23:58] 嗯
[00:23:59] 这是一个
[00:24:00] 我觉得你读得比我还深
[00:24:01] OK
[00:24:02] 我还没有想这么多
[00:24:03] 嗯
[00:24:04] 但是呢
[00:24:05] 我觉得
[00:24:06] 我看很简单嘛
[00:24:07] 从一个AI的这个竞赛的这个角度来看
[00:24:11] 你看看你现在所有的AI的巨头
[00:24:14] 不管是OpenAI
[00:24:15] 不管是Claw
[00:24:17] 不管是Gemini
[00:24:18] 还是Rock
[00:24:19] 那你如果在想各家
[00:24:21] 现在在这边竞争这么久
[00:24:23] 几年以后
[00:24:24] 我觉得现在大家在开始讲
[00:24:26] 就是某一个点
[00:24:28] 我要在这里面成为一个巨头
[00:24:30] 很明显
[00:24:31] OK
[00:24:32] Gemini有Google的这个search
[00:24:34] OK
[00:24:35] 所以他想要在
[00:24:36] 可能在这个
[00:24:37] 搜寻
[00:24:38] 然后在这些反正文字的这个部分
[00:24:40] 那想要去称霸
[00:24:42] 对不对
[00:24:43] Cloud很明显的
[00:24:44] 从一开始就想要成为一个
[00:24:46] 是一个
[00:24:47] 一开始想要赚钱嘛
[00:24:49] OK
[00:24:50] 2B我想要给产生一个工具
[00:24:52] 是一个
[00:24:53] 编制
[00:24:54] 在coding的人
[00:24:56] OK
[00:24:57] 可以使用的一个工具
[00:24:58] OK
[00:24:59] 所以他一开始就想要走一个2B的方式
[00:25:01] 这个2B是一个
[00:25:02] 你知道我是这个
[00:25:03] 反正这个行业是我发起的
[00:25:04] 我想要发起一个最大
[00:25:06] 大家都可以去通用的一个东西
[00:25:08] 然后我的面对是大众的这个
[00:25:10] 这个consumer
[00:25:11] OK
[00:25:12] 跟大众的
[00:25:13] 那Grog是什么
[00:25:14] 给大家就是Grog
[00:25:15] 这个Grog呢
[00:25:16] 有无限的这个X这个data
[00:25:18] 可是Grog是什么
[00:25:19] 就是Grog如果真的要要走一个
[00:25:22] OK
[00:25:23] 一个真的
[00:25:24] 他的他的立足点的话是什么
[00:25:26] 他有的资源是什么
[00:25:27] OK
[00:25:28] 他在马斯克的生态
[00:25:29] 那马斯克生态
[00:25:30] 我觉得有什么东西
[00:25:31] 比其他的东西
[00:25:32] 还有更多的data
[00:25:34] 那我觉得呢
[00:25:35] Grog
