[00:00:00] Hello 大家好,我是小骏
[00:00:03] 今天我们的嘉宾是游凯超
[00:02:31] 就是在维护以VLM为核心的
[00:02:34] 这个开源大模型推理引擎的
[00:02:36] 这个相关生态
[00:02:37] 然后我们的目标是为AGI提供软件服务
[00:02:40] 我也是小骏播客的这个忠实粉丝
[00:02:43] 我们之前看到很多行业的这个前辈朋友们
[00:02:46] 都来小骏这里参加过这个博客
[00:02:48] 那像张祥宇老师啊
[00:02:50] 这个杨志林学长啊
[00:02:52] 以及Manus的记忆超
[00:02:53] 我们都很熟
[00:02:54] 然后我也很熟悉
[00:02:55] 很荣幸有这次机会来这里
[00:02:57] 跟大家一起分享一下我的一些经历和看法
[00:03:00] 说到Manus的记忆超peak
[00:03:02] 其实凯超这次来我们节目
[00:03:04] 也是他帮忙介绍的
[00:03:05] 对对
[00:03:06] 那个是去年12月份的时候的事了
[00:03:09] 然后那个时候
[00:03:10] 其实那个Manus还没有被Meta收购
[00:03:13] 然后但那段时间
[00:03:14] 其实我也在忙着成立公司
[00:03:16] 所以虽然答应了要来
[00:03:18] 但没想到一拖就是半年
[00:03:20] 然后现在这个也终于来兑现我的承诺了
[00:03:23] 我们在正式聊技术之前
[00:03:25] 还是
[00:03:25] 非常好奇的
[00:03:26] 想要探究一下你个人的经历
[00:03:29] 你是从什么时候开始接触计算机编程的呀
[00:03:32] 你是从初高中就有一些竞赛相关的经历吗
[00:03:35] 我大概是从2015年开始接触这个编程的
[00:03:39] 因为我在这个初高中期间呢
[00:03:41] 我的主要任务啊
[00:03:42] 就是这个中考高考
[00:03:44] 就是正常的这个高中的学习
[00:03:45] 然后副业呢
[00:03:47] 会做一些这个数学物理竞赛方面的学习
[00:03:50] 然后提高一些这个知识水平
[00:03:52] 算是一个我觉得比较典型的理科生吧
[00:03:55] 嗯
[00:03:55] 然后竞赛方面呢
[00:03:56] 其实成绩也不算亮眼
[00:03:58] 就是物理竞赛有一个省级一等奖啊
[00:04:01] 用处不是很大啊
[00:04:02] 就是最后这个对高考也没有很多用处
[00:04:05] 所以呢
[00:04:05] 竞赛结束之后呢
[00:04:06] 我就继续准备高考
[00:04:08] 那所以我并没有这个算法编程比赛的经验
[00:04:11] 但是这个有一个这个我对计算机编程的了解呢
[00:04:15] 就是啊
[00:04:16] 我们在学数学物理的时候
[00:04:17] 然后当时接触一些辅助计算的软件
[00:04:20] 比如说我印象深刻的有一个叫做几何画板的东西啊
[00:04:24] 你可以用它去观察
[00:04:25] 观察各种函数图像
[00:04:27] 然后去做一些这个物理的仿真的动画的演示啊
[00:04:31] 虽然现在可能没什么人知道这些软件了
[00:04:33] 就是技术发展的太快了啊
[00:04:35] 虽然我这个回想起来好像只是十年前
[00:04:38] 但是好像已经是上一个世纪的东西了
[00:04:40] 没有人记得了啊
[00:04:42] 但是当时这些软件还是给我带来很大的震撼
[00:04:45] 就是让我看到计算机能做很多事情
[00:04:47] 然后呃
[00:04:49] 还有一个比较相关的事情是清华大学在2013年的时候
[00:04:53] 推出了学堂在线
[00:04:54] 这个基本就是
[00:04:55] 对标国外的EDX的这个在线教育平台
[00:04:58] 那么1415年的时候呢
[00:05:00] 那就是我在学习竞赛的时候
[00:05:03] 那么学堂在线呢
[00:05:04] 把很多清华的老师请来录制了一些教学视频
[00:05:08] 然后我当时一开始是在上面学习这个大学物理
[00:05:11] 因为我们中学的这个物理竞赛
[00:05:14] 本质上就是大学物理加一些微积分
[00:05:16] 然后呢
[00:05:17] 学完了这个大学物理和微积分之后
[00:05:20] 刚好这个学堂在线
[00:05:21] 它当时推出了跟EDX联名的一个Python的课程
[00:05:25] 然后呢
[00:05:25] 我就跟他学了这个Python
[00:05:27] 那么这个算是我第一次认真的学习一门编程语言
[00:05:30] 虽然就是初中高中阶段
[00:05:34] 我的主要任务是中考高考
[00:05:35] 但是我不太喜欢这种无意义的重复劳动
[00:05:39] 就是我不喜欢这个刷题
[00:05:41] 所以我这个更喜欢学习新知识
[00:05:43] 那所以我的很多备考的时间都是拿来学习这种各种课程
[00:05:48] 虽然说这个题目比较简单的时候
[00:05:51] 他不会考到这些知识
[00:05:52] 但是我个人还是觉得
[00:05:54] 学习这些课程
[00:05:55] 能够学到一些新的知识
[00:05:57] 然后它对于我深刻的理解一些难题
[00:05:59] 也是有帮助的
[00:06:00] 那这部分内容
[00:06:02] 你是没有办法通过重复刷题来获得的
[00:06:05] 所以我个人感觉就是
[00:06:06] 学到知识这个比较满足
[00:06:09] 虽然高考确实它最后
[00:06:10] 就是我那一年高考它比较简单
[00:06:12] 所以我的这些能力
[00:06:13] 可能也并没有体现在高考分数上面
[00:06:16] 没有用武之地
[00:06:17] 对
[00:06:17] 所以最后其实高考分数
[00:06:19] 也就是勉强擦着清华的分数线上来的
[00:06:22] 但是我觉得这个学习的过程还是很快乐的
[00:06:25] 就是
[00:06:25] 确实是学到了这些知识
[00:06:27] 我觉得是有用的
[00:06:28] 你刚进清华的时候
[00:06:30] 好像还不属于最优秀成绩最好的那一波
[00:06:33] 好像是高考分数线
[00:06:35] 比清华的录取线是高了两分
[00:06:38] 然后你是怎么在清华逆袭的呀
[00:06:40] 我觉得不太好说逆袭吧
[00:06:43] 就是确实高考分数线就是可能
[00:06:46] 分数就是比分数线高那么两三分
[00:06:48] 但是我觉得这不是很能反映
[00:06:51] 就是你不能拿它去预测一个人
[00:06:53] 在大学的这个过程
[00:06:55] 我觉得它更多取决于你在大学里面干什么
[00:06:58] 就是那个分数它只是一个admission
[00:07:01] 就是你进了清华之后
[00:07:02] 应该把这个分数就忘掉了
[00:07:04] 你就应该接下来做大学要做的事情
[00:07:07] 你当时有多倔
[00:07:08] 我看到一些记录说
[00:07:09] 比如说你一入学就开始疯狂追赶
[00:07:12] 大一发了一百多封邮件给老师请教问题
[00:07:16] 然后又看了一万多页的学习资料
[00:07:18] 而且你的精读笔记
[00:07:20] 你的论文精读笔记在校史馆展出
[00:07:22] 等等等等吧
[00:07:23] 最后36门课程
[00:07:25] 获得了4.0的成绩
[00:07:27] 这个是比较老的历史了
[00:07:29] 已经过了好多年了
[00:07:31] 但是我觉得这个也不是一个卷吧
[00:07:35] 更多是说
[00:07:35] 就我觉得我还是比较享受学习
[00:07:37] 然后呢在大学里面
[00:07:39] 确实我觉得学到了很多知识
[00:07:41] 那比如说你说发一百多封邮件给老师请教
[00:07:44] 那其实十多门课
[00:07:46] 然后每一门课
[00:07:46] 你每周给老师发个邮件请教
[00:07:48] 那就有一百多封了
[00:07:50] 所以它我觉得更多是一个坚持的过程吧
[00:07:53] 包括学习各种东西
[00:07:55] 做的笔记
[00:07:56] 也是因为我觉得在大学里面学到了很多
[00:07:59] 然后再记录了很多
[00:08:00] 就是我并没有把笔记的数量
[00:08:03] 这个字数什么的
[00:08:04] 当做一个目标来优化它
[00:08:05] 就是对
[00:08:06] 所以我觉得更多是一个自然而然的
[00:08:09] 就是学习的结果
[00:08:10] 因为很多人认识你是从VLLM开始的
[00:08:13] 但是你在清华读书的时候
[00:08:15] 你的研究方向应该做的是迁移学习
[00:08:18] 但这和你后来做的推理系统
[00:08:20] 看起来完全是两个世界
[00:08:22] 就是你是怎么从一个算法研究者
[00:08:24] 过渡到今天
[00:08:25] 这个深度参与系统工程的人的呀
[00:08:27] 我觉得这里面有几个主要原因吧
[00:08:30] 我可以这个稍微说一下
[00:08:31] 第一个原因是
[00:08:33] 我觉得这个学术圈
[00:08:34] 现在是一个里跃崩坏的状态
[00:08:36] 就是我在刚接触人工智能研究的时候
[00:08:39] 大概是18年吧
[00:08:41] 然后那个时候可能一届学术会议
[00:08:44] 它一年大概几百篇论文左右
[00:08:46] 然后这个时候
[00:08:47] 我觉得它的学术社区比较健康
[00:08:49] 就是你投稿之后
[00:08:51] 然后呢审稿人可以给你一些
[00:08:52] 比较有建设性的
[00:08:55] 的反馈
[00:08:55] 他会告诉你说
[00:08:56] 你这个地方做得好
[00:08:58] 那个地方做得不好
[00:08:59] 然后你应该这样去改进
[00:09:01] 就是我们真正的是在认真的讨论
[00:09:03] 怎么样把一个工作做得更好
[00:09:05] 但是呢后来这个学术会议的规模的扩张
[00:09:09] 它的速度远远超过了社区成长的速度
[00:09:12] 这个人工智能会议的投稿数
[00:09:14] 它每一年都是在成这个
[00:09:16] 几何级数的增长
[00:09:17] 所以一个显而易见的问题就是
[00:09:20] 审稿人的数量和质量
[00:09:21] 都远远比不上这个投稿的数量
[00:09:24] 那所以在这个时候
[00:09:25] 其实审稿的质量急剧下降
[00:09:27] 那你的投稿就像这个抽彩票一样
[00:09:29] 就是你中或者不中
[00:09:31] 可能跟你这个工作的质量本身
[00:09:33] 已经没有很大的关系了
[00:09:35] 那我是亲眼见证了这个过程
[00:09:37] 所以只能说比较痛心吧
[00:09:41] 然后但是这个大厦将亲
[00:09:42] 它不是我一个人能够改变的
[00:09:45] 所以我就离开人工智能算法的研究
[00:09:47] 然后就不再把这个论文发表
[00:09:49] 作为我的追求了
[00:09:51] 这是什么时候发生的变化呀
[00:09:52] 这是你大家记的时候吗
[00:09:54] 这个应该主要还是
[00:09:55] 研究生期间的
[00:09:56] 就是我18年开始嘛
[00:09:58] 然后像1920年有这个趋势
[00:10:00] 但是我觉得到后面
[00:10:02] 这个20年之后
[00:10:03] 这个趋势变得越来越严重
[00:10:05] 然后这也是一个逐渐的过程
[00:10:07] 就我不是哪一天开始
[00:10:08] 突然就不投了
[00:10:09] 更多是感受到这个趋势
[00:10:11] 然后就逐渐的就对这个投论文
[00:10:14] 不再有那么大的兴趣了
[00:10:15] 然后第二个原因是这个
[00:10:17] 我发现人工智能算法领域的成果
[00:10:20] 其实它很多时候
[00:10:21] 依赖于这个机器学习系统
[00:10:23] 怎么说呢
[00:10:24] 就是
[00:10:25] 我们做研究的时候
[00:10:26] 这个我们认为人工智能领域的
[00:10:28] 这个算法领域的天花板
[00:10:30] 至少就是我个人心中的天花板
[00:10:32] 就是何凯明老师
[00:10:34] 就是他的这个ResNet
[00:10:35] 一战封神
[00:10:36] 然后呢后面每一次就是
[00:10:38] 只要凯明老师的这个主页有变动
[00:10:41] 或者他又开了
[00:10:42] 他又挂了一个新的
[00:10:43] 这个Archive的论文
[00:10:44] 我们这些同学
[00:10:45] 就像收到了新的神域一样
[00:10:47] 就是上天降下了一个神域
[00:10:49] 原来又有一个新东西可以做了
[00:10:51] 对吧
[00:10:51] 然后我们就可以
[00:10:52] 就去拜读这个凯明老师的论文
[00:10:54] 那那个时候
[00:10:55] 其实我们这个私下讨论的时候
[00:10:57] 也经常会有这样的疑问
[00:10:58] 就是看完了凯明老师的论文
[00:11:00] 我们觉得这个想法实在是太自然了
[00:11:03] 就是浑然天成的感觉
[00:11:04] 一开始就应该这样设计
[00:11:06] 但是好像类似的想法
[00:11:08] 其实我也早就想过
[00:11:09] 可能在实验室的组会上
[00:11:11] 我们几个月前探讨这个问题的时候
[00:11:13] 我们也说这个
[00:11:15] 你这个东西这样设计
[00:11:16] 是不是就可以了呀
[00:11:18] 我们甚至可能还做过一点小的实验
[00:11:20] 去验证说这个东西有没有效果
[00:11:22] 那为什么最后成功的是凯明老师呢
[00:11:24] 嗯
[00:11:25] 这个除了他个人非常厉害的原因之外呢
[00:11:28] 我这个分析出来的一个结论就是
[00:11:30] 凯明老师做的事情
[00:11:32] 他不仅是方法简洁有效
[00:11:34] 而且他是做了大规模的实验的
[00:11:37] 那我们实验室里面的这些小虾米
[00:11:39] 是吧
[00:11:39] 我们只是在玩我们这个玩具数据集
[00:11:42] 然后呢
[00:11:43] 在上面就有点这个
[00:11:44] 罗斯科里做道场的感觉
[00:11:46] 一个小小的数据集
[00:11:47] 我们玩出花来了
[00:11:49] 然后但是并没有做规模化的实验
[00:11:52] 那当我尝试着
[00:11:53] 把这个手头上的实验规模
[00:11:54] 扩大的时候
[00:11:55] 这个显而易见的事实就是
[00:11:57] 支撑实验的这个机器学习系统
[00:12:00] 以及对应的数据
[00:12:02] 它其实才是决定成败的关键
[00:12:04] 而不是说你去雕这个
[00:12:06] Cross Entropy的这个五种加权方法
[00:12:08] 所以呢
[00:12:09] 这让我这个更关注机器学习领域的一个进展
[00:12:13] 然后第三个原因是
[00:12:15] 这个一些工业界朋友提供的反馈
[00:12:18] 那上学的时候
[00:12:19] 我非常喜欢参加一些活动
[00:12:21] 然后结交一些朋友
[00:12:22] 跟大家聊一聊
[00:12:23] 现在工业界
[00:12:24] 在发生什么
[00:12:25] 然后我印象比较深刻的是
[00:12:27] 这个2022年
[00:12:28] 有一个叫做WOWS大会
[00:12:30] 就是国内的一个这个机器学习
[00:12:33] 和机器视觉的一个大会
[00:12:35] 然后呢
[00:12:36] 我在上面有个poster
[00:12:37] 就是我去那边讲一个poster
[00:12:39] 然后呢
[00:12:40] 我在会场上
[00:12:41] 这个刚好遇到了张强宇老师
[00:12:43] 然后我就厚着脸皮
[00:12:44] 拉着张老师在那聊了一个多小时
[00:12:46] 他也这个有耐心
[00:12:47] 跟我聊一个多小时
[00:12:49] 然后张老师
[00:12:50] 他当时在矿市
[00:12:52] 他应该就是矿市的首席科学家
[00:12:54] 然后呢
[00:12:54] 他聊的时候
[00:12:55] 我就很惊讶的发现
[00:12:57] 他作为这个目标检测算法领域的一个
[00:13:00] 这个大佬吧
[00:13:02] 他跟我们聊的其实不是说
[00:13:04] 目标检测算法
[00:13:05] 我们现在又发明了什么新的Loss
[00:13:07] 这个效果怎么样了
[00:13:08] 他其实说的更多是说
[00:13:10] 他们现在面对的
[00:13:11] 就当时啊
[00:13:12] 他们当时面对的这个
[00:13:14] 面对的复杂硬件
[00:13:15] 对于软件带来的挑战
[00:13:17] 以及这个像
[00:13:18] 矿市他也要设计一些像这个
[00:13:20] 为目标检测CV算法所
[00:13:23] 特化的一些硬件
[00:13:24] 那么这些硬件上
[00:13:25] 为了特殊负载设计的这些硬件
[00:13:28] 它有这个多级的缓存结构
[00:13:30] 然后呢
[00:13:30] 你需要手动控制在芯片的这个
[00:13:32] 多级缓存之间的数据流动
[00:13:35] 所以这个矿市的工程师
[00:13:37] 他们每天最头疼的
[00:13:39] 不是说我这个参数怎么调
[00:13:41] 而是说这个我这个
[00:13:43] 英伟达的酷DNN代码里面
[00:13:45] 又有这样的问题
[00:13:45] 那样的问题
[00:13:46] 然后我需要适应这个硬件
[00:13:48] 去写这样的算子
[00:13:49] 那样的算子
[00:13:50] 所以这个是对我触动比较大的一个事情
[00:13:53] 然后
[00:13:54] 我觉得或许还有其他种种原因吧
[00:13:56] 但是这三个原因
[00:13:57] 已经能回答很多问题了
[00:13:59] 他们共同促进我
[00:14:01] 就是促使我这个
[00:14:02] 从算法的研究
[00:14:03] 转向机器学习系统的这个
[00:14:05] 工程的研究
[00:14:06] 你刚才讲的时候
[00:14:08] 我在想
[00:14:08] 有没有可能凯明的那个年代
[00:14:11] 就更适合算法的研究
[00:14:13] 然后可能发展到今天
[00:14:15] 可能算法的研究
[00:14:16] 我不知道能不能叫做
[00:14:18] 某种程度上雕花
[00:14:21] 然后今天可能更适合
[00:14:22] 大规模的系统研究
[00:14:24] 你觉得
[00:14:24] 跟时代背景有关系吗
[00:14:26] 绝对
[00:14:27] 我觉得是有关系的
[00:14:28] 就是我觉得确实
[00:14:29] 就是凯明老师的那个时代
[00:14:31] 属于是算法研究的蓝海
[00:14:34] 然后那个时候
[00:14:36] 还没有那么多人进来
[00:14:37] 所以
[00:14:38] 我觉得算法那边
[00:14:40] 能做的事情比较多
[00:14:41] 但是后面算法做的事情
[00:14:44] 可能就是一些
[00:14:45] 比较low hanging的fruit
[00:14:46] 都被大家摘完了
[00:14:47] 然后再往前面
[00:14:49] 可能很难有一些根本性的变化
[00:14:52] 以及还有就是
[00:14:53] 大家对于scaling law
[00:14:54] 的这个信仰吧
[00:14:55] 就是你的基本算法
[00:14:57] 其实不需要怎么变
[00:14:58] 你只需要不断地
[00:14:59] 在网上面堆算力
[00:15:00] 堆数据
[00:15:01] 你的效果就能够
[00:15:02] 自然地变得更好
[00:15:03] 对虽然你对算法
[00:15:05] 失去了希望
[00:15:07] 然后对发论文
[00:15:08] 失去了希望
[00:15:09] 但是其实你在本科的阶段
[00:15:11] 其实也发了很多
[00:15:12] 很好的论文
[00:15:13] 然后你也进行了
[00:15:13] 很长时间算法的研究
[00:15:15] 你要不要讲讲
[00:15:16] 就是你整个的
[00:15:17] 研究的一个过程
[00:15:18] 从本科到博士
[00:15:19] 然后你的研究轨迹
[00:15:21] 是怎么发生变化的
[00:15:22] 对刚才说的
[00:15:24] 那个转变
[00:15:24] 其实是在博士期间
[00:15:26] 就是我本科
[00:15:27] 也没有做很久的研究
[00:15:28] 当时也是在跟随着
[00:15:29] 这个算法的研究
[00:15:31] 那我的研究方向呢
[00:15:33] 其实我觉得
[00:15:33] 很多时候还是靠缘分
[00:15:35] 和这个时代的趋势吧
[00:15:37] 就是刚才说到
[00:15:38] 我这个高中的时候
[00:15:39] 在学堂在线上面学习嘛
[00:15:41] 然后上面
[00:15:42] 有一些这个课程
[00:15:43] 然后呢
[00:15:44] 到了大学之后呢
[00:15:45] 我又是
[00:15:46] 又可以通过像EDX啊
[00:15:48] 还有这些名校的公开课
[00:15:50] 然后来学习进一步的知识
[00:15:51] 那那个时候
[00:15:52] 比较有名的公开课
[00:15:54] 像这个
[00:15:54] 吴恩达老师的机器学习课程
[00:15:57] 然后还有
[00:15:58] 李飞飞老师的
[00:15:59] 计算机视觉的课程
[00:16:00] 然后呢
[00:16:01] 还有Chrisfer
[00:16:02] 这个Manning老师的
[00:16:03] 自然语言处理课程
[00:16:04] 这些都是非常有名
[00:16:06] 而且非常好的公开课
[00:16:08] 那么我学完了
[00:16:09] 这些课程之后呢
[00:16:10] 就尝试找个实验室
[00:16:12] 做一些研究
[00:16:13] 然后呢
[00:16:14] 当时刚好我们学院里面
[00:16:15] 也有一个老师
[00:16:16] 在做这方面的研究
[00:16:17] 所以我就从这个
[00:16:19] 人工智能啊
[00:16:20] 深度学习这方向
[00:16:21] 开始研究
[00:16:22] 然后呢
[00:16:22] 后面也是在这个老师手下
[00:16:24] 继续
[00:16:24] 他就是我的博士生导师
[00:16:26] 然后我就在这
[00:16:27] 继续读完了博士
[00:16:28] 你为什么没有
[00:16:30] 当时考虑出国
[00:16:31] 有考虑出国
[00:16:33] 其实一开始
[00:16:34] 是准备出国留学的
[00:16:35] 但是后面
[00:16:36] 受疫情的影响比较大
[00:16:38] 就刚好撞上疫情了
[00:16:40] 然后也不想那么折腾
[00:16:41] 就留在学校里吧
[00:16:43] 对
[00:16:43] 然后本科期间
[00:16:44] 做的事情呢
[00:16:45] 主要是跟导师
[00:16:46] 做一些这个
[00:16:47] 我们叫做
[00:16:48] 数据稀缺场景下的
[00:16:49] 高效学习
[00:16:50] 就是提升
[00:16:51] 机器学习算法的
[00:16:52] 泛化性
[00:16:53] 但后来
[00:16:54] 发现呢
[00:16:54] 就是这部分研究
[00:16:55] 它比较锦上添花
[00:16:57] 就是别人
[00:16:59] 已经做好了一个任务
[00:17:00] 然后呢
[00:17:01] 他可能做的不是那么好
[00:17:02] 然后呢
[00:17:03] 我再把一个通用的方法
[00:17:04] 用上去
[00:17:04] 然后希望给他提升
[00:17:06] 1%到2%的准确率
[00:17:08] 这个就很依赖于别人
[00:17:10] 就没有办法
[00:17:10] 大规模的应用
[00:17:12] 所以后面
[00:17:13] 实验室在这方面的投入
[00:17:14] 其实也逐渐的变少了
[00:17:16] 然后呢
[00:17:17] 19年暑假的时候
[00:17:18] 我是去加州大学
[00:17:20] 伯克利分校的
[00:17:21] 我们这个
[00:17:22] Michael Jordan老师手下
[00:17:23] 做过一段
[00:17:24] 时间的暑期研修
[00:17:25] 然后呢
[00:17:26] 学习了一下
[00:17:26] 美国那边的一些
[00:17:27] 前沿的AI进展
[00:17:29] 也是开阔了眼界
[00:17:30] 然后当时
[00:17:31] 其实已经有一些苗头
[00:17:33] 就是在做
[00:17:33] 大模型相关的技术了
[00:17:35] 回来之后
[00:17:36] 就是博士入学之后呢
[00:17:37] 那么也是
[00:17:38] 这个研究方向
[00:17:39] 逐渐在往大模型
[00:17:40] 这方面靠吧
[00:17:41] 那么我是
[00:17:42] 2020年开始读博士的
[00:17:44] 然后那个时候
[00:17:45] 大模型其实
[00:17:46] 已经在开始发展了
[00:17:47] 就2020年
[00:17:48] 应该就是
[00:17:49] 这个GPT-3
[00:17:50] 发布的时候
[00:17:51] 然后
[00:17:52] 但是我们实验室的
[00:17:53] 这个算力资源
[00:17:54] 也不太有
[00:17:54] 非常有限
[00:17:54] 所以我们没有办法
[00:17:56] 做这个大规模的
[00:17:57] 预训练的一些实验
[00:17:58] 那我就根据
[00:18:00] 我们能支配的算力
[00:18:01] 然后研究了一些
[00:18:02] 像大模型的
[00:18:03] 微调的方法
[00:18:05] 那这个做了一段时间呢
[00:18:06] 虽然有一些成果啊
[00:18:08] 但是
[00:18:08] 其实
[00:18:09] 也跟之前
[00:18:10] 有一个类似的问题
[00:18:11] 就是
[00:18:11] 这个它比较锦上添花
[00:18:13] 就是我们做了一年的时间
[00:18:15] 研究各种算法
[00:18:16] 可能在原来的场景下
[00:18:18] 也提高了
[00:18:18] 1%到2%的效果
[00:18:20] 但是呢
[00:18:20] 你会发现一年之后
[00:18:22] 大家有一个更好的
[00:18:23] 更大的预训练
[00:18:24] 模型了
[00:18:24] 那你只需要
[00:18:25] 简单的替换一下
[00:18:26] 这个预训练模型
[00:18:27] 你带来的收益
[00:18:28] 比我这个算法还大
[00:18:30] 那所以呢
[00:18:31] 加上刚才讲到的
[00:18:33] 一些原因
[00:18:33] 那我博士的后半段
[00:18:34] 就从这个
[00:18:35] 人工智能的算法研究
[00:18:37] 切换到了
[00:18:38] 人工智能
[00:18:38] 这个机器学习系统
[00:18:40] 方面的研究
[00:18:41] 然后呢
[00:18:41] 我是在2024年的时候
[00:18:43] 又申请去
[00:18:45] 加州大学
[00:18:45] 伯克利分校交流
[00:18:46] 然后接触了VOM
[00:18:48] 然后再开始
[00:18:49] 做这个大模型推理系统
[00:18:50] 在你博士开始之前的
[00:18:52] 2019年
[00:18:53] 应该是
[00:18:54] 对你来说
[00:18:54] 有两件比较重要的事情
[00:18:56] 一个是你去
[00:18:57] Michael Jordan老师那里
[00:18:59] 去做交流
[00:19:00] 然后你遇到了
[00:19:01] 现在的合伙人
[00:19:02] 这个是一个
[00:19:03] 非常重要的事情
[00:19:04] 然后第二个是
[00:19:05] 你获得了清华特奖
[00:19:06] 这两个事情的
[00:19:07] 先后顺序是什么样的呀
[00:19:09] 应该先是
[00:19:10] 暑期研修
[00:19:11] 就是这个交流
[00:19:12] 这个是在2019年的暑假
[00:19:14] 然后特奖是在
[00:19:16] 2019年的年底左右吧
[00:19:18] 所以在那个交流
[00:19:21] 你第一次遇到
[00:19:22] 你现在的合伙人
[00:19:24] 也是VOM的发起人的时候
[00:19:25] 你对他的是什么印象呀
[00:19:27] 当时是一个什么样的故事
[00:19:28] 你在知乎上分享过这段经历
[00:19:30] 对
[00:19:31] 我可以把这个具体展开一下
[00:19:33] 就是2019年暑假
[00:19:34] 刚才说到
[00:19:35] 就是我在Michael Jordan老师那里
[00:19:37] 做鼠炎嘛
[00:19:38] 然后Michael Jordan老师
[00:19:40] 他是隶属于一个
[00:19:41] 叫做Rice Lab的实验室
[00:19:43] 这个实验室
[00:19:44] 它是UC Berkeley的
[00:19:45] EECS系下面的一个实验室
[00:19:48] 然后这个实验室
[00:19:49] 它是专注于
[00:19:50] 机器学习系统的设计
[00:19:52] 那么它其实就包括
[00:19:54] 一部分是机器学习
[00:19:55] 一部分是系统
[00:19:56] 然后Michael Jordan老师
[00:19:58] 他当时是负责
[00:19:59] 这个机器学习算法的方向
[00:20:01] 然后我在研修期间呢
[00:20:03] 也经常参加这个实验室的各种活动
[00:20:05] 所以呢也借此机会
[00:20:07] 就是接触了更多
[00:20:08] 机器学习系统方面的知识
[00:20:10] 那刚才说到的这个
[00:20:11] 我们VOM的创始人之一
[00:20:14] 也是我们的好朋友李卓翰
[00:20:15] 那么他是实验室
[00:20:17] 当时是2019年秋季
[00:20:20] 即将入学的博士新生
[00:20:21] 就是他比我高一级的
[00:20:23] 高一级的博士新生
[00:20:24] 所以当时我是大三
[00:20:26] 然后他已经大四结束了
[00:20:27] 他要这个
[00:20:27] 就是他已经申请完了
[00:20:29] 他在那个Young Stoica老师那做博士
[00:20:32] 然后呢
[00:20:33] 当时他是在实验室参加一些
[00:20:36] 这个入学前的交流活动
[00:20:38] 那我对他这个当时分享的
[00:20:40] 研究经历比较感兴趣
[00:20:41] 然后就跟他加微信沟通了一下
[00:20:44] 所以就是他
[00:20:45] 刚才说到他的导师是Young Stoica
[00:20:47] 他就是负责这个Rise Lab里面的
[00:20:50] 机器学习系统的方向
[00:20:51] 那所以我觉得也是很有幸
[00:20:53] 就是那次暑期研修
[00:20:55] 我有机会同时接触到这个
[00:20:57] 顶级的机器学习算法的老师
[00:20:59] 和系统的老师
[00:21:00] 然后我在暑期研修结束之后呢
[00:21:04] 我是就回清华继续学习嘛
[00:21:06] 然后这个又是比较巧的事情
[00:21:09] 就是这两个老师
[00:21:10] 他刚好那一年是成为
