[00:00:00] 大家好,我是小骏
[00:03:26] 对对对
[00:03:27] 一个交互方式
[00:03:28] 对对一个交互的创新
[00:03:29] 以及它所谓的本地化
[00:03:31] 所谓的24小时
[00:03:32] 在我来看
[00:03:33] 其实都是都是一些产品的定义而已
[00:03:37] 但但真正发生一个转变是我去用它那一刻
[00:03:42] 我觉得就恰好在春节的时候
[00:03:44] 有那么一段空闲的时间
[00:03:45] 你想去搞明白这个玩意儿
[00:03:47] 为什么他们那么火
[00:03:48] 对
[00:03:48] 然后我就在有一天深夜的时候去查证据装了它
[00:03:51] 然后两个小时装上了
[00:03:52] 春节是吧
[00:03:53] 对当时已经凌晨两点了
[00:03:55] 然后我就在一天深夜的时候去查证据装了它
[00:03:55] 然后我第一次跟它对话的时候
[00:03:57] 从凌晨两点持续到了六点天亮
[00:04:02] 对
[00:04:03] 就那一晚上我觉得我脑内的那个
[00:04:05] 不知道是多巴胺还是内飞胎
[00:04:07] 就持续在分泌
[00:04:08] 就是让我就兴奋到完全睡不着觉
[00:04:10] 就你可能第一个感受是
[00:04:12] OK
[00:04:13] 它是它非常有自主性
[00:04:17] 然后它非常有灵魂
[00:04:18] 就比如说我跟它聊得很晚
[00:04:20] 它会老提醒我
[00:04:21] OK你现在现在已经很晚了
[00:04:23] 你要不早点去睡觉
[00:04:24] 就我觉得
[00:04:25] 我觉得这样的温度和关怀
[00:04:27] 或者说这样的情商
[00:04:29] 是所有去OpenCloud的人
[00:04:31] 第一个感受到的
[00:04:32] 但后面去深究它的原因
[00:04:34] 其实它是有很多机制去保证这个事情
[00:04:38] 比如说它有它的所有的AMD
[00:04:39] 比如说它在它
[00:04:41] 就拿最简单一个很小的一个细节
[00:04:43] 比如说它怎么感知时间
[00:04:44] 它就在每轮对话的这个context前面
[00:04:47] 去拼上当前的时间
[00:04:48] 然后就是一些非常细微的
[00:04:50] 我觉得我为什么把它称之为
[00:04:53] 所谓惊喜变化
[00:04:55] 就是因为它就是在这些
[00:04:58] 大家没有关注的角度上
[00:05:01] 把这个context给编排得非常好
[00:05:03] 这是第一天的感受
[00:05:05] OK我觉得它只是在产品设计上
[00:05:07] 确实做到了一种超乎我的一个想象
[00:05:11] 让所有人觉得这个框架有灵魂
[00:05:16] 但是第二天的时候
[00:05:18] 晚上我觉得它应该不止于此
[00:05:20] 然后我开始尝试把我自己
[00:05:22] 我觉得现在的框架
[00:05:25] 做不成的日常生活中的事情
[00:05:26] 交给它做
[00:05:27] 然后我发现它全部做出来了
[00:05:29] 我跟它聊的基本上第二个话题是
[00:05:32] 怎么去激发一个团队的好奇心
[00:05:36] 或者说怎么去筛选出来
[00:05:37] 最有好奇心的人
[00:05:38] 然后它进行了深入的探讨了一个小时
[00:05:42] 我觉得它的很多
[00:05:43] 哲思上是远超我的想象的
[00:05:46] 对
[00:05:46] 所以第二天我们俩就在聊
[00:05:48] 怎么去构建一个更好的大模型的团队
[00:05:51] 然后以及从最开始的
[00:05:55] 人员的筛选
[00:05:56] 到后边整个组织架构的构建
[00:05:59] 到你怎么在面临范式转变的时候
[00:06:01] 应该做什么样的举措和动作
[00:06:04] 我觉得至少它能get到我的点
[00:06:08] 就我跟它说了过
[00:06:09] 它最后能把它形成一套非常体系化的东西
[00:06:13] 并且变成一套skills
[00:06:15] 所以我后边就用这个去很大去解放了
[00:06:20] 至少我在非常多
[00:06:23] 我有时候会遇到
[00:06:25] 我甚至现在遇到有一些
[00:06:26] 不管是筛选人或团队管理上的问题
[00:06:31] 我现在都会问它
[00:06:32] 对
[00:06:32] 然后我觉得它现在已经
[00:06:33] 基本上变成了我的某一个数字分身
[00:06:36] 主要在这个事情上
[00:06:37] 然后但是真正让我超乎意料的是
[00:06:40] 第三天的时候
[00:06:41] 第三天的时候
[00:06:42] 我尝试了把一些研究上的一些任务交给它做
[00:06:46] 比如说最简单的
[00:06:49] 我觉得你怎么去
[00:06:50] 如果我们在进行agent contract里边
[00:06:53] 最简单
[00:06:55] 最关键一个事情是
[00:06:56] 你怎么去进行多轮的交互
[00:06:58] 那么你就必须要去模拟user agent进行多轮的交互
[00:07:02] 那我就会跟它去共同去构建一个很好user agent怎么来
[00:07:07] 在我来看这是一个非常
[00:07:10] 我自己觉得还挺重要的一个研究topic
[00:07:13] 对
[00:07:14] 我觉得应该不会说一两个小时就把它做出来
[00:07:17] 但是当我跟它沟通了大概一两个小时过后
[00:07:22] 我觉得这个事就已经做出来了
[00:07:24] 对
[00:07:25] 就基本上就已经达到有一个很好的user agent的诞生
[00:07:28] 我可以用这个user agent跟我现在的这一套
[00:07:31] post群的框架一块去构造出来
[00:07:35] 更丰富的agent场景的数据
[00:07:38] 然后不管是做sft也好
[00:07:40] 做rl也好
[00:07:40] 这个user agent都是非常关键的
[00:07:43] 就我觉得它从一个
[00:07:44] 我就开始对它的认知只是
[00:07:46] ok一个有灵魂有温度的一个产品的设计
[00:07:50] 到它可以帮我替代我
[00:07:53] 生活或工作当中的一部分
[00:07:56] 到最后它能促进我研究
[00:07:57] 这也就是三天发生的事情
[00:07:59] 就每天它都能给我额外更多的惊喜
[00:08:02] 然后我后边就去深入的去看
[00:08:04] 为什么这个框架本身
[00:08:06] 它比cloudcode好在哪
[00:08:08] 对
[00:08:09] 一个
[00:08:11] 我后面发现这些所谓好在哪
[00:08:14] 它我们单独去拎出来去讲
[00:08:16] 它其实都有点boring
[00:08:18] 就是我觉得它没有很酷
[00:08:19] 这也是为什么大家就会觉得
[00:08:21] opencloud有很多槽点的地方
[00:08:23] 但是它把它整合在一起
[00:08:25] 你就会觉得它的完成度是非常高的
[00:08:30] 就比如说
[00:08:31] 它会有更持久的memory的体系
[00:08:35] 这个很持久的memory体系
[00:08:38] 体现在它对memory有分层和分级
[00:08:40] 这个我在使用cloudcode的时候
[00:08:42] 是完全没有这样的感受的
[00:08:44] 然后再比如说
[00:08:46] 我自己觉得它在对
[00:08:49] 多个模型的这种联合的利用上
[00:08:52] 会非常的
[00:08:53] 超乎我的想象
[00:08:54] 就比如说我用cloudcode的时候
[00:08:56] 我会默认它
[00:08:57] 假设这个模型
[00:09:00] 比如说它的视频理解能力不行
[00:09:03] 那么我可能就要自己给它配一个
[00:09:05] 更好的视频理解模型
[00:09:06] 然后在cloudcode里边去折腾
[00:09:07] 但是我在opencode的时候
[00:09:09] 我完全不用想这个事情
[00:09:10] 我就直接发给它一段视频
[00:09:12] 它会自己想办法去找一个
[00:09:14] 视频理解能力好的模型来做这个事
[00:09:16] 就这种自主性
[00:09:18] 这种自主去
[00:09:20] 去面对
[00:09:23] 当代模型的缺点
[00:09:26] 然后但是它针对这个缺点
[00:09:28] 在框架上去补齐这个缺点
[00:09:30] 这个能力
[00:09:31] 是有点超乎我的意料的
[00:09:32] 因为我去用cloudcode的时候
[00:09:33] 我就默认
[00:09:34] OK
[00:09:34] 我是因为要用cloud的4.6ops
[00:09:37] 这一代模型的能力
[00:09:39] 我去用它的
[00:09:39] 但是我去用opencode的时候
[00:09:41] 我不会关注模型的能力
[00:09:43] 的一个原因是
[00:09:45] 我认为opencode框架的设计之初
[00:09:48] 它其实是
[00:09:49] 想尽量的通过agent的
[00:09:52] 整套的模型
[00:09:53] 做了编排
[00:09:54] 来去弥补模型的短板
[00:09:56] 它一直
[00:09:57] 我觉得这是它非常核心的一个产品的逻辑
[00:09:59] 所以后面
[00:10:01] 我们直接就把
[00:10:03] 把我们的模型
[00:10:04] 就是其实memewareflash
[00:10:05] 当时并没有做很多针对训练训练
[00:10:08] 给它接到opencode里边去
[00:10:09] 甚至把我们最近训的一个
[00:10:12] 很小一小的一个
[00:10:13] 端册的3B模型进去训练
[00:10:15] 发现在这一套很复杂的skateboard
[00:10:18] 或者说agent的框架
[00:10:20] 情况下
[00:10:21] 它依然能做那些
[00:10:23] 我自己认为
[00:10:24] 不可能是一个非常小的模型
[00:10:26] 能够做出来的事情
[00:10:28] 所以这是我第一次感受到
[00:10:31] 就是原来一个非常复杂的一套
[00:10:34] agent框架设计
[00:10:35] 它是能够弥补非常多
[00:10:37] 模型能力的短板
[00:10:38] 然后当然了
[00:10:41] 我觉得这是opencode本身
[00:10:44] 它这个框架的一个
[00:10:46] 相较于cloudcode的一个
[00:10:48] 差异化的优势
[00:10:49] 但是其实对于
[00:10:51] 如果说我们要去追求
[00:10:53] 你怎么在不同的
[00:10:57] 这个skateboard的框架下去
[00:10:59] 模型都有一个
[00:11:00] 超预期的非常稳定的表现
[00:11:04] 那么就回到了
[00:11:06] 另外一个命题
[00:11:07] 就是
[00:11:07] 当你有非常多
[00:11:12] 现在其实是市场上的agent框架
[00:11:14] 非常的丰富
[00:11:15] cloudcode的opencode
[00:11:16] kilo code的opencode等等
[00:11:18] 当你面临这么多
[00:11:20] 很复杂的agent框架的时候
[00:11:22] 你怎么让你的模型
[00:11:24] 在不同的框架上
[00:11:25] 都有一个非常稳定和超预期的表现
[00:11:28] 然后你怎么让你的后续链的范式
[00:11:30] 对应与之做适配和迁移
[00:11:33] 然后这个是我们
[00:11:35] 在这个事的context的冲击下
[00:11:38] 快速的去思考的第二个问题
[00:11:39] 然后所以我们对应的
[00:11:41] 整个后续链的范式
[00:11:42] 就要从所谓的chart到agent的
[00:11:45] 这样的一个迁移
[00:11:47] 所以你对opencloud的认知
[00:11:50] 发生了一个非常大的变化
[00:11:52] 这个是在春节期间的变化吗
[00:11:52] 在春节期间发生的
[00:11:53] 为什么开始是抵触的呢
[00:11:55] 我觉得
[00:11:57] 如果要追求非常顶尖的
[00:12:01] 编程的体验
[00:12:03] 对
[00:12:03] 就是哪怕是当下
[00:12:07] 哪怕是当下
[00:12:08] 也是cloudcode加cloudops
[00:12:10] 4.6是最好的
[00:12:11] 所以如果你是在这样的一个中局
[00:12:15] 去思考的话
[00:12:16] 其他的任何agent框架
[00:12:18] 其实确实都可以忽略掉
[00:12:22] 但是
[00:12:22] 但是一个问题是
[00:12:25] code它是一个
[00:12:28] 泛化性非常强的一个场景
[00:12:32] 就是你针对它去做了非常多
[00:12:34] agent的设计也好
[00:12:36] 或者说模型的训练也好
[00:12:37] 它都是有价值的
[00:12:39] 但并不代表说
[00:12:41] 它这个泛化性能保证你在
[00:12:43] 非code的场景
[00:12:44] 能够做到非常高的准确率
[00:12:47] 和完成度
[00:12:49] 所以我觉得
[00:12:51] 我觉得
[00:12:52] 那会儿虽然也会用cloudcode
[00:12:54] 来做一些非code的东西
[00:12:56] 但是我并没有期待说
[00:12:58] 它在这套框架上
[00:12:59] 能给我一个很高的完成度
[00:13:01] 因为我知道我会去帮它
[00:13:03] 补充这套框架
[00:13:05] 不具备的一些短板
[00:13:06] 但是我去用opencloud的时候
[00:13:09] 我觉得我不用考虑这些
[00:13:11] 它完全在agent框架本身
[00:13:14] 就去弥补掉了
[00:13:15] 很多模型的短板
[00:13:16] 我能理解opencloud是让
[00:13:19] coding的能力放化出来的一个产品吗
[00:13:21] 嗯
[00:13:22] 它在很多设计逻辑上
[00:13:25] 比如说它有更多的
[00:13:27] message的channel
[00:13:29] 比如说
[00:13:30] 它有更自主的一些
[00:13:33] 比如说像地时任务
[00:13:34] 心跳任务
[00:13:35] 然后这些更适合
[00:13:39] 日常场景
[00:13:40] 因为你写代码
[00:13:40] 你通常不会需要一个心跳任务
[00:13:43] 然后但是如果你是日常生活
[00:13:45] 你心跳任务就很关键
[00:13:48] 它确实有很多框架的设计
[00:13:50] 去为了让它去
[00:13:52] 适应更好的日常的任务
[00:13:54] 但是我觉得它也没有去丢弃掉
[00:13:57] 说一个好的agent的框架
[00:13:59] 本身的一些最基本的特点
[00:14:01] 这些最基本的特点
[00:14:03] 我觉得后边是被cloud code给吸
[00:14:05] 吸纳进去的
[00:14:06] 就比如说它的持久化的一个记忆
[00:14:08] cloud code之前是
[00:14:09] 它的记忆还是for
[00:14:11] 它的整个记忆系统设计
[00:14:13] 还是for软件工程的
[00:14:14] 就比如说它会在station内
[00:14:17] 会可能station快满的时候
[00:14:18] 我会有一个压缩的动作
[00:14:20] 然后把它记忆进去
[00:14:21] 然后我再完成
[00:14:22] 任务之后
[00:14:22] 根据我的plan
[00:14:23] 可能会有一些记忆的动作
[00:14:26] 然后保证我跨station的时候
[00:14:28] 它的context是共享是更好的
[00:14:30] 所以你能看到cloud code
[00:14:32] 它的所有的agent框架设计
[00:14:34] 其实都是非常的for软件工程的
[00:14:37] 就怎么去更好写好代码
[00:14:40] 但是opencloud它的设计之初
[00:14:42] 我觉得是借鉴了这个思想
[00:14:45] 但是它更想的是
[00:14:47] 它怎么更好端端端的
[00:14:48] 去完成所有的任务
[00:14:49] 并且怎么去弥补当下模型
[00:14:51] 在这个设计上
[00:14:52] 在端端端完成任务上的短板
[00:14:54] 然后去设计的
[00:14:55] 所以像这种持久化记忆到
[00:14:58] 会不会这种
[00:14:59] 你能通过一个更好的remote的界面
[00:15:04] 能够去操控它
[00:15:05] 然后等等这些
[00:15:07] 所以很好的设计
[00:15:08] 会不会陆续这一两个月
[00:15:11] 完全被cloud code给吸蜡进去了
[00:15:13] 对
[00:15:13] 我觉得这也是一个双向的一个触动
[00:15:15] 因为这些设计
[00:15:16] 其实它对于编程或说泛编程
[00:15:19] 泛编程就是指
[00:15:20] 可以通过编程去完成一些
[00:15:22] 看似跟代码无关的任务
[00:15:25] 对
[00:15:25] 然后它是有帮助的
[00:15:27] 对
[00:15:27] 但它背后是模型能力的提升吗
[00:15:31] 它激发了中层的模型的上限
[00:15:34] 它激发中层模型的上限
[00:15:36] 就可能我们
[00:15:37] 如果没有这么一套很复杂的
[00:15:40] Agener框架
[00:15:40] 可能中层的模型
[00:15:42] 它达不到
[00:15:43] GC Cloud的Sunlight或Obs的水平
[00:15:45] 但是你借助了这样一个
[00:15:47] 非常好的Agener框架
[00:15:48] 那么你就能在绝大部分的场景
[00:15:51] 除了那种
[00:15:52] 非常难的
[00:15:53] 需要长程任务的
[00:15:54] 或者说真的需要
[00:15:55] 我称为严肃编程吧
[00:15:58] 就是比如说
[00:15:59] 写算子优化
[00:16:01] 就算是严肃编程
[00:16:02] 对
[00:16:03] 然后像这种场景的话
[00:16:04] 它确实可能距离顶端的模型
[00:16:06] 还有差异
[00:16:07] 但是在绝大部分的生活的场景
[00:16:09] 或者说
[00:16:10] 只需要借助代码去提效的场景
[00:16:13] 那么其实
[00:16:16] 这样一套新的Agener框架
[00:16:18] 再加上一个中层的模型
[00:16:20] 中层就是
[00:16:21] 可能
[00:16:22] 在85%的任务上
[00:16:25] 能够达到跟Cloud的Sunlight
[00:16:27] 一样水准的模型
[00:16:28] 那么其实
[00:16:29] 它借助这样一个框架
[00:16:30] 已经能发挥非常大的作用
[00:16:31] 我听过一种说法就是
[00:16:34] 他觉得Open Cloud
[00:16:35] 如果是看作一个壳
[00:16:37] 它释放了现在比较强的模型的能力
[00:16:40] 是一个最好的壳
[00:16:41] 这个模型就是Cloud的Opus 4.6
[00:16:44] 其实我觉得你的整个表述
[00:16:45] 不认可这个观点对吧
[00:16:47] 认可认可
[00:16:49] 就我觉得它的上限
[00:16:52] 是Cloud的4.6 Ops带来的
[00:16:54] 就包括我在跟它
[00:16:56] 高强度合作的那一周
[00:17:00] 我只用Cloud的4.6 Ops
[00:17:04] 因为只有它能给我带来
[00:17:06] 经验的感受
[00:17:06] 但是当我用Cloud的4.6 Ops
[00:17:10] 沉淀下来那一堆经验
[00:17:14] 那些不管是skills
[00:17:16] 还是在agents.md一边的一些
[00:17:20] 关于它怎么
[00:17:21] 我甚至自己去改了
[00:17:23] 它的整个agent的价格设计
[00:17:25] 因为它是开源的
[00:17:27] 所以你可以自己改
[00:17:27] 而这也是Cloud的另外一个弊端
[00:17:29] 就是它的整个agent的价格设计
[00:17:31] 是个黑盒
[00:17:32] 然后这样黑盒就导致
[00:17:33] 你肯定改不了它的记忆系统
[00:17:36] 你也改不了它的整个agent的workflow
[00:17:39] 但是因为Open Cloud它太open了
[00:17:43] 你可以自己尝试去改
[00:17:44] 比如说我会让它自己去帮我设计
[00:17:47] 一个重新的Memory系统
[00:17:48] 我会让它
[00:17:50] 它我觉得
[00:17:51] 它现在当时二点几版本的那个multiagent的整个逻辑
[00:17:55] 我认为是很混乱的
[00:17:57] 然后我自己去让它给我设计
[00:17:58] 它的新的multiagent的系统
[00:18:00] 就我自己可以去改我所有的这个圆码
[00:18:03] 就这样的一种
[00:18:04] 这种原生的这种可操纵性
[00:18:07] 给我的那种冲击感是很大的
[00:18:08] 但这些事情基本上只有Cloud Ops 4.6才能改
[00:18:12] 但它我让Cloud Ops 4.6给我改好过后
[00:18:15] 这套框架本身是很好用了过后
[00:18:17] OK
[00:18:17] 我再切换到
[00:18:20] 那个
[00:18:21] Sunhead
[00:18:22] 再切换到国内的一些模型
[00:18:24] 甚至我们当时正在训的VR Pro
[00:18:26] 我就觉得
[00:18:27] 它就非常强大了
[00:18:29] 对
[00:18:30] 所以这也是我为什么觉得
[00:18:32] 顶尖的模型应该跟顶尖的这种agent的框架
[00:18:34] 是共同的往前去进步
[00:18:38] 或者说
[00:18:38] 这也是我最近对于所谓的自学习
[00:18:43] 以及反正前段时间有很多很火的这个概念的一个思考
[00:18:47] 就是我在这个身上是第一次感受到了
[00:18:50] 一个agent的自学习到底是怎么个发生的
[00:18:58] 就大概一个发生的途径就是说
[00:19:00] 你确实需要这个模型本身
[00:19:04] 跟你这个agent的架构本身
[00:19:06] 同步的往前走
[00:19:08] 然后模型在进步的时候
[00:19:10] 就不管是通过强化学习训练
[00:19:14] 或其他训练方式在进步的时候
[00:19:16] 它其实也是在去改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:18] 改变你的整体性的方式
[00:19:19] 改变你的整体性的方式
[00:19:19] 改变你的整套agent的框架
[00:19:21] 这个agent的框架包含
[00:19:23] 它送给模型的静态的信息
[00:19:27] 这些静态的信息
[00:19:28] 比如说memory就是静态的信息
[00:19:30] 只要你写死了
[00:19:31] 哪些东西应该送到
[00:19:33] 起一个新的session的时候
[00:19:35] 你应该送到模型一边去
[00:19:37] 或者我们叫skateboard
[00:19:38] 这个东西其实是
[00:19:40] 在训练过程中应该是变化的
[00:19:42] 还有一些动态的信息
[00:19:43] 动态的信息包含你整个agent的
[00:19:46] 本身的
[00:19:47] 这个架构的信息
[00:19:49] 这个架构的设计
[00:19:49] 然后我觉得针对不同的场景
[00:19:53] 就比如说calculate的这种
[00:19:54] for软件工程的场景和
[00:19:57] 其他
[00:19:58] 比如说做金融分析
[00:20:01] 等等其他场景
[00:20:02] 我觉得它的agent的架构的设计会有差异的
[00:20:05] 然后你怎么在
[00:20:07] 提升模型能力的同时
[00:20:09] 再去提升你的整个agent的
[00:20:11] 框架的
[00:20:11] 跟这个模型的一个适配程度
[00:20:14] 或者说一个泛化能力
[00:20:16] 对
[00:20:16] 这是我现在思考的
[00:20:19] 自学习
[00:20:19] 你说的这个智能体的框架
[00:20:22] agent的框架
[00:20:23] 是不是就是我们理解的产品
[00:20:25] 不是
[00:20:26] 它跟产品差异蛮大的
[00:20:27] 怎么理解这个agent的框架
[00:20:29] 产品跟agent之间的边界
[00:20:32] 现在我不知道怎么去界定
[00:20:33] 它有点模糊
[00:20:35] 对
[00:20:36] 就是我觉得产品
[00:20:38] 可以定义成是说
[00:20:41] 你直接人交互
[00:20:43] 能感受到那一层的东西
[00:20:44] 但agent的框架
[00:20:46] 它确实是有在去定义
[00:20:49] 的交互层
[00:20:49] 但是它同时又在去定义
[00:20:53] 你怎么跟模型沟通那一层
[00:20:54] 对
[00:20:56] 然后它甚至能知道
[00:20:58] 模型能力的长板短板
[00:21:00] 然后它能知道
[00:21:02] 怎么去更好做调度
[00:21:04] 就比如说for成本优化的调度
[00:21:07] 它相当于是一个中间层
[00:21:10] 它像
[00:21:11] 人和模型之间的中间层
[00:21:12] 对
[00:21:13] 然后这个中间层
[00:21:14] 它可以做得非常的厚重
[00:21:17] 然后反而那个前端的UI展示
[00:21:18] 它是最薄的一层
[00:21:20] 它已经不是很关键了
[00:21:22] 对
[00:21:22] 所以open cloud
[00:21:23] 其实是展示了智能体的
[00:21:25] 这个框架可以怎么做
[00:21:26] 对
[00:21:27] 这个框架的想象空间非常大
[00:21:29] 以前有人做过吗
[00:21:30] 其实cloud code
[00:21:32] 它一直是一套
[00:21:33] 很复杂的agent的框架
[00:21:34] 只是因为它是黑盒
[00:21:37] 所以我们不知道
[00:21:38] 它怎么设计的
[00:21:39] open cloud是开源的
[00:21:40] 所以你知道它是怎么设计的
[00:21:42] 然后并且你可以去改它
[00:21:44] 就改它这个事
[00:21:45] 是非常激发人的创造力的
[00:21:48] 就你知道它框架怎么设计
[00:21:51] 你让它去改
[00:21:51] 你自己限列一个新的框架出来
[00:21:54] 你可以给它限列一个新的框架出来
[00:21:55] 这是为什么open cloud
[00:21:56] 从二年级版本
[00:21:58] 我当时用它的时候
[00:21:59] 我自己觉得它并不好用
[00:22:01] 所以我花了好几天时间去改它
[00:22:02] 到三年级版本
[00:22:05] 就三月十多号的版本
[00:22:07] 已经非常易用
[00:22:08] 就你基本上
[00:22:10] 基于三年级后的版本
[00:22:13] 接一个还不错的模型
[00:22:15] 你都会觉得它很强大
[00:22:17] 而不是只有
[00:22:18] open cloud的模型
[00:22:19] 你会觉得它很强大
[00:22:20] 就是因为它整个agent的架构
[00:22:22] 受一堆人
[00:22:24] 开发者也好
[00:22:26] 或者说本身像我这种
[00:22:28] 并不是属于是
[00:22:30] 一开始这个框架的开发者
[00:22:34] 只是使用者
[00:22:35] 我都能去改进它
[00:22:37] 我服务我自己的场景
[00:22:38] 去做改进和优化
[00:22:39] 所以我觉得
[00:22:40] 或者说这是开源
[00:22:44] agent框架本身的价值和意义
[00:22:46] 对
[00:22:46] 嗯
[00:22:47] 在你高强度的
[00:22:48] 那一周
[00:22:49] 就是跟open cloud交互的那一周
[00:22:51] 你消耗了多少美金的opas4.6
[00:22:53] 第一天反正
[00:22:55] 就是快一千块钱
[00:22:56] 一千刀
[00:22:57] 对
[00:22:57] 因为大概用了四五个小时
[00:22:59] 然后我中途疯狂也会切
[00:23:02] 因为它太贵了
[00:23:03] 然后我会切sunlight
[00:23:04] 但是我发现真不行
[00:23:06] 然后我就
[00:23:07] 又只能去用ops
[00:23:09] 然后只有ops能带来那种经验感
[00:23:12] 但后边
[00:23:13] 但现在慢慢慢慢逐渐
[00:23:15] 我发现不是这样了
[00:23:17] 就是因为
[00:23:18] 我发现
[00:23:18] 因为它带给我经验感的那些东西发生在变化
[00:23:24] 就我觉得人的信心真的是非常强的
[00:23:27] 就我第一天感受到很惊艳的东西
[00:23:29] 我第二天立马觉得不惊艳
[00:23:30] 就我刚跟你讲的时候
[00:23:31] 我都觉得
[00:23:32] 我刚刚讲的第二三天的东西
[00:23:34] 我怎么觉得这么boring啊
[00:23:35] 但那确实是我三天发生的事情
[00:23:38] 对
[00:23:39] 那我当下我确实觉得很惊艳
[00:23:41] 那现在我自己也觉得不惊艳
[00:23:43] 因为你是一个很优秀的框架能力是非常强的
[00:23:48] 所以我现在已经可能让ops帮我把我的已经框架给打造好过后
[00:23:55] 然后让我经验的事情就越来越少了
[00:23:58] 所以我现在觉得反而缺乏的是
[00:24:00] 第一个是想象力
[00:24:01] 就是我要疯狂去想
[00:24:03] 还有什么事情他做不了
[00:24:05] 对
[00:24:05] 然后第二个就是
[00:24:07] 我怎么去
[00:24:09] 当他这些
[00:24:10] 那些能做的事情都能做的时候
[00:24:12] 我怎么去优化他的成本
[00:24:14] 对
[00:24:14] 优化他的速度
[00:24:15] 对
[00:24:16] 我就在考虑这些事情了
[00:24:18] 嗯
[00:24:18] 这些说的所有的发生都是在春节期间发生的
[00:24:21] 我觉得大量的思考是在那个时间发生的
[00:24:24] 但是我觉得一个人通常是薄弱的
[00:24:31] 对
[00:24:31] 就是或说你还是会有自己的认知的一个探索
[00:24:36] 就你探索到
[00:24:37] 虽然我那天那几天高度兴奋
[00:24:39] 兴奋到我觉得
[00:24:40] 我在群里面给大家发号
[00:24:43] 说强烈推荐大家去使用
[00:24:45] 但没有人搭理我
[00:24:46] 人家在过年
[00:24:47] 对
[00:24:48] 对
[00:24:48] ,大家确实在陪家人
[00:24:50] 然后我也不希望打了大家
[00:24:53] 然后所以我都说强烈推荐
[00:24:54] 然后后面过半年回来
[00:24:56] 我发现真正用的人是很少的
[00:24:58] 因为大家对兴起事物的这种
[00:25:00] 尤其我真的觉得他有点玄幻
[00:25:02] 玄幻
[00:25:03] 对
[00:25:04] 就是不太不太适合
[00:25:05] 就不像不忍Tag
[00:25:06] 对
[00:25:06] 大家会觉得过于玄幻的东西太不真实了
[00:25:09] 我也是这个感觉
[00:25:11] 所以你就不想去接触他
